period,community,tech,size
2024,0,ansible,27
2024,0,argocd,27
2024,0,aws,27
2024,0,azure,27
2024,0,bash_shell,27
2024,0,cicd,27
2024,0,cloudformation,27
2024,0,datadog,27
2024,0,devops_practice,27
2024,0,docker,27
2024,0,dynamodb,27
2024,0,gcp,27
2024,0,github_actions,27
2024,0,gitlab_ci,27
2024,0,go_lang,27
2024,0,grafana,27
2024,0,helm,27
2024,0,jenkins,27
2024,0,kubernetes,27
2024,0,perl,27
2024,0,prometheus,27
2024,0,python,27
2024,0,rust,27
2024,0,serverless,27
2024,0,splunk,27
2024,0,sre,27
2024,0,terraform,27
2024,1,angular,21
2024,1,bootstrap,21
2024,1,dotnet,21
2024,1,express,21
2024,1,graphql,21
2024,1,html_css,21
2024,1,javascript,21
2024,1,jquery,21
2024,1,mongodb,21
2024,1,mysql,21
2024,1,nextjs,21
2024,1,nodejs,21
2024,1,oracle_db,21
2024,1,php,21
2024,1,postgresql,21
2024,1,react,21
2024,1,redis,21
2024,1,sql,21
2024,1,sqlserver,21
2024,1,typescript,21
2024,1,vue,21
2024,2,computer_vision,17
2024,2,deep_learning,17
2024,2,fine_tuning,17
2024,2,generative_ai,17
2024,2,langchain,17
2024,2,llm,17
2024,2,machine_learning,17
2024,2,mlflow,17
2024,2,mlops,17
2024,2,nlp,17
2024,2,pandas,17
2024,2,prompt_engineering,17
2024,2,pytorch,17
2024,2,rag,17
2024,2,scikit_learn,17
2024,2,tensorflow,17
2024,2,vector_databases,17
2024,3,agile,14
2024,3,cypress,14
2024,3,java,14
2024,3,jest,14
2024,3,junit,14
2024,3,kanban,14
2024,3,microservices,14
2024,3,playwright,14
2024,3,rest_api,14
2024,3,scrum,14
2024,3,selenium,14
2024,3,spring,14
2024,3,tdd,14
2024,3,unit_testing,14
2024,4,airflow,13
2024,4,bigquery,13
2024,4,cassandra,13
2024,4,databricks,13
2024,4,dbt,13
2024,4,elasticsearch,13
2024,4,etl,13
2024,4,kafka,13
2024,4,rabbitmq,13
2024,4,redshift,13
2024,4,scala,13
2024,4,snowflake,13
2024,4,spark,13
2024,5,django,5
2024,5,fastapi,5
2024,5,flask,5
2024,5,rails,5
2024,5,ruby,5
2024,6,android,5
2024,6,ios,5
2024,6,kotlin,5
2024,6,react_native,5
2024,6,swift,5
2024,7,claude_api,4
2024,7,claude_tool,4
2024,7,huggingface,4
2024,7,openai_api,4
2024,8,c_cpp,2
2024,8,c_lang,2
2024,9,codex,2
2024,9,copilot,2
2024,10,encryption,2
2024,10,security,2
2026,0,ansible,30
2026,0,argocd,30
2026,0,aws,30
2026,0,azure,30
2026,0,bash_shell,30
2026,0,cicd,30
2026,0,cloudformation,30
2026,0,datadog,30
2026,0,devops_practice,30
2026,0,docker,30
2026,0,dynamodb,30
2026,0,encryption,30
2026,0,gcp,30
2026,0,github_actions,30
2026,0,gitlab_ci,30
2026,0,go_lang,30
2026,0,grafana,30
2026,0,helm,30
2026,0,jenkins,30
2026,0,kubernetes,30
2026,0,microservices,30
2026,0,prometheus,30
2026,0,python,30
2026,0,rest_api,30
2026,0,rust,30
2026,0,security,30
2026,0,serverless,30
2026,0,splunk,30
2026,0,sre,30
2026,0,terraform,30
2026,1,ai_agents,29
2026,1,claude_api,29
2026,1,claude_tool,29
2026,1,codex,29
2026,1,computer_vision,29
2026,1,copilot,29
2026,1,cursor_ide,29
2026,1,deep_learning,29
2026,1,fine_tuning,29
2026,1,gemini,29
2026,1,generative_ai,29
2026,1,huggingface,29
2026,1,langchain,29
2026,1,llm,29
2026,1,machine_learning,29
2026,1,mcp,29
2026,1,mlflow,29
2026,1,mlops,29
2026,1,nlp,29
2026,1,openai_api,29
2026,1,pandas,29
2026,1,prompt_engineering,29
2026,1,pytorch,29
2026,1,rag,29
2026,1,sagemaker,29
2026,1,scikit_learn,29
2026,1,tensorflow,29
2026,1,transformers,29
2026,1,vector_databases,29
2026,2,agile,23
2026,2,angular,23
2026,2,bootstrap,23
2026,2,dotnet,23
2026,2,graphql,23
2026,2,html_css,23
2026,2,integration_testing,23
2026,2,java,23
2026,2,javascript,23
2026,2,jquery,23
2026,2,junit,23
2026,2,kanban,23
2026,2,nextjs,23
2026,2,nodejs,23
2026,2,oracle_db,23
2026,2,react,23
2026,2,scrum,23
2026,2,spring,23
2026,2,sqlserver,23
2026,2,tdd,23
2026,2,typescript,23
2026,2,unit_testing,23
2026,2,vue,23
2026,3,airflow,17
2026,3,bigquery,17
2026,3,cassandra,17
2026,3,databricks,17
2026,3,dbt,17
2026,3,etl,17
2026,3,kafka,17
2026,3,mongodb,17
2026,3,mysql,17
2026,3,postgresql,17
2026,3,rabbitmq,17
2026,3,redis,17
2026,3,redshift,17
2026,3,scala,17
2026,3,snowflake,17
2026,3,spark,17
2026,3,sql,17
2026,4,android,5
2026,4,ios,5
2026,4,kotlin,5
2026,4,react_native,5
2026,4,swift,5
2026,5,cypress,4
2026,5,jest,4
2026,5,playwright,4
2026,5,selenium,4
2026,6,django,3
2026,6,fastapi,3
2026,6,flask,3
2026,7,c_cpp,2
2026,7,c_lang,2
2026,8,rails,2
2026,8,ruby,2
