tech_a,tech_b,phi
pytorch,tensorflow,0.79408205
android,ios,0.64071125
claude_api,claude_tool,0.6123006
docker,kubernetes,0.60728425
grafana,prometheus,0.5925125
html_css,javascript,0.52196497
rails,ruby,0.5092106
javascript,react,0.49374583
django,flask,0.46370962
ios,swift,0.45330516
scala,spark,0.45218557
deep_learning,pytorch,0.45019245
java,spring,0.44866195
deep_learning,tensorflow,0.4467459
ansible,terraform,0.44646093
sql,sqlserver,0.44568068
agile,scrum,0.43667272
azure,gcp,0.42981556
scikit_learn,tensorflow,0.4255786
javascript,nodejs,0.41167578
dotnet,sqlserver,0.40757233
android,kotlin,0.4009794
kotlin,swift,0.39940476
langchain,vector_databases,0.393908
pytorch,scikit_learn,0.38744405
angular,javascript,0.3825704
nodejs,react,0.3768202
machine_learning,pytorch,0.37215844
cicd,jenkins,0.36812276
angular,react,0.36736727
mlflow,mlops,0.36691725
aws,gcp,0.36342964
machine_learning,tensorflow,0.36027548
cloudformation,terraform,0.35469812
bootstrap,jquery,0.35381284
mysql,postgresql,0.35157913
deep_learning,machine_learning,0.34879413
claude_api,openai_api,0.34830323
html_css,jquery,0.34164703
dotnet,sql,0.3415501
dbt,snowflake,0.34138373
dynamodb,serverless,0.3381637
databricks,spark,0.33769405
cicd,devops_practice,0.3291751
ios,react_native,0.32667053
airflow,spark,0.32550046
ansible,kubernetes,0.32405445
angular,html_css,0.3213437
aws,serverless,0.31798825
generative_ai,llm,0.3168629
kubernetes,terraform,0.31685627
mongodb,mysql,0.31339362
aws,azure,0.31258407
nlp,tensorflow,0.31189942
redshift,snowflake,0.31116644
html_css,react,0.3110388
microservices,spring,0.3095137
pandas,scikit_learn,0.3093033
airflow,dbt,0.30700234
react,vue,0.30547243
mysql,php,0.30538926
llm,prompt_engineering,0.3018987
aws,docker,0.30054215
etl,snowflake,0.2992655
aws,kubernetes,0.29806226
android,react_native,0.2955326
generative_ai,langchain,0.29359305
mongodb,postgresql,0.2935534
kafka,spark,0.29239467
kanban,scrum,0.291895
oracle_db,sql,0.29141253
nlp,pytorch,0.28277835
junit,spring,0.28196916
airflow,etl,0.28134325
machine_learning,nlp,0.28036588
c_cpp,c_lang,0.27978188
datadog,grafana,0.2789392
javascript,jquery,0.2776285
cicd,docker,0.27760813
azure,devops_practice,0.27655163
cicd,kubernetes,0.27607545
ansible,bash_shell,0.27584025
react,react_native,0.27423462
cypress,jest,0.27311954
aws,terraform,0.2728847
ansible,jenkins,0.27248484
etl,spark,0.27180228
devops_practice,jenkins,0.27120903
devops_practice,terraform,0.26639614
airflow,snowflake,0.26548943
deep_learning,nlp,0.26409036
gcp,kubernetes,0.26405448
redshift,spark,0.26223764
docker,jenkins,0.25736296
cicd,terraform,0.25700176
bash_shell,python,0.25661376
bootstrap,html_css,0.25122282
etl,sql,0.25062323
angular,jquery,0.24939366
angular,spring,0.24928074
generative_ai,nlp,0.24924637
ansible,docker,0.2490666
dbt,etl,0.24834238
devops_practice,kubernetes,0.24829896
javascript,vue,0.2474274
java,kafka,0.24724254
react,typescript,0.24680007
computer_vision,deep_learning,0.2465074
helm,kubernetes,0.24605185
javascript,typescript,0.24439219
cicd,gitlab_ci,0.24356297
angular,bootstrap,0.2430186
docker,terraform,0.24297902
prometheus,sre,0.24244255
java,microservices,0.24229978
kafka,spring,0.24120107
ansible,devops_practice,0.24113794
go_lang,python,0.24056871
angular,nodejs,0.23859525
cassandra,kafka,0.23804688
python,spark,0.23650034
codex,copilot,0.23560816
cypress,playwright,0.23541644
machine_learning,python,0.23506051
fine_tuning,nlp,0.23373458
generative_ai,prompt_engineering,0.23355608
angular,dotnet,0.23328595
gitlab_ci,terraform,0.23135948
html_css,php,0.2310148
machine_learning,scikit_learn,0.23071407
kubernetes,microservices,0.2304418
go_lang,rust,0.22941822
airflow,bigquery,0.22880737
fine_tuning,llm,0.22876781
agile,cicd,0.22863398
sre,terraform,0.22853073
databricks,etl,0.2281218
angular,vue,0.22785522
generative_ai,pytorch,0.2272609
machine_learning,mlops,0.22723512
jenkins,junit,0.22723134
kafka,rabbitmq,0.22701846
computer_vision,tensorflow,0.22697285
computer_vision,nlp,0.2261873
java,javascript,0.226009
ansible,prometheus,0.2245211
ansible,cicd,0.22354633
ansible,gitlab_ci,0.22351398
go_lang,kubernetes,0.22270662
devops_practice,docker,0.22270529
etl,redshift,0.22242312
generative_ai,machine_learning,0.22231516
php,vue,0.22214934
snowflake,spark,0.22178708
grafana,sre,0.22173594
javascript,php,0.22107762
android,swift,0.2207538
bigquery,gcp,0.22065148
kafka,kubernetes,0.22012503
aws,cicd,0.21929353
computer_vision,machine_learning,0.21851978
cassandra,mongodb,0.21830088
fine_tuning,pytorch,0.21812959
fastapi,flask,0.21797861
mlops,pytorch,0.21700715
langchain,rag,0.21677779
aws,dynamodb,0.21645011
aws,devops_practice,0.21620247
kafka,microservices,0.21553111
cloudformation,serverless,0.21545276
agile,tdd,0.21511275
aws,cloudformation,0.21492572
java,jenkins,0.21428236
fine_tuning,rag,0.21378316
oracle_db,spring,0.21362484
agile,java,0.21318424
jenkins,kubernetes,0.21298814
docker,microservices,0.21007267
bigquery,redshift,0.21005979
bootstrap,javascript,0.20999448
azure,sql,0.20912789
java,junit,0.20895736
aws,python,0.20853312
bash_shell,terraform,0.20837818
oracle_db,sqlserver,0.20837364
nodejs,typescript,0.20833114
llm,machine_learning,0.20768167
ansible,sre,0.20741624
express,nodejs,0.20739299
jenkins,spring,0.20667623
nextjs,react,0.20613407
azure,kubernetes,0.20518759
huggingface,openai_api,0.20461105
datadog,sre,0.20378575
docker,gcp,0.203353
kafka,scala,0.20315357
jenkins,terraform,0.20313978
junit,selenium,0.20303918
graphql,react,0.20271562
java,scala,0.20257789
computer_vision,pytorch,0.20251961
airflow,redshift,0.20118251
datadog,prometheus,0.20115346
html_css,vue,0.20048945
prometheus,terraform,0.2001573
postgresql,react,0.19760682
databricks,snowflake,0.19717203
dotnet,jquery,0.19672154
fine_tuning,tensorflow,0.1954632
mlops,tensorflow,0.19540258
cypress,selenium,0.19502555
gcp,terraform,0.1941284
ios,kotlin,0.19244058
elasticsearch,redis,0.19219656
agile,unit_testing,0.1921419
kafka,redis,0.19201156
mysql,vue,0.19200702
machine_learning,spark,0.19024326
langchain,nlp,0.19016407
spark,sql,0.18999234
claude_tool,openai_api,0.18951498
ansible,grafana,0.18938509
gitlab_ci,jenkins,0.18935968
python,scala,0.1892473
java,oracle_db,0.18884657
grafana,splunk,0.18874224
bash_shell,perl,0.18777116
aws,jenkins,0.18736899
bash_shell,jenkins,0.18706748
aws,nodejs,0.1861821
helm,terraform,0.18612607
docker,python,0.18592194
kubernetes,prometheus,0.18530601
kubernetes,python,0.18521029
docker,gitlab_ci,0.18517761
angular,java,0.1848682
dotnet,javascript,0.1845546
claude_api,langchain,0.18405162
gitlab_ci,kubernetes,0.18376218
aws,java,0.18374105
redshift,scala,0.18350688
azure,cicd,0.18308906
agile,devops_practice,0.18266392
kubernetes,sre,0.18242934
llm,rag,0.18167831
aws,microservices,0.18078849
dotnet,html_css,0.18028606
azure,terraform,0.18004893
html_css,nodejs,0.17982545
aws,postgresql,0.17971875
javascript,mysql,0.17941135
fine_tuning,prompt_engineering,0.17935508
agile,javascript,0.17934336
react_native,swift,0.1789223
javascript,sql,0.17884445
mlops,scikit_learn,0.1781196
llm,nlp,0.17757687
grafana,kubernetes,0.17723529
agile,jenkins,0.17720254
postgresql,redis,0.17712647
airflow,scala,0.17685151
claude_api,huggingface,0.17634492
jest,react,0.17633629
docker,helm,0.17613566
cicd,tdd,0.17581256
elasticsearch,kafka,0.17562854
agile,angular,0.17506465
generative_ai,rag,0.17481586
databricks,scala,0.17478633
mongodb,react,0.17465994
argocd,helm,0.17428388
llm,pytorch,0.17411308
docker,postgresql,0.17407732
mongodb,vue,0.17405128
generative_ai,tensorflow,0.17374222
mlflow,scikit_learn,0.17371218
azure,docker,0.17352456
graphql,nodejs,0.17258894
angular,microservices,0.17246486
redshift,serverless,0.17238088
aws,redshift,0.17203337
java,python,0.17185175
grafana,terraform,0.17133328
java,sql,0.17125103
fine_tuning,generative_ai,0.17075706
ansible,aws,0.17043087
langchain,prompt_engineering,0.17034863
bootstrap,dotnet,0.1703149
generative_ai,vector_databases,0.17020692
ansible,python,0.16988285
postgresql,vue,0.16968869
nlp,scikit_learn,0.16878307
cicd,microservices,0.16814187
datadog,terraform,0.16760635
mlflow,pytorch,0.16711967
aws,spark,0.16684006
rest_api,spring,0.16683836
aws,kafka,0.16619883
bash_shell,grafana,0.16617252
deep_learning,generative_ai,0.16589445
aws,snowflake,0.16572465
python,terraform,0.16540211
huggingface,pytorch,0.16539182
ansible,ruby,0.1649889
bash_shell,kubernetes,0.16498536
html_css,sql,0.16494036
argocd,grafana,0.16462757
prometheus,splunk,0.16383861
bash_shell,sre,0.16324522
javascript,postgresql,0.1631216
azure,dotnet,0.16257985
snowflake,sql,0.16257294
azure,databricks,0.16179547
java,kubernetes,0.16159056
angular,sql,0.1614472
mongodb,nodejs,0.1614148
agile,sql,0.16087022
ansible,cloudformation,0.16031109
perl,python,0.16024265
github_actions,kubernetes,0.15984789
mongodb,redis,0.15943454
etl,python,0.1593078
bash_shell,prometheus,0.15914229
docker,java,0.15913768
bigquery,spark,0.15895969
bash_shell,cloudformation,0.1587644
bash_shell,docker,0.15831763
docker,kafka,0.15817666
agile,kanban,0.15817265
machine_learning,scala,0.1581171
jenkins,selenium,0.1574371
jquery,oracle_db,0.15711157
gcp,python,0.15706329
rabbitmq,redis,0.15693477
encryption,security,0.1561277
mysql,oracle_db,0.15604351
nodejs,serverless,0.1558357
airflow,kafka,0.15560395
docker,nodejs,0.15560155
deep_learning,llm,0.1555948
html_css,mysql,0.15532269
scrum,unit_testing,0.15512452
airflow,python,0.15496348
playwright,selenium,0.15485892
django,rails,0.15474325
cicd,java,0.15362945
angular,sqlserver,0.15351312
docker,grafana,0.15345605
django,postgresql,0.15337946
javascript,mongodb,0.15261436
python,ruby,0.15217286
kafka,snowflake,0.15194911
agile,microservices,0.15191695
pandas,tensorflow,0.15186386
graphql,jest,0.1513432
agile,spring,0.15078595
graphql,nextjs,0.15078525
splunk,terraform,0.15068823
mysql,redis,0.15059333
datadog,splunk,0.15045822
