skill,n,pct_rows
Python,8022,0.34589513625388063
Java,6463,0.2786736805795102
AWS,5527,0.23831493618489133
SQL,5290,0.2280958951362539
Kubernetes,4043,0.1743273542600897
JavaScript,3834,0.1653156260779579
Docker,3831,0.16518627112797515
Agile,3283,0.14155743359779235
Communication,3182,0.13720248361503967
Software Engineering,2946,0.12702656088306313
Linux,2852,0.12297343911693688
DevOps,2577,0.11111590203518455
C++,2514,0.10839944808554675
Software Development,2507,0.10809761986892032
Git,2438,0.10512245601931701
React,2263,0.09757675060365643
Go,2189,0.09438599517074854
Troubleshooting,2181,0.0940410486374612
Azure,2179,0.09395481200413935
Computer Science,2109,0.09093652983787513
C#,2093,0.09024663677130045
Collaboration,1796,0.07744049672300793
Jenkins,1769,0.07627630217316315
Teamwork,1765,0.07610382890651948
Microservices,1709,0.0736892031735081
HTML,1696,0.07312866505691618
CSS,1691,0.07291307347361159
NoSQL,1629,0.0702397378406347
TypeScript,1629,0.0702397378406347
Angular,1614,0.06959296309072094
Terraform,1568,0.06760952052431873
Cloud Computing,1518,0.06545360469127286
Problem Solving,1495,0.06446188340807175
CI/CD,1439,0.06204725767506036
Systems Engineering,1435,0.0618747844084167
Kafka,1428,0.06157295619179027
Node.js,1424,0.061400482925146604
Testing,1415,0.061012418075198346
Machine Learning,1404,0.06053811659192825
Leadership,1352,0.05829596412556054
Scala,1258,0.05424284235943429
Bachelor's Degree,1232,0.053121766126250435
GCP,1198,0.05165574335977923
Documentation,1175,0.05066402207657813
MySQL,1165,0.050232838909968956
Automation,1160,0.05001724732666437
Scrum,1156,0.0498447740600207
Project Management,1105,0.0476457399103139
Debugging,1098,0.04734391169368748
Communication Skills,1097,0.04730079337702656
Communication skills,1095,0.04721455674370473
Engineering,1090,0.04699896516040014
Mentoring,1082,0.0466540186271128
Security,1077,0.04643842704380821
Problemsolving,1074,0.046309072093825454
Jira,1047,0.04514487754398068
Software engineering,1046,0.045101759227319765
Software development,1029,0.044368747844084164
Ansible,1011,0.04359261814418765
Windows,978,0.04216971369437737
Agile Development,946,0.04078992756122801
Unit Testing,931,0.040143152811314246
Electrical Engineering,910,0.03923766816143498
Networking,907,0.03910831321145222
Spark,906,0.03906519489479131
Design,886,0.038202828561572956
Hadoop,873,0.037642290444981026
Oracle,858,0.03699551569506727
PostgreSQL,853,0.036779924111762674
Unit testing,841,0.036262504311831666
Microsoft Azure,805,0.03471024491203863
MongoDB,803,0.0346240082787168
SQL Server,784,0.03380476026215937
Data Analysis,778,0.03354605036219386
JSON,774,0.03337357709555019
Cloud computing,773,0.03333045877888927
C,769,0.0331579855122456
Confluence,752,0.032424974129010006
REST,748,0.032252500862366335
Scalability,744,0.03208002759572266
Monitoring,737,0.03177819937909624
XML,733,0.03160572611245257
C/C++,732,0.031562607795791654
Algorithms,731,0.03151948947913073
Data Engineering,718,0.030958951362538806
JIRA,718,0.030958951362538806
Software Design,694,0.029924111762676786
.NET,675,0.029104863746119352
Bash,672,0.028975508796136598
Continuous Integration,659,0.02841497067954467
Distributed Systems,636,0.027423249396343566
Project management,629,0.027121421179717144
Cassandra,628,0.027078302863056226
Open Source RDBMS,625,0.026948947913073475
Snowflake,622,0.02681959296309072
GitHub,622,0.02681959296309072
Google Cloud,607,0.02617281821317696
RDBMS,605,0.026086581579855123
Software Testing,600,0.025870989996550534
HTML/CSS,600,0.025870989996550534
