industry,0
Software Development,129
IT Services and IT Consulting,69
Financial Services,39
"Technology, Information and Internet",31
Defense and Space Manufacturing,22
Staffing and Recruiting,14
Hospitals and Health Care,11
Aviation and Aerospace Component Manufacturing,9
Semiconductor Manufacturing,8
Business Consulting and Services,7
Medical Equipment Manufacturing,6
Telecommunications,6
Automation Machinery Manufacturing,6
"Appliances, Electrical, and Electronics Manufacturing",6
Insurance,5
