period,level_a,level_b,seniority_col,n_a,n_b,auc_mean,auc_std,reason,domain,top_features_str
2024,entry,associate,seniority_final,40,3,,,insufficient_n,Backend/GeneralStack,
2024,associate,mid-senior,seniority_final,3,188,,,insufficient_n,Backend/GeneralStack,
2024,mid-senior,director,seniority_final,188,1,,,insufficient_n,Backend/GeneralStack,
2026,entry,associate,seniority_final,36,13,,,insufficient_n,Backend/GeneralStack,
2026,associate,mid-senior,seniority_final,13,182,,,insufficient_n,Backend/GeneralStack,
2026,mid-senior,director,seniority_final,182,1,,,insufficient_n,Backend/GeneralStack,
2024,entry,associate,seniority_final,80,19,,,insufficient_n,Other,
2024,associate,mid-senior,seniority_final,19,214,,,insufficient_n,Other,
2024,mid-senior,director,seniority_final,214,1,,,insufficient_n,Other,
2026,entry,associate,seniority_final,128,33,0.4383516483516483,0.10927197577720829,ok,Other,people_mgmt_density:-0.368; text_len:+0.253; yoe_extracted_or_median:+0.165; scope_density:+0.161; tech_count:-0.111
2026,associate,mid-senior,seniority_final,33,537,0.5658557088463632,0.07138292029205133,ok,Other,yoe_extracted_or_median:+0.543; tech_count:+0.460; people_mgmt_density:+0.364; mentor_density:+0.277; edu_level:+0.165
2026,mid-senior,director,seniority_final,537,5,,,insufficient_n,Other,
2024,entry,associate,seniority_final,25,8,,,insufficient_n,Frontend/Web,
2024,associate,mid-senior,seniority_final,8,133,,,insufficient_n,Frontend/Web,
2024,mid-senior,director,seniority_final,133,0,,,insufficient_n,Frontend/Web,
2026,entry,associate,seniority_final,56,15,,,insufficient_n,Frontend/Web,
2026,associate,mid-senior,seniority_final,15,211,,,insufficient_n,Frontend/Web,
2026,mid-senior,director,seniority_final,211,2,,,insufficient_n,Frontend/Web,
2024,entry,associate,seniority_final,46,10,,,insufficient_n,Data,
2024,associate,mid-senior,seniority_final,10,141,,,insufficient_n,Data,
2024,mid-senior,director,seniority_final,141,0,,,insufficient_n,Data,
2026,entry,associate,seniority_final,58,18,,,insufficient_n,Data,
2026,associate,mid-senior,seniority_final,18,317,,,insufficient_n,Data,
2026,mid-senior,director,seniority_final,317,0,,,insufficient_n,Data,
2024,entry,associate,seniority_final,12,1,,,insufficient_n,AI/ML,
2024,associate,mid-senior,seniority_final,1,78,,,insufficient_n,AI/ML,
2024,mid-senior,director,seniority_final,78,0,,,insufficient_n,AI/ML,
2026,entry,associate,seniority_final,111,36,0.5528232636928289,0.14881862931889614,ok,AI/ML,yoe_extracted_or_median:-0.634; edu_level:-0.215; tech_count:+0.185; people_mgmt_density:-0.117; ai_mention_validated:-0.104
2026,associate,mid-senior,seniority_final,36,577,0.7214928250160634,0.04013095064710184,ok,AI/ML,yoe_extracted_or_median:+1.276; edu_level:+0.516; mentor_density:+0.271; people_mgmt_density:-0.208; tech_count:-0.106
2026,mid-senior,director,seniority_final,577,2,,,insufficient_n,AI/ML,
2024,entry,associate,seniority_final,43,10,,,insufficient_n,Cloud/Infra,
2024,associate,mid-senior,seniority_final,10,176,,,insufficient_n,Cloud/Infra,
2024,mid-senior,director,seniority_final,176,0,,,insufficient_n,Cloud/Infra,
2026,entry,associate,seniority_final,60,24,0.6575000000000001,0.1312440474840669,ok,Cloud/Infra,ai_mention_validated:+0.627; edu_level:+0.554; text_len:+0.199; people_mgmt_density:+0.189; mentor_density:-0.186
2026,associate,mid-senior,seniority_final,24,370,0.6714864864864865,0.10394378151251053,ok,Cloud/Infra,yoe_extracted_or_median:+0.847; edu_level:-0.686; mentor_density:+0.421; ai_mention_validated:-0.315; text_len:+0.267
2026,mid-senior,director,seniority_final,370,3,,,insufficient_n,Cloud/Infra,
2024,entry,associate,seniority_final,11,2,,,insufficient_n,Embedded/Systems,
2024,associate,mid-senior,seniority_final,2,34,,,insufficient_n,Embedded/Systems,
2024,mid-senior,director,seniority_final,34,0,,,insufficient_n,Embedded/Systems,
2026,entry,associate,seniority_final,34,3,,,insufficient_n,Embedded/Systems,
2026,associate,mid-senior,seniority_final,3,117,,,insufficient_n,Embedded/Systems,
2026,mid-senior,director,seniority_final,117,0,,,insufficient_n,Embedded/Systems,
