period2,sen_combined,n,rate,hits,indicator
2024,associate,84,0.8690476190476191,73,hedge_any
2024,entry,241,0.5186721991701245,125,hedge_any
2024,mid-senior,7707,0.5753211366290385,4434,hedge_any
2024,other,20200,0.5361881188118812,10831,hedge_any
2026,associate,30,0.7333333333333333,22,hedge_any
2026,entry,390,0.676923076923077,264,hedge_any
2026,mid-senior,3639,0.6628194558944766,2412,hedge_any
2026,other,31003,0.6910944102183659,21426,hedge_any
2024,associate,84,0.05952380952380952,5,firm_any
2024,entry,241,0.3775933609958506,91,firm_any
2024,mid-senior,7707,0.3639548462436746,2805,firm_any
2024,other,20200,0.36356435643564355,7344,firm_any
2026,associate,30,0.3333333333333333,10,firm_any
2026,entry,390,0.4205128205128205,164,firm_any
2026,mid-senior,3639,0.3882934872217642,1413,firm_any
2026,other,31003,0.46043931232461377,14275,firm_any
2024,associate,84,0.011904761904761904,1,kitchen_sink_high_score_ge12
2024,entry,241,0.03734439834024896,9,kitchen_sink_high_score_ge12
2024,mid-senior,7707,0.07746204748929544,597,kitchen_sink_high_score_ge12
2024,other,20200,0.07589108910891089,1533,kitchen_sink_high_score_ge12
2026,associate,30,0.2,6,kitchen_sink_high_score_ge12
2026,entry,390,0.12564102564102564,49,kitchen_sink_high_score_ge12
2026,mid-senior,3639,0.2726023632866172,992,kitchen_sink_high_score_ge12
2026,other,31003,0.2517820856046189,7806,kitchen_sink_high_score_ge12
2024,associate,84,0.011904761904761904,1,kitchen_sink_high_score_ge20
2024,entry,241,0.012448132780082987,3,kitchen_sink_high_score_ge20
2024,mid-senior,7707,0.035162838977552874,271,kitchen_sink_high_score_ge20
2024,other,20200,0.02792079207920792,564,kitchen_sink_high_score_ge20
2026,associate,30,0.13333333333333333,4,kitchen_sink_high_score_ge20
2026,entry,390,0.035897435897435895,14,kitchen_sink_high_score_ge20
2026,mid-senior,3639,0.13162956856279198,479,kitchen_sink_high_score_ge20
2026,other,31003,0.13156791278263394,4079,kitchen_sink_high_score_ge20
2024,associate,84,0.7619047619047619,64,aspiration_ratio_gt1
2024,entry,241,0.23651452282157676,57,aspiration_ratio_gt1
2024,mid-senior,7707,0.16439600363306087,1267,aspiration_ratio_gt1
2024,other,20200,0.1848019801980198,3733,aspiration_ratio_gt1
2026,associate,30,0.36666666666666664,11,aspiration_ratio_gt1
2026,entry,390,0.33589743589743587,131,aspiration_ratio_gt1
2026,mid-senior,3639,0.2684803517449849,977,aspiration_ratio_gt1
2026,other,31003,0.31296971260845724,9703,aspiration_ratio_gt1
2024,associate,84,0.7380952380952381,62,aspiration_ratio_gt2
2024,entry,241,0.04979253112033195,12,aspiration_ratio_gt2
