company,period,is_aggregator,n_posts,mean_pairwise_cos
24-MAG,2026,False,8,0.7589357495307922
"3 Key Consulting, Inc.",2024,False,8,0.8350846171379089
3M,2024,False,5,0.63311767578125
84.51˚,2026,False,9,0.73915696144104
A-Line Staffing Solutions,2024,False,7,0.6011926531791687
A1,2026,False,5,0.6529690027236938
A2Zxperts,2024,False,6,0.5555080771446228
AARATECH,2026,False,12,0.7313472032546997
"ACES, Incorporated",2024,False,6,0.5886451005935669
ACI Worldwide,2026,False,7,0.8697084784507751
ACL Digital,2024,False,7,0.5000420808792114
ADP,2024,False,7,0.785370409488678
AIS (Applied Information Sciences),2026,False,11,0.907433807849884
AIT Global,2026,True,10,0.6590006351470947
ALIS Software LLC,2024,False,6,0.5411975979804993
ALTEN Technology USA,2026,False,16,0.6871471405029297
AMD,2024,False,25,0.6753494739532471
AMD,2026,False,61,0.7775789499282837
AMERICAN SYSTEMS,2024,False,10,0.602351188659668
ANSER,2024,False,7,0.6726043224334717
ARA,2026,False,11,0.6679950952529907
"ARKA Group, LP",2026,False,5,0.674669623374939
ARSIEM Corporation,2026,False,7,0.8167687654495239
ASCENDING Inc.,2024,False,7,0.525456428527832
ASCII Group LLC,2026,True,14,0.6471763849258423
ASK Consulting,2024,True,16,0.5797793865203857
ASRC Federal,2024,False,18,0.6100068688392639
ASRC Federal,2026,False,6,0.7690635323524475
ASSA ABLOY Group,2024,False,12,0.6025219559669495
AT&T,2024,False,9,0.578506588935852
AT&T,2026,False,10,0.5852712988853455
ATC,2024,False,7,0.554430365562439
ATEC Spine,2026,False,8,0.6791359782218933
AVEVA,2024,False,5,0.6382123231887817
AaraTechnologies Inc,2026,True,16,0.7327849268913269
AbbVie,2024,False,10,0.5393442511558533
AbbVie,2026,False,7,0.5478722453117371
Abbott,2024,False,55,0.5692443251609802
Abbott,2026,False,20,0.5829418897628784
Abbott,2026,True,5,0.724279522895813
Abridge,2026,False,7,0.6353539824485779
Acceler8 Talent,2026,False,23,0.658499538898468
Accenture,2024,False,12,0.5075066089630127
Accenture,2026,False,34,0.6187286972999573
Acclaim Technical Services,2024,False,22,0.5844219923019409
Accord Technologies Inc,2026,False,10,0.5434484481811523
Accroid Inc,2024,False,65,0.4310294985771179
AceStack,2026,False,11,0.6085103750228882
Acquire Me,2026,False,8,0.6658552885055542
Acrisure,2026,False,7,0.675713837146759
Acro Service Corp,2024,False,7,0.5422452092170715
Acro Service Corp,2026,False,8,0.5719767808914185
Actalent,2024,True,39,0.5434604287147522
Actalent,2026,True,166,0.6178560853004456
Activision Blizzard,2026,False,5,0.741234302520752
Acuity Inc.,2026,False,5,0.48871010541915894
Acunor,2024,False,5,0.5456084609031677
Ad Hoc LLC,2026,False,5,0.8687782287597656
Adame Services LLC,2024,False,43,0.5118040442466736
Addison Group,2024,False,8,0.49985402822494507
Addison Group,2026,False,12,0.5603163838386536
Adept,2024,False,7,0.6688766479492188
Aditi Consulting,2024,True,28,0.5293436050415039
Aditi Consulting,2026,True,24,0.5658762454986572
Adobe,2024,False,18,0.5767002701759338
Adobe,2026,False,99,0.5980234146118164
Adroit Software Inc.,2024,False,8,0.7070894241333008
Advanced Knowledge Tech LLC,2024,False,7,0.5727665424346924
Advanced Tech Placement,2026,True,5,0.6028461456298828
Advantage Technical,2024,False,5,0.5077790021896362
Advantis Global,2024,False,6,0.5397211313247681
Adyen,2024,False,5,0.6266493797302246
Adyen,2026,False,6,0.6215149164199829
Affirm,2026,False,13,0.6577540040016174
Afton Consulting Group,2024,False,7,0.6774470210075378
Agile Tech Labs,2024,False,15,0.6111907362937927
Agility Partners,2024,False,6,0.5385168194770813
Agoda,2024,False,8,0.581847608089447
Agoda,2026,False,17,0.6612118482589722
AgreeYa Solutions,2026,True,6,0.7877258658409119
Ahold Delhaize USA,2026,False,32,0.6400424838066101
Air Apps,2026,False,13,0.6551738977432251
"Air Combat Effectiveness Consulting Group (ACE Group), LLC",2024,False,5,0.6106548309326172
Aircall,2026,False,11,0.7586205005645752
Airtable,2026,False,7,0.6280195116996765
Airwallex,2026,False,11,0.6734173893928528
Akamai Technologies,2026,False,19,0.6861928701400757
"Akina, Inc",2026,False,43,0.7327584624290466
Akkodis,2024,False,43,0.5024327635765076
Akkodis,2026,False,37,0.5346494317054749
Akkodis Group Nordics,2026,False,86,0.6797773241996765
"Akraya, Inc.",2024,False,5,0.6628019213676453
"Akraya, Inc.",2026,False,8,0.6265854239463806
Alarm.com,2026,False,9,0.6755732893943787
Alcon,2024,False,6,0.6402791142463684
Alexander Technology Group,2026,False,6,0.4733540117740631
Algo Capital Group,2024,False,5,0.7197637557983398
Alignerr,2026,False,38,0.7302356958389282
AllSTEM Connections,2024,False,11,0.5762985944747925
AllSTEM Connections,2026,False,7,0.7204570770263672
Allagi Technologies Inc,2026,False,13,0.92262202501297
Alldus,2024,False,5,0.6314849853515625
Allegion,2024,False,7,0.5974726676940918
"Allied Consultants, Inc.",2026,False,6,0.7897073030471802
Allied Reliability,2024,False,6,0.7012832760810852
Allied Resources Technical Consultants,2026,False,5,0.5626424551010132
Allnessjobs,2024,False,17,0.5910167098045349
Alltech Consulting Services,2026,True,7,0.7048688530921936
Ally,2026,False,8,0.844416618347168
"Alutiiq, LLC",2024,False,5,0.7075456976890564
Amazon,2024,False,163,0.5514811277389526
Amazon,2026,False,237,0.5425989627838135
Amazon,2026,True,10,0.6962039470672607
Amazon Web Services (AWS),2024,False,99,0.6449362635612488
Amazon Web Services (AWS),2026,False,242,0.6543628573417664
Amentum,2024,False,9,0.5778141021728516
Amentum,2026,False,12,0.5845557451248169
American Express,2024,False,7,0.6868444085121155
American Express,2026,False,31,0.6774484515190125
"American Unit, Inc",2024,False,9,0.5169511437416077
Ampcus Inc,2024,False,5,0.6066862344741821
Ampcus Inc,2026,True,16,0.7637685537338257
Ampstek,2024,False,16,0.45655950903892517
Ampstek,2026,False,22,0.5095153450965881
Amtec Inc.,2024,False,7,0.5704529881477356
Amtex Systems Inc.,2024,False,13,0.40868085622787476
Amtex Systems Inc.,2026,False,12,0.4804500341415405
Anagh Technologies Inc,2026,False,7,0.5591664910316467
Analog Devices,2026,False,12,0.621983528137207
Analytic Solutions Group,2024,False,6,0.6198449730873108
Anblicks,2026,False,17,0.5694801807403564
Andiamo,2026,False,67,0.6214145421981812
Anduril Industries,2024,False,52,0.6470531821250916
Anduril Industries,2026,False,194,0.6770793199539185
AngelList,2026,False,9,0.8082836866378784
Ansys,2024,False,5,0.7854386568069458
Anthropic,2026,False,60,0.6295725107192993
"Anveta, Inc",2024,False,11,0.44076961278915405
Anyscale,2024,False,7,0.6886496543884277
ApTask,2024,False,7,0.5441359281539917
Apex Fintech Solutions,2026,False,12,0.6600015759468079
Apex Systems,2024,True,78,0.5228195190429688
Apex Systems,2026,True,118,0.5780021548271179
Apexon,2024,False,9,0.5947653651237488
AppFolio,2026,False,5,0.6138219833374023
Apple,2026,False,15,0.5377849340438843
Applied Intuition,2026,False,33,0.616949737071991
Applied Materials,2026,False,7,0.6029067039489746
"Aptino, Inc.",2026,True,5,0.7261150479316711
Aquent,2026,False,8,0.6452319025993347
Aquila Technology,2026,False,7,0.7144100666046143
Arbor Tek Systems,2026,True,5,0.7653416991233826
Arcfield,2024,False,13,0.7022300362586975
Archer,2026,False,10,0.649936318397522
Arm,2026,False,9,0.6974780559539795
Armada,2026,False,9,0.701572835445404
Aroha Technologies,2026,True,9,0.6830477118492126
Arrow Search Partners,2024,False,5,0.5512197613716125
Arrowminds inc,2026,True,5,0.654279351234436
Arthrex,2024,False,5,0.6487730741500854
Asana,2026,False,11,0.6806249022483826
Ascendion,2024,False,13,0.6021119952201843
Ascendion,2026,False,6,0.7502946257591248
Ascendo Resources,2024,False,5,0.5743865966796875
Ashley Furniture Industries,2024,False,6,0.7896499633789062
Aspen Dental,2024,False,5,0.7498754262924194
Aspen Technology,2026,False,6,0.7194539308547974
Assured,2026,False,7,0.6428577899932861
Assured Consulting Solutions,2024,False,5,0.7690107226371765
Asterism IT Solutions,2026,True,7,0.6015545725822449
Astrion,2024,False,11,0.6224038004875183
Athenix Special Missions (formerly VATC),2024,False,6,0.6519272923469543
Atlas Search,2026,False,7,0.6835445165634155
Atlassian,2024,False,11,0.6455689072608948
Audible,2026,False,11,0.7663421630859375
Auger,2026,False,5,0.8571799993515015
Aurora,2024,False,8,0.6123143434524536
Aurora,2026,False,15,0.629264235496521
Avance Consulting,2026,False,7,0.480275422334671
Avani Tech Solutions Private Limited,2024,False,9,0.5622798800468445
Avenue Code,2026,False,6,0.6057626008987427
Avesta Computer Services,2024,False,12,0.5994182825088501
Avid Technology Professionals,2024,False,8,0.41973382234573364
Avid Technology Professionals,2026,False,11,0.4596531391143799
Avride,2026,False,8,0.6030977964401245
Axient,2024,False,8,0.606887936592102
Axiom Space,2024,False,5,0.7205392718315125
Axiom Space,2026,False,11,0.794095516204834
Axle,2026,False,5,0.7889487147331238
Axon,2026,False,27,0.6780533194541931
B4Corp,2026,False,26,0.7361032366752625
"BAE Systems, Inc.",2024,False,52,0.6086806058883667
"BAE Systems, Inc.",2026,False,98,0.6453738212585449
BCforward,2024,False,12,0.5874137878417969
BCforward,2026,False,14,0.578626811504364
BCforward,2026,True,8,0.785489022731781
BDO USA,2026,False,7,0.7424361109733582
BIP,2026,False,6,0.9035835266113281
BLUE ORIGIN,2024,False,106,0.6924509406089783
BLUE ORIGIN,2026,False,67,0.7020836472511292
BNY,2026,False,46,0.7115799188613892
