uid,title,company,yoe_extracted_y,kitchen_sink_score,aspiration_ratio,hedge_count,firm_count,scope_count,n_distinct_tech,ai_count,yoe_scope_mismatch_combined,snippet
linkedin_li-4388163661,Full-Stack Software Engineer (New Grad),Nue.io,,48,4.0,4,1,3,16,1,0,"You’ll join a small, senior, distributed product \& engineering team and work on production systems from day one. We take a | **product engineering** approach: engineers are expected to be deeply product- and customer-focused, working closely with product, design, and customer-facing teams to understand real customer workflows, define success metrics, and iterate quickly. Rather than just implementing tickets, you’ll own outcomes end-to-end — from problem discovery and UX trade-offs through to quality in production, learnings from telemetry and customer feedback, and how features drive business impact. In this job, you will use | *AI-assisted tools* (such as Claude Code, Glean and ChatGPT) a"
linkedin_li-4388868527,Software Engineer,Q2,2.0,20,5.0,5,0,2,10,0,0,"The Targeted Experiences team builds and evolves SMART, Q2’s personalization and targeting platform for digital banking. SMART turns real-time behavioral, transactional, and partner data into actionable insights that can be activated across digital banking experiences and external systems. In addition to building the platform itself, the team owns partner enablement — ensuring SMART is reliable, well-documented, and ready for consumption by external developers, fintech partners, and marketing platforms. The team is intentionally multi-disciplinary and owns the stack end to end, bringing together engineers with backgrounds in backend and frontend software engineering, data engineering, and da"
linkedin_li-4388582107,Software Engineer,CACI International Inc,2.0,44,2.0,2,0,2,22,4,0,"Job Title: Software Engineer Minimum Clearance Required to Start: None Percentage of Travel Required: Up to 10% Type of Travel: Local CACI is seeking a motivated early-career Software Engineer with interest in Artificial Intelligence (AI), Machine Learning (ML), workflow automation, and modern full-stack development. This engineer will support CACI’s Enterprise Solutions Factory (ESF) and customer modernization initiatives by building AI-enabled tools, automation capabilities, backend services, and user-facing applications. The engineer will help design, develop, test, and deploy software solutions that integrate LLMs, modern APIs, automation pipelines, and data workflows. Solutions are expe"
linkedin_li-4391897067,Jr. AI Engineer,Infillion,1.0,32,2.0,2,0,4,8,3,1,"The Jr. AI Automation Developer role will develop AI automations and company-wide tools in support of the office of the COO. This role sits at the intersection of software development, AI, and business operations. An individual with expertise in software development, AI tools and an operational mindset will be deployed across the organization to help disseminate crucial information and efficiencies to teams. **What you’ll be doing:** | * Design and develop generative AI Products that address real challenges across the organization * Translate complex business problems into simple, scalable technical solutions * Partner with stakeholders across departments (Ops, HR, Finance, and the Executive"
linkedin_li-4365175295,Junior Data Platform Engineer,Trulioo,2.0,20,4.0,4,0,2,10,3,0,"**Junior Data Platform Engineer** who’s eager to grow their skills in building data pipelines, modeling complex information, and applying machine learning to improve data quality and search systems. This is an exciting opportunity to learn modern data engineering practices while contributing to the development of systems that support person and business verification services. You’ll collaborate with experienced engineers and data scientists, gaining hands-on experience across relational databases, NoSQL, and vector-based search technologies. If you enjoy tackling data challenges, exploring open-source tools, and are excited to grow into a well-rounded data engineer, we’d love to meet you. **"
linkedin_li-4375831146,Junior-Mid WPF Software Engineer,Kforce Inc,3.0,0,6.0,6,0,0,9,0,0,"**Responsibilities** | Kforce has a client in need of a Junior-Mid WPF Software Engineer in Carlsbad, CA. Responsibilities: * Contribute to CI/CD pipelines and production software tooling * Collaborate closely across software, hardware, and firmware teams * Develop Windows-based GUI applications using modern desktop frameworks * Build software modules for hardware communication, data storage/retrieval, and data processing * Apply multi-threading concepts where appropriate (nice to have, not required) * Produce clear documentation to support design verification and validation **Requirements** | * Bachelor's or Master's degree in Computer Science or a related field * 3\+ years of relevant prof"
linkedin_li-4380179411,Software Engineer,Ascensus,2.0,0,6.0,6,1,0,18,2,0,"**Job Summary** We are seeking a motivated and intellectually curious Software Engineer with 2–3 years of professional experience to join our growing team. The ideal candidate will have a strong foundation in computer science, hands-on experience with Java and Spring Boot, and a passion for continuous learning and innovation. Experience with containerization, cloud platforms, and AI-assisted development tools is highly valued. **Key Responsibilities** * Design, develop, test, and maintain scalable Java applications using Spring Boot. * Make changes and improve the performance on monilith application. * Collaborate with cross-functional teams to define, design, and ship new features. * Write "
linkedin_li-4387541884,Software Engineer Skill Level 0,CACI International Inc,,50,0.0,0,1,2,25,0,0,"Job Title: Software Engineer Skill Level 0 Minimum Clearance Required to Start: TS/SCI with Polygraph Percentage of Travel Required: Up to 10% Type of Travel: Continental US CACI is seeking an entry-level software engineer to develop, maintain, and enhance complex and diverse software systems (e.g., processing intensive analytics, novel algorithm development, manipulation of extremely large data sets, real-time systems, and business management information systems) based upon documented requirements. You will work individually or as part of a team. You will review and test software components for adherence to the design requirements and documents test results. You will resolve software proble"
linkedin_li-4363672575,DevOps Engineering Co‑Op (Summer or Fall 2026),Tektronix,,18,3.0,3,1,1,18,2,0,"Tektronix is seeking a DevOps Engineering Co‑op to join our platform engineering organization. In this role, you’ll contribute directly to a high‑impact initiative to improve the searchability of Tektronix’s internal documentation as well as help build, enhance, and automate the infrastructure and workflows that power next‑generation oscilloscope development—from CI/CD systems to cloud‑backed automation frameworks. You will be paired with a dedicated engineering mentor and contribute to real product development workflows, including CI pipeline enhancements, environment automation, infrastructure reliability improvements, telemetry/observability tooling, usability of AI tools and processes, a"
linkedin_li-4343437488,2026 Summer Intern – AI/ML Software Engineer (Master's),General Motors,,9,4.0,4,1,1,9,3,0,"As a Simulation Test Engineering AI/ML Software Engineer intern, you’ll partner with senior engineers to develop, evaluate, and deploy AI/ML tools to scale the development of end-to-end simulation tests, which are used by GM for validation of the autonomous driving software stack. You’ll learn about how simulation testing is performed at GM to evaluate AV stack performance, and your work will play a critical role in managing the creation and quality of these simulation tests throughout their lifecycle. **What You’ll Do:** | * Quickly ramp up on assigned codebase, product area, and/or system. * Meet with the cross-functional stakeholders working on code in your assigned area. * Develop data p"
linkedin_li-4343487523,2026 Summer Intern – AI/ML Software Engineer (Master's),General Motors,,9,4.0,4,1,1,9,3,0,"As a Simulation Test Engineering AI/ML Software Engineer intern, you’ll partner with senior engineers to develop, evaluate, and deploy AI/ML tools to scale the development of end-to-end simulation tests, which are used by GM for validation of the autonomous driving software stack. You’ll learn about how simulation testing is performed at GM to evaluate AV stack performance, and your work will play a critical role in managing the creation and quality of these simulation tests throughout their lifecycle. **What You’ll Do:** | * Quickly ramp up on assigned codebase, product area, and/or system. * Meet with the cross-functional stakeholders working on code in your assigned area. * Develop data p"
