term,z,c_2024,c_2026
development,-38.59646710150863,12171,11927
experience,-38.498864695367836,26177,30572
software,-37.47940602826079,13547,13884
project,-35.39412228505693,3195,1814
system,-34.39908317149794,5798,4758
years,-33.8822686025735,7780,7192
requirements,-33.138227292785025,5987,5125
knowledge,-30.867753344482676,5419,4711
web,-29.947432129239093,2928,1964
test,-28.913812743919188,4373,3681
management,-26.97097354479299,4820,4417
degree,-25.719169802469686,3837,3357
net,-25.244539361123465,1608,904
server,-24.864167541073034,1390,708
analysis,-24.297038115266787,2599,2033
maintenance,-24.134121309902174,1334,691
must,-23.19360601180179,2563,2075
ability,-22.983422408554866,4957,5028
related,-22.45279670546406,3548,3313
design,-22.421745933995222,9362,10981
etc,-22.27435118505881,2140,1658
computer,-21.20109966437047,3389,3232
developing,-21.114038324717946,2627,2310
projects,-20.4380149833422,2416,2110
procedures,-20.118458269549215,1197,754
specifications,-19.958800642064503,1041,601
existing,-19.805920914372685,1449,1040
responsible,-19.370069071565702,1877,1550
programming,-19.330187625006257,2288,2039
provide,-19.31341105539076,2651,2482
