,y2024,y2026,delta,ratio
python,35.13034854066308,50.176829616108606,15.046481075445527,1.4283043493869512
security,31.386370076508925,42.85551309109577,11.469143014586848,1.3654179501047465
aws,29.912864834230664,36.28429638925332,6.371431555022657,1.2129997106706922
cicd,18.68447152167753,34.88677200387884,16.20230048220131,1.8671532648597295
java,28.882119580617736,30.42895442359249,1.5468348429747536,1.0535568325813873
agile,32.480872768489654,26.920883007244313,-5.55998976124534,0.8288226489209614
machine_learning,10.130348540663077,26.39609834008328,16.265749799420206,2.6056456235567524
sql,29.126523094361005,24.676287718897953,-4.450235375463052,0.8472102090233821
azure,21.404788892037406,24.445268381723803,3.0404794896863976,1.1420466936171212
javascript,24.890195522810995,22.63989504306657,-2.250300479744425,0.9095908877982858
kubernetes,16.881552847832246,22.357538075409273,5.475985227577027,1.3243768672785452
devops_practice,15.064465854349674,20.17568877987565,5.111222925525976,1.3392900202996694
typescript,14.5862850665911,18.926473104785806,4.3401880381947056,1.2975526680289289
react,13.97704732218759,18.587074325480575,4.610027003292986,1.3298283891458884
docker,15.684329838481156,18.241971365010553,2.5576415265293964,1.1630698635433105
gcp,13.282799659960329,17.249443842336433,3.966644182376104,1.2986301294849125
go_lang,13.254463020685748,16.687581997604244,3.4331189769184967,1.2590160741752083
microservices,10.874185321620857,14.354571901203583,3.480386579582726,1.3200595241523763
terraform,7.243553414565032,12.500713022645598,5.257159608080566,1.7257708071165307
ai_agents,0.3400396712949844,12.400889852261708,12.060850180966723,36.468950240526304
llm,0.5844431850382544,9.845416690434087,9.260973505395832,16.84580630329304
postgresql,6.159676962312269,9.708516342479037,3.5488393801667675,1.576140502477678
kafka,6.843298384811561,9.323484113855455,2.4801857290438942,1.362425483966704
jenkins,8.111362992349108,9.252181849295534,1.1408188569464262,1.1406445326170809
generative_ai,1.0165769339756305,9.215104671724374,8.198527737748744,9.064837459655838
angular,9.652167752904505,8.570532200102674,-1.0816355528018313,0.8879385874249494
nodejs,10.240153017852084,8.490673663795562,-1.7494793540565219,0.829154959793415
spark,5.585860017001983,8.271062688951002,2.6852026719490185,1.480714279229326
spring,6.347407197506376,7.934516000228167,1.587108802721791,1.2500404895002322
scrum,8.047605553981297,7.8518053733386575,-0.1958001806426397,0.9756697592433846
unit_testing,9.096061207140833,7.3498374308368035,-1.7462237763040296,0.8080241835957346
bash_shell,6.822045905355625,7.267126803947294,0.44508089859166855,1.0652415572639666
html_css,11.982856333238878,7.0731846443443045,-4.909671688894574,0.5902753440116122
etl,4.608245962028904,7.007586560949177,2.399340598920273,1.520662442649632
serverless,4.551572683479739,6.8935029376533,2.341930254173561,1.514532100667922
dotnet,8.649759138566166,6.619702241743197,-2.030056896822969,0.765304806260827
rest_api,3.6660527061490504,5.692772802464206,2.0267200963151555,1.5528344131320722
gitlab_ci,3.372060073675262,5.667103987222634,2.295043913547372,1.6806058799082921
rag,0.09209407764239161,5.644287262563459,5.552193184921068,61.28827615257369
pytorch,2.2350524227826583,5.259255033939878,3.0242026111572198,2.353079051001436
snowflake,3.0851516010201188,5.259255033939878,2.1741034329197593,1.7046990599103404
oracle_db,6.007367526211391,5.156579772973589,-0.8507877532378023,0.8583759442841413
github_actions,1.5655993199206575,5.011123153271348,3.4455238333506903,3.2007698837818257
sre,2.8372060073675263,4.919856254634647,2.0826502472671207,1.7340497101229133
mysql,5.762964012468121,4.914152073469853,-0.848811938998268,0.8527126081020338
claude_api,0.028336639274582034,4.75158291027323,4.723246270998648,167.68336090354228
sass_less,3.79356758288467,4.74302663852604,0.9494590556413693,1.250281307739189
mongodb,4.767639557948428,4.688836917460498,-0.07880264048792984,0.9834713510679403
databricks,1.7462453952961179,4.666020192801323,2.9197747975052053,2.6720300625388833
ansible,4.923491073958629,4.529119844846273,-0.3943712291123562,0.9199000824438845
integration_testing,4.919948994049306,4.486338486110319,-0.4336105079389867,0.9118668692574984
sqlserver,6.028620005667327,4.474930123780731,-1.553689881886596,0.7422810061961082
nlp,1.597478039104562,4.389367406308824,2.791889367204262,2.747685601217533
grafana,1.2574383678095777,4.323769322913696,3.0663309551041182,3.438553676746464
graphql,2.284641541513176,4.243910786606583,1.9592692450934068,1.8575827802709624
rust,1.4841314820062341,4.098454166904341,2.614322684898107,2.7615168983303904
tensorflow,2.2740153017852083,4.089897895157151,1.8158825933719425,1.7985357846740915
prompt_engineering,0.20544063474071975,4.067081170497975,3.861640535757255,19.796868207844625
android,3.4039387928591665,4.018595630597228,0.6146568377380617,1.1805722356193649
kotlin,2.3165202606970814,3.8816952826421764,1.565175021945095,1.6756578168127512
copilot,0.07438367809577784,3.858878557983002,3.784494879887224,51.878028309036246
airflow,1.8418815528478323,3.821801380411842,1.9799198275640095,2.07494416484206
claude_tool,0.010626239727968263,3.8160971992470483,3.80547095951908,359.1201870971422
prometheus,1.2220175687163504,3.7818721122582852,2.5598545435419346,3.094777202123939
tdd,4.225701331822046,3.6563801266328215,-0.5693212051892247,0.8652717831944494
scala,5.245820345706999,3.6221550396440594,-1.6236653060629398,0.6904840045863003
langchain,0.12043071691697366,3.5394444127545492,3.4190136958375756,29.389880782613655
cloudformation,1.6222725984698216,3.3797273401403225,1.7574547416705009,2.0833288704550563
encryption,1.7922924341173139,3.3768752495579255,1.5845828154406116,1.8841095265912913
mlops,0.9067724567866251,3.325537619074782,2.4187651622881567,3.667444455535908
redis,2.677812411448002,3.3112771661627973,0.6334647547147951,1.236560541734234
vue,2.4865400963445734,3.0602931949118704,0.573753098567297,1.230743553828375
openai_api,0.1381411164635874,3.0203639267583138,2.8822228102947265,21.864337020574546
ios,2.897421365826013,3.0032513832639327,0.10583001743791964,1.0365255874365202
deep_learning,2.0437801076792295,2.860646854144088,0.8168667464648585,1.399684263192303
dynamodb,1.8843865117597052,2.775084136672181,0.8906976249124756,1.4726724689197184
datadog,0.9421932558798526,2.775084136672181,1.8328908807923283,2.9453449378394367
fine_tuning,0.9280249362425617,2.772232046089784,1.8442071098472221,2.9872387452369
nextjs,0.7402947010484556,2.6923735097826706,1.952078808734215,3.636894207090161
elasticsearch,2.465287616888637,2.672408875705892,0.20712125881725507,1.0840150485478268
swift,1.7108245962028903,2.521248074838857,0.8104234786359665,1.4737034295828284
fastapi,0.23023519410597904,2.4898750784324912,2.2596398843265124,10.814485109893244
splunk,2.065032587135166,2.4442416291141407,0.37920904197897487,1.1836334420780519
ruby,3.0320204023802777,2.3615310022246305,-0.6704894001556472,0.7788638230701609
computer_vision,1.8241711533012184,2.293080828247105,0.46890967494588653,1.2570535522926654
cursor_ide,0.0035420799093227543,2.241743197763961,2.238201117854638,632.8889395927214
helm,1.0024086143383395,2.1647367520392446,1.1623281377009052,2.1595352644371717
mcp,0.12751487673561918,2.153328389709657,2.0258135129740378,16.886879749523064
junit,1.8064607537546045,2.053505219325766,0.24704446557116144,1.1367560657255888
selenium,1.8666761122130917,1.9679425018538588,0.10126638964076706,1.054249577084215
grpc,0.648200623406064,1.9451257771946835,1.2969251537886195,3.0008082481836236
bigquery,0.6729951827713233,1.8852318749643489,1.2122366921930254,2.8012561207365
redshift,1.9233493907622554,1.85671096914038,-0.06663842162187539,0.9653529296642949
express,1.0342873335222442,1.6770292624493754,0.6427419289271312,1.621434593748999
django,1.0555398129781808,1.6370999942958189,0.5815601813176381,1.5509599677503207
transformers,0.29045055256446584,1.6114311790542468,1.320980626489781,5.548039639885305
dbt,0.5348540663077359,1.5857623638126748,1.0509082975049389,2.964850533454267
rabbitmq,0.793425899688297,1.5657977297358965,0.7723718300475995,1.9734643529421352
scikit_learn,0.6836214224992916,1.5486851862415152,0.8650637637422236,2.2654134807238577
cassandra,2.7592802493624258,1.520164280417546,-1.2391159689448799,0.5509278300994628
argocd,0.31878719183904786,1.463122468769608,1.1443352769305601,4.589652615367064
playwright,0.20544063474071975,1.4089327477040672,1.2034921129633473,6.858101609169177
gemini,0.10626239727968263,1.4032285665392732,1.2969661692595906,13.205316296845586
oauth,0.9209407764239161,1.4003764759568764,0.4794356995329603,1.5205934103544052
pandas,0.9705298951544347,1.3747076607153044,0.4041777655608697,1.4164506086611122
perl,1.958770189855483,1.3690034795505104,-0.5897667103049726,0.6989096968294758
react_native,0.9209407764239161,1.300553305572985,0.37961252914906884,1.4122008047283274
cypress,0.5419382261263814,1.2948491244081912,0.7529108982818098,2.3892928418491537
vector_databases,0.09917823746103713,1.2948491244081912,1.1956708869471542,13.055778742961447
mlflow,0.46401246812128083,1.2691803091666192,0.8051678410453383,2.7352288922436636
rails,0.7580051005950694,1.2577719468370316,0.4997668462419622,1.659318579584256
sagemaker,0.20898271465004248,1.220694769265872,1.0117120546158296,5.841127919646459
flask,0.7969679795976197,1.189321772859506,0.39235379326188635,1.492308101838648
jest,0.7969679795976197,1.1722092293651245,0.37524124976750484,1.4708360428193865
huggingface,0.06729951827713233,1.1493925047059494,1.0820929864288171,17.078762733083348
kanban,1.0697081326154718,1.1493925047059494,0.07968437209047763,1.0744916951277603
assembly,1.586851799376594,1.1151674177171869,-0.4716843816594072,0.7027546102007057
php,2.334230660243695,1.0980548742228053,-1.2361757860208897,0.4704140395911721
codex,0.0035420799093227543,1.0638297872340425,1.0602877073247199,300.3404255319149
numpy,0.8465570983281382,0.9354857110261822,0.08892861269804397,1.1050473888573715
jquery,2.6919807310852932,0.9326336204437853,-1.759347110641508,0.34644884700485457
pinecone,0.0389628790025503,0.8413667218070846,0.8024038428045344,21.594059354597828
webpack,1.0838764522527629,0.8328104500598938,-0.251066002192869,0.7683628962774811
pytest,0.20898271465004248,0.8242541783127033,0.6152714636626608,3.9441260952752955
objective_c,0.5348540663077359,0.8042895442359249,0.269435477928189,1.5037551266800417
bootstrap,1.5124681212808162,0.798585363071131,-0.7138827582096852,0.5280014512933061
tailwind,0.16647775573816945,0.6902059209400491,0.5237281652018796,4.145934799995631
circleci,1.7108245962028903,0.6873538303576522,-1.023470765845238,0.4017675639473548
chatgpt,0.2762822329271748,0.6388682904569049,0.36258605752973005,2.312375586689659
groovy,0.7721734202323605,0.6246078375449204,-0.14756558268744002,0.8088958013563391
pulumi,0.12751487673561918,0.6017911128857453,0.4742762361501261,4.719379638608433
c_cpp,1.558515160102012,0.5276367577434259,-1.030878402358586,0.3385509305593727
newrelic,0.5454803060357042,0.4877074895898694,-0.05777281644583476,0.8940881718247528
flutter,0.25502975347123835,0.47629912726028184,0.2212693737890435,1.867621800112816
c_lang,4.427599886653443,0.46203867434829726,-3.9655612123051456,0.10435420683360902
keras,0.18064607537546046,0.4563344931835035,0.27568841780804304,2.526124590501308
neo4j,0.2408614338339473,0.3222862358108493,0.081424801976902,1.3380566190311614
mocha,0.2939926324737886,0.22531515600935484,-0.06867747646443376,0.7663972872838682
svelte,0.09209407764239161,0.1882379784381952,0.0961439007958036,2.043974848948895
laravel,0.7367526211391329,0.1825337972734014,-0.5542188238657315,0.24775452714532062
elixir,0.14876735619155568,0.1711254349438138,0.02235807875225812,1.1502888760318455
csharp,0.4675545480306036,0.15401289144943245,-0.31354165658117117,0.3294009054091194
ember,0.18064607537546046,0.13690034795505104,-0.043745727420409414,0.7578373771503925
dart,0.09209407764239161,0.13119616679025725,0.03910208914786564,1.4245885310855935
lua,0.20544063474071975,0.0969710798014945,-0.10846955493922525,0.47201509050961943
nuxtjs,0.0389628790025503,0.0855627174719069,0.0465998384693566,2.196006036060796
remix,0.007084159818645509,0.0798585363071131,0.0727743764884676,11.272830985112087
haskell,0.028336639274582034,0.07700644572471622,0.04866980645013419,2.7175574696252354
clojure,0.049589118730518564,0.04848553990074725,-0.001103578829771315,0.9777455446270688
r_lang,0.06375743836780959,0.04848553990074725,-0.01527189846706234,0.7604687569321645
julia,0.046047038821195804,0.03992926815355655,-0.006117770667639251,0.8671408450086221
gin,0.010626239727968263,0.037077177571159664,0.0264509378431914,3.4892095906299323
erlang,0.024794559365259282,0.019964634076778277,-0.004829925288481005,0.8052022132222918
