comparison,source,group,n
arshkon all SWE,kaggle_arshkon,all_swe,4691
arshkon entry,kaggle_arshkon,entry,175
arshkon mid-senior,kaggle_arshkon,mid-senior,2064
arshkon senior,kaggle_arshkon,senior,2077
asaniczka all SWE,kaggle_asaniczka,all_swe,18129
asaniczka entry,kaggle_asaniczka,entry,158
asaniczka mid-senior,kaggle_asaniczka,mid-senior,10930
asaniczka senior,kaggle_asaniczka,senior,11015
scraped all SWE,scraped,all_swe,37152
scraped entry,scraped,entry,1042
scraped mid-senior,scraped,mid-senior,15534
scraped senior,scraped,senior,15799
pooled 2024 all SWE,pooled_2024,all_swe,22820
pooled 2024 entry,pooled_2024,entry,333
pooled 2024 mid-senior,pooled_2024,mid-senior,12994
pooled 2024 senior,pooled_2024,senior,13092
