period,metro_area,n,share
2024-01,__missing__,5244,0.3660477453580902
2024-01,Washington DC Metro,1859,0.1297640653357532
2024-01,San Francisco Bay Area,1371,0.09570012564567919
2024-01,Los Angeles Metro,887,0.061915398576015634
2024-01,Boston Metro,727,0.050746893759597934
2024-01,Dallas-Fort Worth Metro,606,0.04230071199218205
2024-01,Seattle Metro,589,0.04111405835543767
2024-01,Chicago Metro,576,0.040206617339103724
2024-01,Denver Metro,477,0.03329610498394527
2024-01,Atlanta Metro,442,0.030852994555353903
2024-01,Philadelphia Metro,417,0.029107915677788636
2024-01,Salt Lake City Metro,297,0.02073153706547536
2024-01,Detroit Metro,293,0.020452324445064916
2024-01,Phoenix Metro,278,0.019405277118525757
2024-01,Austin Metro,263,0.018358229791986598
2024-04,__missing__,1916,0.48408287013643253
2024-04,San Francisco Bay Area,359,0.09070237493683679
2024-04,Washington DC Metro,250,0.06316321374431531
2024-04,Dallas-Fort Worth Metro,245,0.061899949469429005
2024-04,Seattle Metro,173,0.043708943911066195
2024-04,Chicago Metro,151,0.038150581101566446
2024-04,Atlanta Metro,139,0.03511874684183931
2024-04,Boston Metro,132,0.03335017685699848
2024-04,Los Angeles Metro,121,0.03057099545224861
2024-04,Austin Metro,95,0.024002021222839818
2024-04,Denver Metro,80,0.0202122283981809
2024-04,Philadelphia Metro,80,0.0202122283981809
2024-04,Phoenix Metro,75,0.018948964123294592
2024-04,Charlotte Metro,75,0.018948964123294592
2024-04,Detroit Metro,67,0.016927741283476502
2026-03,__missing__,5137,0.29962088072324294
2026-03,San Francisco Bay Area,2440,0.14231554389034703
2026-03,Washington DC Metro,1319,0.07693205016039661
2026-03,Seattle Metro,1060,0.061825605132691745
2026-03,New York City Metro,981,0.05721784776902887
2026-03,Dallas-Fort Worth Metro,950,0.055409740449110526
2026-03,Salt Lake City Metro,850,0.04957713619130942
2026-03,Los Angeles Metro,773,0.04508603091280257
2026-03,Boston Metro,746,0.04351122776319627
2026-03,Atlanta Metro,559,0.0326042578011082
2026-03,Charlotte Metro,527,0.03073782443861184
2026-03,Chicago Metro,514,0.029979585885097696
2026-03,Austin Metro,509,0.029687955672207642
2026-03,Philadelphia Metro,417,0.024321959755030622
2026-03,Denver Metro,363,0.021172353455818024
2026-04,__missing__,4254,0.28099610278089704
2026-04,San Francisco Bay Area,2099,0.13864852368056013
2026-04,Washington DC Metro,1363,0.09003236673492304
2026-04,Seattle Metro,965,0.06374265143008125
2026-04,Dallas-Fort Worth Metro,891,0.058854613911090564
2026-04,New York City Metro,881,0.058194068300416145
2026-04,Los Angeles Metro,764,0.050465684655525464
2026-04,Salt Lake City Metro,745,0.04921064799524407
2026-04,Boston Metro,658,0.04346390118237664
2026-04,Austin Metro,528,0.03487680824360922
2026-04,Charlotte Metro,444,0.029328225113944117
2026-04,Atlanta Metro,429,0.028337406697932492
2026-04,Chicago Metro,420,0.027742915648325518
2026-04,Phoenix Metro,350,0.023119096373604597
2026-04,Philadelphia Metro,348,0.022986987251469714
