source,period,title_normalized,n,n_noagg,theme,ai_class,seniority_marker
kaggle_arshkon,2024-04,software engineer,419.0,387.0,General SWE,other,none
kaggle_arshkon,2024-04,data engineer,155.0,139.0,Data/Analytics,ai_domain,none
kaggle_arshkon,2024-04,devops engineer,88.0,80.0,DevOps,other,none
kaggle_arshkon,2024-04,java developer,77.0,66.0,General SWE,other,none
kaggle_arshkon,2024-04,full stack engineer,63.0,61.0,Full Stack,other,none
kaggle_arshkon,2024-04,dotnet developer,56.0,49.0,General SWE,other,none
kaggle_arshkon,2024-04,systems engineer,54.0,45.0,Embedded/Systems,other,none
kaggle_arshkon,2024-04,site reliability engineer,51.0,46.0,Reliability/SRE,other,none
kaggle_arshkon,2024-04,salesforce developer,50.0,44.0,General SWE,other,none
kaggle_arshkon,2024-04,machine learning engineer,48.0,45.0,AI/ML,ai_tool_or_domain,none
kaggle_arshkon,2024-04,system engineer,48.0,44.0,Embedded/Systems,other,none
kaggle_arshkon,2024-04,automation engineer,44.0,36.0,General SWE,other,none
kaggle_arshkon,2024-04,developer,43.0,19.0,General SWE,other,none
kaggle_arshkon,2024-04,python developer,43.0,38.0,General SWE,other,none
kaggle_arshkon,2024-04,embedded software engineer,41.0,37.0,Embedded/Systems,other,none
kaggle_arshkon,2024-04,software developer,39.0,34.0,General SWE,other,none
kaggle_arshkon,2024-04,cloud engineer,35.0,34.0,General SWE,other,none
kaggle_arshkon,2024-04,software development engineer,35.0,30.0,General SWE,other,none
kaggle_arshkon,2024-04,test engineer,34.0,28.0,QA/Testing,other,none
kaggle_arshkon,2024-04,frontend developer,30.0,26.0,Frontend/Web,other,none
kaggle_arshkon,2024-04,java software engineer,27.0,24.0,General SWE,other,none
kaggle_arshkon,2024-04,application developer,26.0,25.0,General SWE,other,none
kaggle_arshkon,2024-04,product engineer,26.0,24.0,General SWE,other,none
kaggle_arshkon,2024-04,application engineer,24.0,23.0,General SWE,other,none
kaggle_arshkon,2024-04,full stack developer,24.0,23.0,Full Stack,other,none
kaggle_arshkon,2024-04,infrastructure engineer,24.0,21.0,General SWE,other,none
kaggle_arshkon,2024-04,quality assurance engineer,23.0,21.0,QA/Testing,other,none
kaggle_arshkon,2024-04,servicenow developer,22.0,19.0,General SWE,other,none
kaggle_arshkon,2024-04,android developer,21.0,19.0,Mobile,other,none
