source,period,seniority_final,n,mean,median,p25,p75,metric,text_source,company_cap
kaggle_arshkon,2024-04,associate,15,1.8666666666666667,2.0,0.0,3.0,tech_count,llm,none
kaggle_arshkon,2024-04,director,13,3.0,3.0,1.0,4.0,tech_count,llm,none
kaggle_arshkon,2024-04,entry,175,2.3771428571428572,2.0,1.0,3.0,tech_count,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,3.2413793103448274,3.0,1.0,5.0,tech_count,llm,none
kaggle_arshkon,2024-04,unknown,2417,2.6375672321059165,2.0,1.0,4.0,tech_count,llm,none
kaggle_asaniczka,2024-01,associate,8,1.625,1.0,0.75,1.75,tech_count,llm,none
kaggle_asaniczka,2024-01,director,72,1.6388888888888888,1.0,0.0,2.25,tech_count,llm,none
kaggle_asaniczka,2024-01,entry,149,2.530201342281879,2.0,1.0,4.0,tech_count,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,2.9567014795474327,2.0,1.0,5.0,tech_count,llm,none
kaggle_asaniczka,2024-01,unknown,6153,2.389241020640338,2.0,0.0,4.0,tech_count,llm,none
scraped,2026-03,associate,15,5.066666666666666,6.0,1.0,6.5,tech_count,llm,none
scraped,2026-03,director,36,4.194444444444445,4.0,1.75,6.0,tech_count,llm,none
scraped,2026-03,entry,223,2.497757847533632,2.0,0.0,4.0,tech_count,llm,none
scraped,2026-03,mid-senior,1891,3.4352194606028554,3.0,1.0,5.0,tech_count,llm,none
scraped,2026-03,unknown,1814,2.8577728776185225,2.0,1.0,4.0,tech_count,llm,none
scraped,2026-04,associate,13,3.3076923076923075,3.0,2.0,4.0,tech_count,llm,none
scraped,2026-04,director,16,4.8125,4.0,1.0,8.5,tech_count,llm,none
scraped,2026-04,entry,62,2.564516129032258,2.0,0.0,4.0,tech_count,llm,none
scraped,2026-04,mid-senior,1010,3.4247524752475247,3.0,1.0,5.0,tech_count,llm,none
scraped,2026-04,unknown,886,2.7968397291196387,2.0,1.0,4.0,tech_count,llm,none
kaggle_arshkon,2024-04,associate,15,0.0,0.0,0.0,0.0,ai_count,llm,none
kaggle_arshkon,2024-04,director,13,0.0,0.0,0.0,0.0,ai_count,llm,none
kaggle_arshkon,2024-04,entry,175,0.14857142857142858,0.0,0.0,0.0,ai_count,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,0.11219038368139873,0.0,0.0,0.0,ai_count,llm,none
kaggle_arshkon,2024-04,unknown,2417,0.0674389739346297,0.0,0.0,0.0,ai_count,llm,none
kaggle_asaniczka,2024-01,associate,8,0.25,0.0,0.0,0.0,ai_count,llm,none
kaggle_asaniczka,2024-01,director,72,0.08333333333333333,0.0,0.0,0.0,ai_count,llm,none
kaggle_asaniczka,2024-01,entry,149,0.03355704697986577,0.0,0.0,0.0,ai_count,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,0.061248912097476065,0.0,0.0,0.0,ai_count,llm,none
kaggle_asaniczka,2024-01,unknown,6153,0.06874695270599708,0.0,0.0,0.0,ai_count,llm,none
scraped,2026-03,associate,15,0.13333333333333333,0.0,0.0,0.0,ai_count,llm,none
scraped,2026-03,director,36,0.3055555555555556,0.0,0.0,0.0,ai_count,llm,none
scraped,2026-03,entry,223,0.4439461883408072,0.0,0.0,0.0,ai_count,llm,none
scraped,2026-03,mid-senior,1891,0.3939714436805923,0.0,0.0,0.0,ai_count,llm,none
scraped,2026-03,unknown,1814,0.41620727673649394,0.0,0.0,0.0,ai_count,llm,none
scraped,2026-04,associate,13,0.0,0.0,0.0,0.0,ai_count,llm,none
scraped,2026-04,director,16,1.1875,0.0,0.0,2.25,ai_count,llm,none
scraped,2026-04,entry,62,0.43548387096774194,0.0,0.0,1.0,ai_count,llm,none
scraped,2026-04,mid-senior,1010,0.4,0.0,0.0,0.0,ai_count,llm,none
scraped,2026-04,unknown,886,0.4018058690744921,0.0,0.0,0.0,ai_count,llm,none
kaggle_arshkon,2024-04,associate,15,0.3333333333333333,0.0,0.0,0.5,soft_skill_count,llm,none
kaggle_arshkon,2024-04,director,13,0.46153846153846156,0.0,0.0,1.0,soft_skill_count,llm,none
kaggle_arshkon,2024-04,entry,175,0.4228571428571429,0.0,0.0,1.0,soft_skill_count,llm,none
kaggle_arshkon,2024-04,mid-senior,2059,0.36911121903836813,0.0,0.0,1.0,soft_skill_count,llm,none
kaggle_arshkon,2024-04,unknown,2417,0.3578816714935871,0.0,0.0,1.0,soft_skill_count,llm,none
kaggle_asaniczka,2024-01,associate,8,0.375,0.0,0.0,1.0,soft_skill_count,llm,none
kaggle_asaniczka,2024-01,director,72,0.2777777777777778,0.0,0.0,1.0,soft_skill_count,llm,none
kaggle_asaniczka,2024-01,entry,149,0.26174496644295303,0.0,0.0,0.0,soft_skill_count,llm,none
kaggle_asaniczka,2024-01,mid-senior,9192,0.30918189730200174,0.0,0.0,1.0,soft_skill_count,llm,none
kaggle_asaniczka,2024-01,unknown,6153,0.3217942467089225,0.0,0.0,1.0,soft_skill_count,llm,none
scraped,2026-03,associate,15,0.2,0.0,0.0,0.0,soft_skill_count,llm,none
scraped,2026-03,director,36,0.4444444444444444,0.0,0.0,1.0,soft_skill_count,llm,none
scraped,2026-03,entry,223,0.5201793721973094,0.0,0.0,1.0,soft_skill_count,llm,none
scraped,2026-03,mid-senior,1891,0.32416710735060816,0.0,0.0,1.0,soft_skill_count,llm,none
scraped,2026-03,unknown,1814,0.36108048511576624,0.0,0.0,1.0,soft_skill_count,llm,none
scraped,2026-04,associate,13,0.38461538461538464,0.0,0.0,1.0,soft_skill_count,llm,none
