source,period,seniority_final,section_label,n,median_share,mean_share,median_chars,mean_chars
kaggle_arshkon,2024-04,associate,unclassified,14,1.0,0.999599875218831,1808.5,2728.3571428571427
kaggle_arshkon,2024-04,director,unclassified,13,1.0,0.9996020928385908,2586.0,2975.846153846154
kaggle_arshkon,2024-04,entry,requirements,2,0.8975409836065574,0.8975409836065574,219.0,219.0
kaggle_arshkon,2024-04,entry,role_summary,1,0.9931082012405238,0.9931082012405238,2882.0,2882.0
kaggle_arshkon,2024-04,entry,unclassified,166,1.0,0.9991581643720762,1878.0,1918.0903614457832
kaggle_arshkon,2024-04,mid-senior,about_company,3,0.9955063947459385,0.9894511786689965,2880.0,2243.6666666666665
kaggle_arshkon,2024-04,mid-senior,benefits,2,0.5044778094761919,0.5044778094761919,385.5,385.5
kaggle_arshkon,2024-04,mid-senior,legal,1,0.03573251659009699,0.03573251659009699,140.0,140.0
kaggle_arshkon,2024-04,mid-senior,preferred,3,0.11921891058581706,0.37911026166331946,232.0,318.6666666666667
kaggle_arshkon,2024-04,mid-senior,requirements,2,0.6440941575330653,0.6440941575330653,1017.5,1017.5
kaggle_arshkon,2024-04,mid-senior,responsibilities,10,0.9647299678656578,0.9521484208860922,706.0,1086.5
kaggle_arshkon,2024-04,mid-senior,role_summary,9,0.9929411764705882,0.9899332325343079,2454.0,2281.4444444444443
kaggle_arshkon,2024-04,mid-senior,unclassified,1965,1.0,0.9980641890525384,2010.0,2165.780152671756
kaggle_arshkon,2024-04,unknown,about_company,1,0.9874815905743741,0.9874815905743741,1341.0,1341.0
kaggle_arshkon,2024-04,unknown,benefits,1,0.7737226277372263,0.7737226277372263,106.0,106.0
kaggle_arshkon,2024-04,unknown,requirements,17,0.9814516129032258,0.9689742981997709,980.0,893.1176470588235
kaggle_arshkon,2024-04,unknown,responsibilities,20,0.9831278650126015,0.9674904083922267,1231.0,1646.15
kaggle_arshkon,2024-04,unknown,role_summary,11,0.9931229773462783,0.9823209919194847,2050.0,2289.0
kaggle_arshkon,2024-04,unknown,unclassified,2293,1.0,0.998542962714192,1669.0,1815.8399476668121
kaggle_asaniczka,2024-01,associate,responsibilities,1,0.9876325088339223,0.9876325088339223,1677.0,1677.0
kaggle_asaniczka,2024-01,associate,unclassified,6,0.9961871283444759,0.9938150284976222,1750.5,2045.6666666666667
kaggle_asaniczka,2024-01,director,benefits,1,0.05316606929510155,0.05316606929510155,89.0,89.0
kaggle_asaniczka,2024-01,director,preferred,1,0.24074074074074073,0.24074074074074073,403.0,403.0
kaggle_asaniczka,2024-01,director,requirements,1,0.12305854241338113,0.12305854241338113,206.0,206.0
kaggle_asaniczka,2024-01,director,unclassified,46,0.9977808210543526,0.9875872493505393,2757.0,2841.4347826086955
kaggle_asaniczka,2024-01,entry,requirements,3,0.9681908548707754,0.9695130024943596,974.0,927.6666666666666
kaggle_asaniczka,2024-01,entry,responsibilities,3,0.9783464566929134,0.9791379283792376,994.0,1052.6666666666667
kaggle_asaniczka,2024-01,entry,unclassified,118,0.9967306769916884,0.9964072365490773,1829.5,1952.7203389830509
kaggle_asaniczka,2024-01,mid-senior,about_company,5,0.9876905041031653,0.7967639836835682,1685.0,1678.8
kaggle_asaniczka,2024-01,mid-senior,benefits,19,0.03194888178913738,0.12699446270949258,33.0,314.57894736842104
kaggle_asaniczka,2024-01,mid-senior,legal,13,0.06935563207083129,0.4629671177437762,141.0,958.1538461538462
kaggle_asaniczka,2024-01,mid-senior,preferred,21,0.1563255439161966,0.3120761869358343,205.0,677.7619047619048
kaggle_asaniczka,2024-01,mid-senior,requirements,48,0.9825414612281488,0.9413588310974316,1397.5,1411.6458333333333
kaggle_asaniczka,2024-01,mid-senior,responsibilities,145,0.9869835880022637,0.971976849112796,1754.0,1928.9448275862069
kaggle_asaniczka,2024-01,mid-senior,role_summary,94,0.9905502617512962,0.9756290496381426,2251.0,2561.148936170213
kaggle_asaniczka,2024-01,mid-senior,unclassified,6545,0.9974271012006861,0.9945161057891103,2274.0,2442.9014514896867
kaggle_asaniczka,2024-01,unknown,about_company,2,0.6347305009751131,0.6347305009751131,1031.0,1031.0
kaggle_asaniczka,2024-01,unknown,benefits,11,0.0754985754985755,0.08311942287044273,54.0,66.72727272727273
kaggle_asaniczka,2024-01,unknown,legal,5,0.9285714285714286,0.5826569336447117,117.0,462.2
kaggle_asaniczka,2024-01,unknown,preferred,15,0.125,0.34595610138422506,162.0,455.53333333333336
kaggle_asaniczka,2024-01,unknown,requirements,46,0.9767820808772663,0.865039207587384,938.0,1333.0434782608695
kaggle_asaniczka,2024-01,unknown,responsibilities,113,0.9854671280276817,0.969263408862599,1585.0,1711.3805309734514
kaggle_asaniczka,2024-01,unknown,role_summary,63,0.9888501742160278,0.9646094633737392,1853.0,1965.2222222222222
kaggle_asaniczka,2024-01,unknown,unclassified,4889,0.9970688812896922,0.9941099497413963,1911.0,2085.7502556760073
scraped,2026-03,associate,preferred,5,0.15915826911677533,0.14513205467160434,537.0,455.0
scraped,2026-03,associate,requirements,7,0.24208566108007448,0.2842047146511712,1015.0,822.8571428571429
scraped,2026-03,associate,responsibilities,4,0.4705629808661165,0.4438759236444057,1200.0,1538.25
scraped,2026-03,associate,role_summary,3,0.4108416547788873,0.5321840310865741,1152.0,1221.6666666666667
scraped,2026-03,associate,unclassified,13,0.6399751707014277,0.6661882379135122,1033.0,1519.3076923076924
scraped,2026-03,director,preferred,7,0.14480975249353528,0.2026428686863915,604.0,636.0
scraped,2026-03,director,requirements,13,0.36330586524478914,0.3792303842786244,1163.0,1250.2307692307693
scraped,2026-03,director,responsibilities,10,0.5882516701112281,0.5663535744712181,1678.5,1860.0
scraped,2026-03,director,role_summary,3,0.8165714285714286,0.6492412339337031,1429.0,2076.6666666666665
scraped,2026-03,director,unclassified,29,0.8260986788891884,0.642794772926065,2282.0,2202.2758620689656
scraped,2026-03,entry,benefits,1,0.004427227448810182,0.004427227448810182,8.0,8.0
scraped,2026-03,entry,preferred,59,0.1671602500822639,0.18296117352040484,424.0,490.47457627118644
scraped,2026-03,entry,requirements,88,0.308113774749594,0.3407230751423737,684.5,778.7386363636364
scraped,2026-03,entry,responsibilities,58,0.47724484207353607,0.5026642134021343,983.0,1086.396551724138
scraped,2026-03,entry,role_summary,29,0.6954436450839329,0.7060608761125132,1719.0,1734.896551724138
scraped,2026-03,entry,unclassified,166,0.7098967388032009,0.6543621912047518,1224.5,1475.05421686747
scraped,2026-03,mid-senior,about_company,7,0.16774922338322507,0.34699464114366646,594.0,1058.0
