company_name_canonical,n_2024,n_2026
Ace Technologies,3,3
Actalent,23,37
Aditi Consulting,8,3
Adobe,9,22
Akkodis,25,6
Amazon,31,46
Amazon Web Services (AWS),12,51
American Express,6,4
Ampstek,6,4
Anduril Industries,4,47
Apex Systems,52,19
"BAE Systems, Inc.",14,26
BCforward,8,4
BLUE ORIGIN,7,11
BioSpace,3,4
Boeing,8,10
Booz Allen Hamilton,9,54
Brooksource,5,3
ByteDance,3,19
CACI International Inc,10,11
CGI,8,11
Capgemini,4,18
Capital One,52,37
Cisco,5,17
Cloudflare,7,5
Cognizant,8,9
Collins Aerospace,3,5
ConsultNet Technology Services and Solutions,3,4
CrowdStrike,4,3
DataAnnotation,8,17
Deloitte,22,12
Dexian,7,4
Docusign,3,5
EVONA,4,3
Eliassen Group,12,3
Empower Professionals,7,3
Equifax,4,6
Esri,3,7
Experis,26,7
FastTek Global,5,3
Fidelity Investments,29,13
Ford Motor Company,14,8
GE HealthCare,4,4
"Gardner Resources Consulting, LLC",3,3
General Atomics,3,3
General Dynamics Information Technology,3,13
General Dynamics Mission Systems,5,8
General Motors,14,25
Goldman Sachs,6,9
Goliath Partners,5,5
Google,15,125
Harnham,6,8
Honeywell,11,7
Horizontal Talent,4,4
ICE,26,11
Infosys,5,5
Innova Solutions,3,6
Insight Global,25,9
Intellectt Inc,4,3
JPMorgan Chase & Co.,12,129
Jobot,12,13
Jobs via eFinancialCareers,3,5
KPG99 INC,4,3
Ledgent Technology,9,4
Leidos,13,24
LinkedIn,4,11
Lorven Technologies Inc.,3,6
Meta,4,7
Microsoft,19,34
"Mission Technologies, a division of HII",4,5
Motion Recruitment,40,32
Netflix,3,8
New York Technology Partners,3,4
Northrop Grumman,14,11
Oracle,19,12
Palo Alto Networks,13,7
Parsons Corporation,4,3
Photon,13,4
Pinterest,3,3
Piper Companies,16,14
Qualcomm,5,32
Raas Infotek,7,3
Randstad Digital Americas,7,11
Raytheon,3,26
Robert Half,20,9
Rocket Lab,3,4
SAIC,10,3
Smart IT Frame LLC,6,4
Snap Inc.,3,3
Stealth Startup,3,6
Synechron,15,10
SynergisticIT,5,4
System One,5,3
TEKsystems,23,13
Tata Consultancy Services,39,22
The Walt Disney Company,5,9
Themesoft Inc.,3,3
Thermo Fisher Scientific,6,4
TikTok,13,37
U.S. Bank,4,5
Uber,6,26
"Veridian Tech Solutions, Inc.",4,3
Virtusa,4,3
Visa,5,9
WEX,6,3
WHOOP,3,5
Wells Fargo,16,33
Western Union,3,3
Westinghouse Electric Company,3,8
Workday,4,11
"Yoh, A Day & Zimmermann Company",3,5
hackajob,10,50
myGwork - LGBTQ+ Business Community,12,21
