metro_area,year,n_posts,llm_text_share,entry_final_share,entry_yoe_share,ai_any_share,ai_count_mean,scope_any_share,scope_count_mean,soft_skill_any_share,soft_skill_count_mean,clean_len_mean,tech_count_mean,requirement_breadth_mean,stack_depth_mean,ai_domain_share,remote_share,domain_entropy,top_domain_family,top_domain_share,company_industry_mode
Atlanta Metro,2024,128,1.0,0.0546875,0.1015625,0.0078125,0.0078125,0.2421875,0.25,0.296875,0.3203125,736.6015625,4.1328125,5.46875,2.1640625,0.03125,0.0,0.8292336677697777,Requirements / Workflow,0.4296875,IT Services and IT Consulting
Atlanta Metro,2026,759,0.13570487483530963,0.019762845849802372,0.09749670619235837,0.2002635046113307,0.3451910408432148,0.4519104084321476,0.5533596837944664,0.391304347826087,0.4888010540184453,1321.722002635046,5.5059288537549405,7.627140974967062,2.699604743083004,0.10935441370223979,0.0,0.8614652251254984,Requirements / Workflow,0.3926218708827404,Financial Services
Austin Metro,2024,90,1.0,0.03333333333333333,0.13333333333333333,0.0,0.0,0.24444444444444444,0.2777777777777778,0.25555555555555554,0.28888888888888886,604.5444444444445,3.2333333333333334,4.677777777777778,2.2222222222222223,0.022222222222222223,0.0,0.7489235631323856,Requirements / Workflow,0.5,IT Services and IT Consulting
Austin Metro,2026,853,0.1559202813599062,0.031652989449003514,0.10199296600234467,0.16647127784290738,0.2708089097303634,0.48300117233294254,0.6318874560375146,0.365767878077374,0.48182883939038684,1389.5181711606097,4.38569753810082,6.522860492379836,2.6400937866354046,0.11137162954279015,0.0,0.8991818753874089,Requirements / Workflow,0.3528722157092614,IT Services and IT Consulting
Boston Metro,2024,113,1.0,0.035398230088495575,0.07964601769911504,0.008849557522123894,0.008849557522123894,0.3008849557522124,0.30973451327433627,0.48672566371681414,0.672566371681416,756.2300884955753,3.2920353982300883,4.991150442477876,2.309734513274336,0.0,0.0,0.8678724316128706,Requirements / Workflow,0.45132743362831856,Financial Services
Boston Metro,2026,1163,0.16337059329320722,0.03869303525365434,0.10834049871023216,0.15649183147033535,0.2596732588134136,0.4402407566638005,0.5580395528804815,0.352536543422184,0.4273430782459157,1341.8125537403268,3.9724849527085127,5.994840928632846,2.5760963026655204,0.0937231298366294,0.0,0.8655621530786632,Requirements / Workflow,0.42218400687876184,Software Development
Charlotte Metro,2024,68,1.0,0.058823529411764705,0.14705882352941177,0.0,0.0,0.1323529411764706,0.14705882352941177,0.19117647058823528,0.20588235294117646,626.9117647058823,4.264705882352941,5.352941176470588,1.9411764705882353,0.0,0.0,0.8594707516654845,Requirements / Workflow,0.47058823529411764,IT Services and IT Consulting
Charlotte Metro,2026,568,0.11795774647887323,0.01584507042253521,0.11619718309859155,0.17781690140845072,0.30633802816901406,0.3362676056338028,0.3961267605633803,0.31514084507042256,0.38204225352112675,1174.2482394366198,5.235915492957746,7.051056338028169,2.4735915492957745,0.11267605633802817,0.0,0.8944957049345089,Requirements / Workflow,0.34330985915492956,IT Services and IT Consulting
Chicago Metro,2024,140,0.9928571428571429,0.014285714285714285,0.09285714285714286,0.014285714285714285,0.014285714285714285,0.22142857142857142,0.24285714285714285,0.39285714285714285,0.5214285714285715,655.6214285714286,3.6214285714285714,5.15,2.2142857142857144,0.007142857142857143,0.0,0.7914290595612291,Requirements / Workflow,0.4357142857142857,IT Services and IT Consulting
Chicago Metro,2026,744,0.1639784946236559,0.04032258064516129,0.09946236559139784,0.13844086021505375,0.2567204301075269,0.41263440860215056,0.5241935483870968,0.3400537634408602,0.42338709677419356,1319.2486559139784,4.666666666666667,6.631720430107527,2.53494623655914,0.09946236559139784,0.0,0.8416863288891413,Requirements / Workflow,0.44086021505376344,Financial Services
Dallas-Fort Worth Metro,2024,208,1.0,0.038461538461538464,0.07211538461538461,0.004807692307692308,0.004807692307692308,0.22115384615384615,0.23557692307692307,0.28365384615384615,0.35096153846153844,636.6875,3.9278846153846154,5.1923076923076925,1.9855769230769231,0.004807692307692308,0.0,0.7910915899921936,Requirements / Workflow,0.3942307692307692,IT Services and IT Consulting
Dallas-Fort Worth Metro,2026,1334,0.13793103448275862,0.013493253373313344,0.07721139430284858,0.1679160419790105,0.2983508245877061,0.3778110944527736,0.46026986506746626,0.3748125937031484,0.44002998500749624,1256.035232383808,5.762368815592204,7.692653673163418,2.580209895052474,0.09895052473763119,0.0,0.8872956997985147,Requirements / Workflow,0.3448275862068966,IT Services and IT Consulting
