metric,metric_type,summary_kind,within_2024_effect,cross_period_effect,calibration_ratio
description_length_mean,continuous,mean,0.2453125466767066,0.7845095534879774,3.198000119096516
description_length_median,continuous,median,0.2453125466767066,0.7845095534879774,3.198000119096516
boilerplate_share,binary,share,0.05117821655779911,0.4689544465104303,9.163165073968678
ai_any_share,binary,share,-0.015738987354340872,0.2981808845413362,18.94536654920793
ai_tool_share,binary,share,-0.015102626297013422,0.2915027351855345,19.301459855573583
scope_term_share,binary,share,-0.08222515372667505,0.2211203631344298,2.689205834378332
ci_cd_share,binary,share,-0.0754109129981489,0.14378718400148513,1.9067158622653815
llm_share,binary,share,-0.011931636843337094,0.12127598575966894,10.164237091023459
credential_share,binary,share,0.05864982942899488,0.11302065087534918,1.9270414249401866
yoe_extracted_mean,continuous,mean,0.044019411032102794,-0.10228416763091788,2.3236150878148583
yoe_extracted_median,continuous,median,0.044019411032102794,-0.10228416763091788,2.3236150878148583
c_plus_plus_share,binary,share,0.08582558494152356,-0.09496124031007752,1.1064444288352762
go_share,binary,share,0.01585326283537948,0.08302886242031732,5.237335889935736
kubernetes_share,binary,share,-0.03375497351007467,0.08112961515774852,2.4034862635437766
aws_share,binary,share,-0.027816460633914186,0.07291601168928774,2.621326007248658
gcp_share,binary,share,-0.004964910600934763,0.05546591722283603,11.171584280368158
sql_share,binary,share,-0.00807694489953692,-0.051111066198376576,6.328019670074381
typescript_share,binary,share,-0.017994443144180375,0.05069581054012054,2.8173036605756923
yoe_ge_5_share,binary,share,0.045593789229558035,0.04681759591114465,1.0268415216692108
ai_domain_share,binary,share,-0.004250445044930034,0.04655354645922972,10.952628717023215
microservices_share,binary,share,-0.0158153187656475,0.04470220611352141,2.8265131279313325
javascript_share,binary,share,-0.01240265750335115,-0.044153522206353074,3.5600049581650515
postgresql_share,binary,share,-0.0037481293928239567,0.038965165683077785,10.395896619172003
management_strong_share,binary,share,-0.07819820634481586,0.038911457538003624,0.49760038441832183
angular_share,binary,share,-0.016848762739632747,-0.03856843652782643,2.2890960673986624
kafka_share,binary,share,-0.00838936289424598,0.03829446884703022,4.564645650660228
yoe_le_3_share,binary,share,0.022284694000581584,0.03317217147083218,1.488563023121002
html_share,binary,share,0.017065965942537786,-0.02808617855506751,1.6457420956795235
scrum_share,binary,share,-0.010550313127229649,-0.02776374254822879,2.631556259365652
python_share,binary,share,-0.001291960112626507,0.020102752851210104,15.559886605432386
yoe_le_2_share,binary,share,0.0086909650559941,0.0154948934220809,1.7828737455795174
c_sharp_share,binary,share,-0.017208788130243916,-0.015166094777846653,0.8812994072018766
nodejs_share,binary,share,-0.012213469080902428,-0.012246392758869518,1.0026956860290064
soft_skill_share,binary,share,-0.04746191408327832,-0.011303599605965609,0.23816147798278678
java_share,binary,share,0.0064348000312063405,0.009460680397986712,1.470236891916765
management_broad_share,binary,share,-0.13351392228203435,0.00528005335632864,0.0395468372592266
