source_a,community_a,size_a,best_source_b,community_b,size_b,jaccard,status,members_a
kaggle_arshkon,1,11,scraped,1,15,0.4444444444444444,fragmented,"aws, ci_cd, cloudformation, gcp, go, kubernetes, microservices, mysql, postgresql, serverless, splunk"
kaggle_arshkon,2,11,scraped,3,10,0.75,stable,"angular, bootstrap, css, graphql, html, javascript, jest, nodejs, react, typescript, vue"
kaggle_arshkon,3,10,scraped,4,8,0.2,new,"airflow, cassandra, elasticsearch, hadoop, java, kafka, redshift, scala, spring, tableau"
kaggle_arshkon,4,6,scraped,5,7,0.625,stable,"bdd, junit, openshift, qa, selenium, tdd"
kaggle_arshkon,5,4,scraped,4,8,0.5,stable,"aspnet, c_sharp, dotnet, sql"
kaggle_arshkon,6,4,scraped,2,12,0.3333333333333333,fragmented,"generative_ai, llm, pytorch, tensorflow"
kaggle_arshkon,7,3,scraped,7,3,1.0,stable,"agile, kanban, scrum"
kaggle_arshkon,8,2,scraped,6,5,0.4,fragmented,"django, flask"
kaggle_arshkon,9,2,scraped,11,1,0.5,stable,"linux, perl"
kaggle_arshkon,10,1,scraped,8,1,1.0,stable,python
kaggle_arshkon,11,1,scraped,1,15,0.0,new,c_plus_plus
kaggle_arshkon,12,1,scraped,10,1,1.0,stable,kotlin
kaggle_arshkon,13,1,scraped,13,1,1.0,stable,r_language
kaggle_arshkon,14,1,scraped,15,1,1.0,stable,rest_api
kaggle_arshkon,15,1,scraped,16,1,1.0,stable,oauth
kaggle_arshkon,16,1,scraped,19,1,1.0,stable,azure
kaggle_arshkon,17,1,scraped,1,15,0.06666666666666667,new,docker
kaggle_arshkon,18,1,scraped,20,1,1.0,stable,terraform
kaggle_arshkon,19,1,scraped,23,1,1.0,stable,git
