uid,source,period,title,company_name,seniority_final,seniority_native,yoe_extracted,seniority_final_source,sample_reason,title_has_level_code
arshkon_3887710459,kaggle_arshkon,2024-04,"ML Engineer L5, LLM Application Frameworks, Machine Learning Platform",Netflix,unknown,,2.0,llm,weak_level_code,True
arshkon_3889417436,kaggle_arshkon,2024-04,Cyber Security Specialist - Data Engineer L4 (Remote),Talentify.io,unknown,entry,5.0,llm,weak_level_code,True
arshkon_3901942046,kaggle_arshkon,2024-04,Software Engineer L3,"Sira Consulting, an Inc 5000 company",unknown,,2.0,llm,weak_level_code,True
arshkon_3905293253,kaggle_arshkon,2024-04,CDN Site Reliability Engineer L4/5 - Open Connect,Netflix,unknown,,3.0,llm,weak_level_code,True
asaniczka_200ea031e12aeed5,kaggle_asaniczka,2024-01,L3 Systems Engineer (Hybrid in La Canada),New Charter Technologies,unknown,mid-senior,8.0,llm,weak_level_code,True
asaniczka_22175fd739e152a5,kaggle_asaniczka,2024-01,Hadoop L2 Support/Devops,"Kaygen, Inc.",unknown,mid-senior,,llm,weak_level_code,True
asaniczka_488987de0bc7b5ff,kaggle_asaniczka,2024-01,"Software Development Engineer (L5) - AWS WorkSpaces, Control Plane",Amazon Web Services (AWS),unknown,mid-senior,3.0,llm,weak_level_code,True
asaniczka_f67da0a218324339,kaggle_asaniczka,2024-01,ServiceNow Developer (L4) - PIPELINE Position,Solutions³ LLC,unknown,mid-senior,6.0,llm,weak_level_code,True
asaniczka_f9bd5e640711beba,kaggle_asaniczka,2024-01,L3 Application Developer (Payments & Swift),Executive Technocrats Inc,unknown,mid-senior,5.0,llm,weak_level_code,True
asaniczka_fb5666b0de91d431,kaggle_asaniczka,2024-01,Java Software Engineer (L3),Nine Mind Solutions,mid-senior,associate,2.0,llm,weak_level_code,True
linkedin_li-4309915049,scraped,2026-03,"Software Engineer L5, Ads Eventing",Netflix,unknown,,,llm,weak_level_code,True
linkedin_li-4388972597,scraped,2026-03,DEVOPS ENGINEER L4,Wipro,unknown,entry,,llm,weak_level_code,True
linkedin_li-4389030871,scraped,2026-03,Software Engineer - L3 Support,Canonical,unknown,mid-senior,,llm,weak_level_code,True
linkedin_li-4390036118,scraped,2026-03,"Systems Engineer with Network Background domain –L3 level FOR Middletown, NJ",Jobs via Dice,unknown,mid-senior,,llm,weak_level_code,True
linkedin_li-4393252622,scraped,2026-03,Software Engineer - L2,"Technology Resource Experts, LLC",unknown,mid-senior,14.0,llm,weak_level_code,True
linkedin_li-4352000107,scraped,2026-04,"Software Engineer L4, Ads Engineering",Netflix,unknown,,,llm,weak_level_code,True
asaniczka_00a0b31774f9c62e,kaggle_asaniczka,2024-01,"Mission Software Engineer, General",Anduril Industries,unknown,mid-senior,2.0,llm,broader_llm_routed_spot_check,False
asaniczka_00ae780a4c6757cc,kaggle_asaniczka,2024-01,System Engineer Level 3 with Security Clearance,ClearanceJobs,unknown,mid-senior,4.0,llm,broader_llm_routed_spot_check,True
asaniczka_00b124b801282c88,kaggle_asaniczka,2024-01,Javascript Developer,Innovalus,unknown,mid-senior,5.0,llm,broader_llm_routed_spot_check,False
asaniczka_00b56fbca3687bc5,kaggle_asaniczka,2024-01,Systems Engineer III with Security Clearance,ClearanceJobs,mid-senior,mid-senior,20.0,llm,broader_llm_routed_spot_check,True
asaniczka_00ce337c3685001f,kaggle_asaniczka,2024-01,Server Infrastructure Engineer,Epic,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
asaniczka_00fadee8350a0e88,kaggle_asaniczka,2024-01,QA Test Engineers,Accroid Inc,unknown,mid-senior,3.0,llm,broader_llm_routed_spot_check,False
asaniczka_010d9ae61cc1cc22,kaggle_asaniczka,2024-01,"Operations Systems Engineer 3- Hyrbid DSM, IA",Wellabe,unknown,mid-senior,,llm,broader_llm_routed_spot_check,False
