title_normalized,source,seniority_native,n,mean_yoe,median_yoe,share_yoe_le2
ai engineer,scraped,associate,10,4.0,4.0,0.1
ai engineer,scraped,entry,46,2.2857142857142856,2.0,0.2391304347826087
ai engineer,kaggle_arshkon,mid-senior,4,5.0,5.0,0.0
ai engineer,scraped,mid-senior,269,5.315789473684211,5.0,0.09665427509293681
android developer,scraped,associate,10,5.142857142857143,5.0,0.0
android developer,scraped,entry,18,4.0,4.0,0.05555555555555555
android developer,kaggle_arshkon,mid-senior,9,4.666666666666667,5.0,0.1111111111111111
android developer,scraped,mid-senior,95,5.827586206896552,5.0,0.0
cloud engineer,kaggle_arshkon,associate,3,,,0.0
cloud engineer,scraped,associate,9,7.0,8.5,0.2222222222222222
cloud engineer,kaggle_arshkon,entry,6,4.2,3.0,0.16666666666666666
cloud engineer,scraped,entry,20,1.75,2.0,0.2
cloud engineer,kaggle_arshkon,mid-senior,19,4.636363636363637,5.0,0.05263157894736842
cloud engineer,scraped,mid-senior,181,5.453781512605042,5.0,0.03867403314917127
data engineer,kaggle_arshkon,associate,8,3.1666666666666665,3.0,0.25
data engineer,scraped,associate,58,5.285714285714286,5.0,0.08620689655172414
data engineer,scraped,director,12,9.625,8.5,0.0
data engineer,kaggle_arshkon,entry,24,3.8,3.0,0.20833333333333334
data engineer,scraped,entry,139,2.196078431372549,2.0,0.31654676258992803
data engineer,kaggle_arshkon,mid-senior,82,5.083333333333333,5.0,0.024390243902439025
data engineer,scraped,mid-senior,865,5.519417475728155,5.0,0.04508670520231214
developer,kaggle_arshkon,entry,23,6.647058823529412,8.0,0.043478260869565216
developer,scraped,entry,8,2.5,2.5,0.125
developer,kaggle_arshkon,mid-senior,8,6.142857142857143,7.0,0.0
developer,scraped,mid-senior,77,6.489795918367347,6.0,0.03896103896103896
devops engineer,scraped,associate,22,6.4375,4.5,0.09090909090909091
devops engineer,scraped,director,4,7.25,3.0,0.0
devops engineer,kaggle_arshkon,entry,9,5.5,5.5,0.0
devops engineer,scraped,entry,73,3.25,2.0,0.2054794520547945
devops engineer,kaggle_arshkon,mid-senior,53,5.735294117647059,5.0,0.018867924528301886
devops engineer,scraped,mid-senior,431,5.347972972972973,5.0,0.04408352668213457
embedded software engineer,kaggle_arshkon,associate,3,3.0,3.0,0.3333333333333333
embedded software engineer,scraped,associate,19,3.888888888888889,4.0,0.10526315789473684
embedded software engineer,kaggle_arshkon,entry,7,3.0,3.0,0.0
embedded software engineer,scraped,entry,38,2.3333333333333335,2.0,0.2894736842105263
embedded software engineer,kaggle_arshkon,mid-senior,21,6.875,6.5,0.0
embedded software engineer,scraped,mid-senior,217,5.724550898203593,5.0,0.06451612903225806
full stack developer,scraped,associate,9,4.333333333333333,5.0,0.1111111111111111
full stack developer,kaggle_arshkon,entry,6,6.666666666666667,7.0,0.0
full stack developer,scraped,entry,28,4.7272727272727275,4.0,0.07142857142857142
full stack developer,kaggle_arshkon,mid-senior,10,3.75,4.0,0.1
full stack developer,scraped,mid-senior,166,5.528985507246377,5.0,0.04216867469879518
full stack engineer,kaggle_arshkon,associate,6,3.6666666666666665,4.0,0.0
full stack engineer,scraped,associate,17,3.5384615384615383,3.0,0.23529411764705882
full stack engineer,scraped,entry,41,3.4545454545454546,2.0,0.1951219512195122
full stack engineer,kaggle_arshkon,mid-senior,31,5.105263157894737,5.0,0.06451612903225806
full stack engineer,scraped,mid-senior,280,5.304347826086956,5.0,0.07142857142857142
java developer,kaggle_arshkon,associate,4,1.0,1.0,0.25
java developer,scraped,associate,4,5.666666666666667,5.0,0.25
java developer,kaggle_arshkon,entry,18,5.454545454545454,5.0,0.05555555555555555
java developer,scraped,entry,34,2.0,2.0,0.17647058823529413
java developer,kaggle_arshkon,mid-senior,24,5.9523809523809526,5.0,0.125
java developer,scraped,mid-senior,115,6.153846153846154,6.0,0.034782608695652174
java software engineer,scraped,associate,7,3.5,2.0,0.42857142857142855
java software engineer,kaggle_arshkon,entry,3,5.0,5.0,0.0
java software engineer,scraped,entry,13,2.0,2.0,0.07692307692307693
java software engineer,kaggle_arshkon,mid-senior,13,5.111111111111111,5.0,0.07692307692307693
java software engineer,scraped,mid-senior,98,6.904761904761905,7.0,0.02040816326530612
machine learning engineer,scraped,associate,18,3.111111111111111,3.0,0.1111111111111111
machine learning engineer,scraped,director,4,6.75,6.0,0.25
machine learning engineer,scraped,entry,36,1.75,2.0,0.4166666666666667
machine learning engineer,kaggle_arshkon,mid-senior,31,4.571428571428571,5.0,0.06451612903225806
machine learning engineer,scraped,mid-senior,281,4.900552486187845,5.0,0.07829181494661921
quality assurance engineer,scraped,associate,10,3.25,2.0,0.5
quality assurance engineer,kaggle_arshkon,entry,6,3.8,3.0,0.0
quality assurance engineer,scraped,entry,18,1.25,1.0,0.2222222222222222
quality assurance engineer,kaggle_arshkon,mid-senior,9,4.75,5.0,0.1111111111111111
quality assurance engineer,scraped,mid-senior,97,4.6461538461538465,5.0,0.09278350515463918
site reliability engineer,kaggle_arshkon,associate,3,6.0,6.0,0.0
site reliability engineer,scraped,associate,11,3.875,3.0,0.18181818181818182
site reliability engineer,kaggle_arshkon,entry,5,4.333333333333333,3.0,0.0
site reliability engineer,scraped,entry,17,3.0,2.0,0.23529411764705882
site reliability engineer,kaggle_arshkon,mid-senior,27,5.153846153846154,5.0,0.037037037037037035
site reliability engineer,scraped,mid-senior,203,5.165517241379311,5.0,0.08866995073891626
software developer,scraped,associate,12,4.0,3.0,0.08333333333333333
software developer,kaggle_arshkon,entry,12,3.8333333333333335,3.0,0.08333333333333333
software developer,scraped,entry,64,1.96,2.0,0.328125
software developer,kaggle_arshkon,mid-senior,17,5.181818181818182,4.0,0.11764705882352941
software developer,scraped,mid-senior,140,4.86734693877551,5.0,0.07857142857142857
software development engineer,scraped,associate,6,4.4,5.0,0.16666666666666666
software development engineer,kaggle_arshkon,entry,8,3.2,3.0,0.25
software development engineer,scraped,entry,29,2.1333333333333333,2.0,0.41379310344827586
software development engineer,kaggle_arshkon,mid-senior,20,5.666666666666667,5.0,0.05
software development engineer,scraped,mid-senior,157,5.137096774193548,5.0,0.03821656050955414
software engineer,kaggle_arshkon,associate,18,3.357142857142857,3.0,0.2222222222222222
software engineer,scraped,associate,143,4.537735849056604,4.0,0.16783216783216784
software engineer,scraped,director,27,8.277777777777779,10.0,0.0
software engineer,kaggle_arshkon,entry,52,3.0,2.0,0.38461538461538464
software engineer,scraped,entry,477,2.055793991416309,2.0,0.4192872117400419
software engineer,scraped,executive,4,6.0,6.0,0.0
software engineer,scraped,intern,10,,,0.0
software engineer,kaggle_arshkon,mid-senior,244,5.3,5.0,0.05327868852459016
software engineer,scraped,mid-senior,2358,5.468874928612221,5.0,0.07845631891433417
system engineer,kaggle_arshkon,associate,11,3.0,2.5,0.36363636363636365
system engineer,scraped,associate,12,4.8,3.0,0.25
system engineer,kaggle_arshkon,entry,3,6.5,6.5,0.0
system engineer,scraped,entry,9,2.0,2.0,0.3333333333333333
system engineer,kaggle_arshkon,mid-senior,27,5.7894736842105265,5.0,0.07407407407407407
system engineer,scraped,mid-senior,115,6.35064935064935,5.0,0.043478260869565216
systems engineer,scraped,associate,8,5.428571428571429,5.0,0.25
systems engineer,kaggle_arshkon,entry,19,3.8666666666666667,3.0,0.21052631578947367
systems engineer,scraped,entry,23,3.0,2.0,0.34782608695652173
systems engineer,kaggle_arshkon,mid-senior,27,5.555555555555555,5.0,0.037037037037037035
systems engineer,scraped,mid-senior,141,6.773584905660377,6.0,0.07801418439716312
test engineer,kaggle_arshkon,associate,6,3.8,3.0,0.3333333333333333
test engineer,scraped,associate,24,3.4285714285714284,3.0,0.16666666666666666
test engineer,kaggle_arshkon,entry,10,2.7142857142857144,2.0,0.4
