source,method,company_name_canonical,n,entry_share,mean_yoe,mean_len
kaggle_arshkon,seniority_final,SynergisticIT,5,1.0,,3644.0
kaggle_arshkon,yoe_proxy,Microsoft,19,0.5263157894736842,3.3333333333333335,5966.421052631579
kaggle_arshkon,yoe_proxy,Leidos,13,0.5384615384615384,3.4545454545454546,4063.153846153846
kaggle_arshkon,yoe_proxy,"Lowe's Companies, Inc.",9,0.5555555555555556,3.3333333333333335,3418.222222222222
kaggle_arshkon,yoe_proxy,Cogent Communications,6,0.8333333333333334,2.0,4232.666666666667
kaggle_arshkon,yoe_proxy,Tech Consulting,6,0.6666666666666666,2.4,3753.0
kaggle_arshkon,yoe_proxy,Qualcomm,5,0.8,2.4,4816.2
kaggle_arshkon,yoe_proxy,Macquarie Group,5,0.6,2.25,4306.4
kaggle_asaniczka,yoe_proxy,Medtronic,26,0.6538461538461539,2.96,5479.615384615385
kaggle_asaniczka,yoe_proxy,Wells Fargo,21,0.5238095238095238,3.1,6047.047619047619
kaggle_asaniczka,yoe_proxy,Ball Aerospace,16,0.5625,5.6875,6873.6875
kaggle_asaniczka,yoe_proxy,Anyscale,7,0.5714285714285714,2.0,3772.5714285714284
kaggle_asaniczka,yoe_proxy,RoviSys,7,0.5714285714285714,4.0,2214.8571428571427
kaggle_asaniczka,yoe_proxy,ADP,6,0.6666666666666666,3.0,8225.0
kaggle_asaniczka,yoe_proxy,Bell Flight,5,0.8,2.8,5217.6
kaggle_asaniczka,yoe_proxy,The Reynolds and Reynolds Company,5,0.8,2.0,1999.4
kaggle_asaniczka,yoe_proxy,Alcon,5,0.6,3.6,4683.8
kaggle_asaniczka,yoe_proxy,Lark,5,0.6,1.3333333333333333,5432.2
kaggle_asaniczka,yoe_proxy,Nine Mind Solutions,5,0.6,3.2,3049.8
scraped,seniority_final,SynergisticIT,17,1.0,,4596.64705882353
scraped,seniority_final,WayUp,14,0.7142857142857143,,5123.214285714285
scraped,seniority_final,Emonics LLC,9,1.0,,623.6666666666666
scraped,seniority_final,Tech Consulting,9,0.6666666666666666,1.3333333333333333,2082.3333333333335
scraped,seniority_final,CGI Technologies and Solutions,5,1.0,6.0,8736.4
scraped,seniority_final,SkillStorm,5,1.0,,4557.2
scraped,seniority_final,Bose Corporation,5,0.6,8.0,6172.2
scraped,yoe_proxy,Google,706,0.5084985835694051,2.7707736389684814,4766.409348441926
scraped,yoe_proxy,Walmart,227,0.7312775330396476,2.171806167400881,8715.052863436124
scraped,yoe_proxy,Qualcomm,156,0.6025641025641025,2.091666666666667,6267.179487179487
scraped,yoe_proxy,SpaceX,146,0.6232876712328768,2.7857142857142856,5923.41095890411
scraped,yoe_proxy,Visa,60,0.5166666666666667,2.816326530612245,7121.683333333333
scraped,yoe_proxy,VIZIO,19,0.8421052631578947,1.736842105263158,6615.894736842105
scraped,yoe_proxy,AaraTechnologies Inc,18,1.0,2.0,1263.1666666666667
scraped,yoe_proxy,Latitude AI,18,0.9444444444444444,2.1666666666666665,5761.722222222223
scraped,yoe_proxy,"Super Micro Computer Spain, S.L.",17,0.5882352941176471,3.3529411764705883,3714.3529411764707
scraped,yoe_proxy,Snap Inc.,15,0.6,3.0,6573.4
scraped,yoe_proxy,Alarm.com,13,0.5384615384615384,3.9166666666666665,7876.692307692308
scraped,yoe_proxy,AARATECH,12,0.9166666666666666,2.0833333333333335,1583.1666666666667
scraped,yoe_proxy,"Steampunk, Inc.",11,0.8181818181818182,2.8181818181818183,5072.636363636364
scraped,yoe_proxy,Cox Automotive Inc.,11,0.7272727272727273,2.1,5111.727272727273
scraped,yoe_proxy,OCLC,11,0.7272727272727273,3.090909090909091,4638.090909090909
scraped,yoe_proxy,Tech Consulting,9,0.6666666666666666,1.3333333333333333,2082.3333333333335
scraped,yoe_proxy,Sam's Club,8,0.875,1.625,10077.5
scraped,yoe_proxy,Mirage,8,0.75,2.0,4246.125
scraped,yoe_proxy,Retell AI,7,0.5714285714285714,2.0,5360.571428571428
scraped,yoe_proxy,Pismo,6,1.0,2.0,6042.0
