source,period,seniority_final,n,mean,median,p25,p75,metric,text_source,company_cap
kaggle_arshkon,2024-04,associate,15,1.8666666666666667,2.0,0.0,3.0,tech_count,llm,25
kaggle_arshkon,2024-04,director,13,3.0,3.0,1.0,4.0,tech_count,llm,25
kaggle_arshkon,2024-04,entry,172,2.372093023255814,2.0,1.0,3.0,tech_count,llm,25
kaggle_arshkon,2024-04,mid-senior,1992,3.198293172690763,3.0,1.0,5.0,tech_count,llm,25
kaggle_arshkon,2024-04,unknown,2366,2.643702451394759,2.0,1.0,4.0,tech_count,llm,25
kaggle_asaniczka,2024-01,associate,7,1.8571428571428572,1.0,1.0,2.5,tech_count,llm,25
kaggle_asaniczka,2024-01,director,46,1.7826086956521738,1.0,0.0,3.0,tech_count,llm,25
kaggle_asaniczka,2024-01,entry,118,2.7033898305084745,2.0,1.0,4.0,tech_count,llm,25
kaggle_asaniczka,2024-01,mid-senior,6690,2.864275037369208,2.0,1.0,4.0,tech_count,llm,25
kaggle_asaniczka,2024-01,unknown,4984,2.4101123595505616,2.0,0.0,4.0,tech_count,llm,25
scraped,2026-03,associate,11,4.818181818181818,6.0,3.0,6.0,tech_count,llm,25
scraped,2026-03,director,30,4.266666666666667,4.5,1.25,6.0,tech_count,llm,25
scraped,2026-03,entry,161,2.5341614906832297,2.0,0.0,4.0,tech_count,llm,25
scraped,2026-03,mid-senior,1411,3.539333805811481,3.0,1.0,5.0,tech_count,llm,25
scraped,2026-03,unknown,1334,2.9130434782608696,2.0,1.0,4.0,tech_count,llm,25
scraped,2026-04,associate,11,3.272727272727273,3.0,1.5,4.5,tech_count,llm,25
scraped,2026-04,director,15,5.066666666666666,4.0,1.0,9.0,tech_count,llm,25
scraped,2026-04,entry,58,2.4310344827586206,1.5,0.0,4.0,tech_count,llm,25
scraped,2026-04,mid-senior,819,3.52991452991453,3.0,1.0,5.0,tech_count,llm,25
scraped,2026-04,unknown,716,2.844972067039106,2.0,1.0,4.0,tech_count,llm,25
kaggle_arshkon,2024-04,associate,15,0.0,0.0,0.0,0.0,ai_count,llm,25
kaggle_arshkon,2024-04,director,13,0.0,0.0,0.0,0.0,ai_count,llm,25
kaggle_arshkon,2024-04,entry,172,0.13953488372093023,0.0,0.0,0.0,ai_count,llm,25
kaggle_arshkon,2024-04,mid-senior,1992,0.11395582329317269,0.0,0.0,0.0,ai_count,llm,25
kaggle_arshkon,2024-04,unknown,2366,0.06846999154691462,0.0,0.0,0.0,ai_count,llm,25
kaggle_asaniczka,2024-01,associate,7,0.2857142857142857,0.0,0.0,0.0,ai_count,llm,25
kaggle_asaniczka,2024-01,director,46,0.13043478260869565,0.0,0.0,0.0,ai_count,llm,25
kaggle_asaniczka,2024-01,entry,118,0.0423728813559322,0.0,0.0,0.0,ai_count,llm,25
kaggle_asaniczka,2024-01,mid-senior,6690,0.06278026905829596,0.0,0.0,0.0,ai_count,llm,25
kaggle_asaniczka,2024-01,unknown,4984,0.06721508828250401,0.0,0.0,0.0,ai_count,llm,25
scraped,2026-03,associate,11,0.18181818181818182,0.0,0.0,0.0,ai_count,llm,25
scraped,2026-03,director,30,0.36666666666666664,0.0,0.0,0.0,ai_count,llm,25
scraped,2026-03,entry,161,0.38509316770186336,0.0,0.0,0.0,ai_count,llm,25
scraped,2026-03,mid-senior,1411,0.40396881644223953,0.0,0.0,0.0,ai_count,llm,25
scraped,2026-03,unknown,1334,0.4197901049475262,0.0,0.0,0.0,ai_count,llm,25
scraped,2026-04,associate,11,0.0,0.0,0.0,0.0,ai_count,llm,25
scraped,2026-04,director,15,1.2666666666666666,0.0,0.0,2.5,ai_count,llm,25
scraped,2026-04,entry,58,0.39655172413793105,0.0,0.0,1.0,ai_count,llm,25
scraped,2026-04,mid-senior,819,0.41147741147741146,0.0,0.0,0.0,ai_count,llm,25
scraped,2026-04,unknown,716,0.4259776536312849,0.0,0.0,0.0,ai_count,llm,25
kaggle_arshkon,2024-04,associate,15,0.3333333333333333,0.0,0.0,0.5,soft_skill_count,llm,25
kaggle_arshkon,2024-04,director,13,0.46153846153846156,0.0,0.0,1.0,soft_skill_count,llm,25
kaggle_arshkon,2024-04,entry,172,0.4127906976744186,0.0,0.0,1.0,soft_skill_count,llm,25
kaggle_arshkon,2024-04,mid-senior,1992,0.3709839357429719,0.0,0.0,1.0,soft_skill_count,llm,25
kaggle_arshkon,2024-04,unknown,2366,0.3617920540997464,0.0,0.0,1.0,soft_skill_count,llm,25
kaggle_asaniczka,2024-01,associate,7,0.2857142857142857,0.0,0.0,0.5,soft_skill_count,llm,25
kaggle_asaniczka,2024-01,director,46,0.30434782608695654,0.0,0.0,1.0,soft_skill_count,llm,25
kaggle_asaniczka,2024-01,entry,118,0.3220338983050847,0.0,0.0,1.0,soft_skill_count,llm,25
kaggle_asaniczka,2024-01,mid-senior,6690,0.3382660687593423,0.0,0.0,1.0,soft_skill_count,llm,25
kaggle_asaniczka,2024-01,unknown,4984,0.3398876404494382,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-03,associate,11,0.2727272727272727,0.0,0.0,0.5,soft_skill_count,llm,25
scraped,2026-03,director,30,0.4666666666666667,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-03,entry,161,0.5403726708074534,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-03,mid-senior,1411,0.34585400425230334,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-03,unknown,1334,0.39580209895052476,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-04,associate,11,0.45454545454545453,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-04,director,15,0.7333333333333333,1.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-04,entry,58,0.5517241379310345,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-04,mid-senior,819,0.3724053724053724,0.0,0.0,1.0,soft_skill_count,llm,25
scraped,2026-04,unknown,716,0.3268156424581006,0.0,0.0,1.0,soft_skill_count,llm,25
kaggle_arshkon,2024-04,associate,15,0.26666666666666666,0.0,0.0,0.5,scope_count,llm,25
kaggle_arshkon,2024-04,director,13,0.3076923076923077,0.0,0.0,0.0,scope_count,llm,25
kaggle_arshkon,2024-04,entry,172,0.1511627906976744,0.0,0.0,0.0,scope_count,llm,25
kaggle_arshkon,2024-04,mid-senior,1992,0.3318273092369478,0.0,0.0,1.0,scope_count,llm,25
kaggle_arshkon,2024-04,unknown,2366,0.21132713440405748,0.0,0.0,0.0,scope_count,llm,25
kaggle_asaniczka,2024-01,associate,7,0.2857142857142857,0.0,0.0,0.5,scope_count,llm,25
