metric,arshkon_value,asaniczka_value,scraped_value,within_2024_effect,cross_period_effect,calibration_ratio,n_arshkon,n_asaniczka,n_scraped
text_len,1969.2488986784142,2281.1558816255874,2643.895081967213,311.9069829471732,674.646183288799,2.1629723609075526,4540,12131,5490
core_share,0.015478987552749058,0.041782369546716894,0.3734305092811382,0.026303381993967836,0.3579515217283891,13.608574053727322,4540,12131,5490
detected_share,0.9955399485343623,0.994370226322233,0.981156260304421,-0.0011697222121292983,-0.014383688229941294,12.296670167319483,4540,12131,5490
imperative_density_per_1k,0.7693828511783282,0.7731816046389921,0.6553865321522871,0.0037987534606639395,-0.11399631902604102,30.008875334098924,4540,12131,5490
inclusive_density_per_1k,0.2799234308797749,0.29454950113085154,0.3722133565501017,0.01462607025107665,0.09228992567032679,6.3099605079179195,4540,12131,5490
passive_density_per_1k,0.2735398197095775,0.39026393172317675,0.24997956712297437,0.11672411201359922,-0.02356025258660316,0.20184563566316285,4540,12131,5490
marketing_density_per_1k,0.1921533647983121,0.1784318701050915,0.19769222769703299,-0.013721494693220593,0.005538862898720881,0.4036632322175133,4540,12131,5490
section_chars_requirements,3.888986784140969,10.886818893743301,345.6520947176685,6.997832109602332,341.7631079335275,48.83842632699986,4540,12131,5490
section_chars_benefits,0.19317180616740087,0.5605473580084082,10.691074681238616,0.3673755518410073,10.497902875071215,28.575398723360056,4540,12131,5490
section_chars_about_company,1.7779735682819384,0.8619239963729288,2.1451730418943535,-0.9160495719090096,0.3671994736124151,0.4008510946052696,4540,12131,5490
section_chars_legal,0.030837004405286344,1.2172945346632593,2.8998178506375227,1.186457530257973,2.8689808462322364,2.41810665199995,4540,12131,5490
