source,period,seniority_final,text_len_mean,text_len_median,text_len_count,core_share_mean,core_share_median,core_share_count,detected_share_mean,detected_share_median,detected_share_count,imperative_density_per_1k_mean,imperative_density_per_1k_median,imperative_density_per_1k_count,inclusive_density_per_1k_mean,inclusive_density_per_1k_median,inclusive_density_per_1k_count,passive_density_per_1k_mean,passive_density_per_1k_median,passive_density_per_1k_count,marketing_density_per_1k_mean,marketing_density_per_1k_median,marketing_density_per_1k_count
kaggle_arshkon,2024-04,associate,2729.785714285714,1808.5,14,0.0,0.0,14,0.999599875218831,1.0,14,0.5616716728900667,0.21123785382340515,14,0.6725330497353943,0.2098507384605873,14,0.5671989175586739,0.5982319359693431,14,0.13983645490608115,0.0,14
kaggle_arshkon,2024-04,director,2976.6153846153848,2588.0,13,0.0,0.0,13,0.9996020928385908,1.0,13,0.34129764083749087,0.0,13,0.220012834930995,0.0,13,0.3434990941712188,0.1520450053215752,13,0.34202616280989706,0.1561524047470331,13
kaggle_arshkon,2024-04,entry,1894.1235294117646,1862.5,170,0.01640111863796258,0.0,170,0.9920496791424606,1.0,170,1.008804587587189,0.4533301165937934,170,0.35418832824728785,0.0,170,0.40093504133318797,0.0,170,0.2272286407253913,0.0,170
kaggle_arshkon,2024-04,mid-senior,2157.726041144004,2001.0,1993,0.010465886187994038,0.0,1993,0.9965206099154607,1.0,1993,0.7547259219263021,0.3862495171881035,1993,0.3052136855996346,0.0,1993,0.27178909814871693,0.0,1993,0.217354416950189,0.0,1993
kaggle_arshkon,2024-04,unknown,1804.7353191489362,1660.0,2350,0.019841660488661688,0.0,2350,0.9949140935618335,1.0,2350,0.7680988635358807,0.3177634622101292,2350,0.2510952576347527,0.0,2350,0.26367228884017013,0.0,2350,0.16772595906131058,0.0,2350
kaggle_asaniczka,2024-01,associate,2002.5714285714287,1698.0,7,0.14109035840484604,0.0,7,0.9929318114028078,0.9959211420802175,7,0.3830490603248797,0.333000333000333,7,0.0,0.0,7,0.2810408983094171,0.22168033695411218,7,0.04757147614290471,0.0,7
kaggle_asaniczka,2024-01,director,2864.0434782608695,2760.0,46,0.0079216664069399,0.0,46,0.996651713534218,0.9977808210543526,46,1.0027342921348172,0.6515766500717393,46,0.44556477637991204,0.31471937827496343,46,0.36902059407326676,0.0,46,0.28246547039746245,0.0,46
kaggle_asaniczka,2024-01,entry,1913.258064516129,1780.0,124,0.047144780585651545,0.0,124,0.9953387637533218,0.9966753604609184,124,0.775928478778853,0.5297370664512945,124,0.3116067189074531,0.0,124,0.3655597512836111,0.0,124,0.20111153488710015,0.0,124
kaggle_asaniczka,2024-01,mid-senior,2436.6533625730995,2262.5,6840,0.041576800740121135,0.0,6840,0.9950157598298194,0.9973226238286479,6840,0.770117949024115,0.47812599300013486,6840,0.31108025382661475,0.0,6840,0.3675913595381688,0.0,6840,0.1911289636671461,0.0,6840
kaggle_asaniczka,2024-01,unknown,2077.2360187719983,1899.5,5114,0.04209593780849045,0.0,5114,0.9934647849181144,0.996931926117957,5114,0.7756818580996507,0.3774298246913609,5114,0.2710707565870776,0.0,5114,0.42152819978843914,0.0,5114,0.16014287494413415,0.0,5114
