tech,category,arshkon,asaniczka,scraped,within_2024_abs,cross_abs,snr
ci_cd,method_testing,0.16798124067363035,0.11875999779359038,0.3194713608957795,0.04922124288003997,0.15149012022214914,3.077738621744168
llm,ai_tool,0.015561713920272863,0.008549837277290528,0.1297103789836348,0.007011876642982334,0.11414866506336194,16.279331607695188
c_plus_plus,language,0.10189725005329354,0.1643223564454741,0.0,0.06242510639218056,0.10189725005329354,1.6323119966048998
kubernetes,cloud_devops,0.14133447026220422,0.12901980252633902,0.22117248062015504,0.012314667735865203,0.07983801035795082,6.483163985450523
go,language,0.0799403112342784,0.09619945942964311,0.15420434969853575,0.01625914819536471,0.07426403846425735,4.5675233149931636
aws,cloud_devops,0.2752078448092091,0.2555022339897402,0.34628014642549526,0.01970561081946892,0.07107230161628614,3.6067038097630295
typescript,language,0.08292474952035814,0.07794141982459044,0.1417420327304048,0.004983329695767702,0.05881728321004667,11.802807921779623
microservices,backend,0.08868045192922618,0.08003750896353908,0.1342323428079242,0.0086429429656871,0.04555189087869803,5.270414378475159
gcp,cloud_devops,0.07418460882541036,0.06839869821832423,0.11837855297157623,0.005785910607086137,0.04419394414616587,7.638200301961206
generative_ai,ai_domain,0.010658708164570454,0.008053395112802692,0.05426356589147287,0.0026053130517677617,0.04360485772690241,16.736897585998566
postgresql,data,0.05990193988488595,0.05863533565006344,0.09797588285960379,0.0012666042348225132,0.03807394297471784,30.059857631893255
agent,ai_tool,0.0023449157962055,0.002868332505929726,0.03943260120585702,0.0005234167097242261,0.037087685409651516,70.85689990522465
claude,ai_tool,0.00021317416329140907,0.00011032048099729714,0.034103143841515936,0.00010285368229411193,0.033889969678224524,329.49690202938535
javascript,language,0.20102323598379876,0.18881350322687407,0.16973514211886304,0.01220973275692469,0.03128809386493572,2.5625535372337147
pytorch,ai_domain,0.01918567469622682,0.013569419162667549,0.048987941429801896,0.00561625553355927,0.029802266733575077,5.306429979101763
html,other,0.08697505862289491,0.09393788956919852,0.05727820844099914,0.006962830946303608,0.029696850181895773,4.265054029160522
kafka,data,0.06480494564058836,0.05846985492856749,0.0944229112833764,0.006335090712020874,0.02961796564278804,4.6752236059679095
sql,data,0.2752078448092091,0.27916597716366043,0.24973083548664943,0.003958132354451305,0.025477009322559696,6.4366239026616485
r_language,language,0.028138989554465997,0.041315020133487784,0.04909560723514212,0.013176030579021787,0.020956617680676123,1.5905107046459193
langgraph,ai_tool,0.0,0.0,0.019675925925925927,0.0,0.019675925925925927,
tensorflow,ai_domain,0.01854615220635259,0.014838104694136467,0.03805986218776916,0.0037080475122161245,0.01951370998141657,5.2625296512865205
fastapi,backend,0.004263483265828182,0.0016548072149594572,0.022636735572782084,0.0026086760508687245,0.018373252306953903,7.043132971928562
angular,frontend,0.10040503091025367,0.09189696067074853,0.08266042204995694,0.008508070239505144,0.01774460886029673,2.085620870629861
python,language,0.044979748454487316,0.03778476474157427,0.06252691645133505,0.007194983712913043,0.01754716799684774,2.4388057981778797
cloudformation,cloud_devops,0.015348539756981455,0.016106790225605384,0.032057493540051676,0.0007582504686239298,0.016708953783070222,22.036193150521317
