company_name_canonical,cluster_name,delta_entry_final_share,delta_entry_yoe_share,delta_ai_any_share,delta_scope_any_share,delta_clean_len_mean,delta_tech_count_mean,delta_requirement_breadth_mean,delta_stack_depth_mean,delta_ai_domain_share,delta_domain_entropy
ServiceNow,AI-forward recomposition,0.0,-0.016666666666666677,0.75,0.9166666666666666,1362.35,4.15,8.1,2.716666666666667,0.6666666666666666,-0.012706906537766072
Procore Technologies,AI-forward recomposition,0.0,0.34868421052631576,0.631578947368421,0.5592105263157895,650.3552631578948,-1.1842105263157894,0.9736842105263159,1.7039473684210527,0.47368421052631576,0.2963470103782171
Macquarie Group,AI-forward recomposition,0.0,-0.6,0.6,0.0,532.3999999999999,5.4,6.0,0.40000000000000013,0.2,0.9609640474436812
Infojini Inc,AI-forward recomposition,0.0,0.0,0.5714285714285714,-0.19047619047619047,325.2380952380952,0.4761904761904763,1.5714285714285712,-0.047619047619047894,0.42857142857142855,-0.07881450341144547
KPG99 INC,AI-forward recomposition,0.0,0.09090909090909091,0.5454545454545454,0.11363636363636365,194.18181818181813,3.045454545454546,4.568181818181818,1.0454545454545454,0.2727272727272727,-0.022070243064521877
The Intersect Group,AI-forward recomposition,0.0,0.25,0.5,0.5,388.16666666666663,6.166666666666667,5.916666666666667,-0.4166666666666665,0.5,0.946394630357186
American Express,AI-forward recomposition,0.0,0.0,0.5,0.27777777777777785,1665.5555555555552,4.722222222222222,6.722222222222222,1.2222222222222223,0.5,-0.10062302276877522
Talener,AI-forward recomposition,0.0,-0.3333333333333333,0.5,0.16666666666666666,402.66666666666663,3.166666666666667,3.833333333333333,0.33333333333333304,0.3333333333333333,0.04085208297275522
"V-Soft Consulting Group, Inc.",AI-forward recomposition,0.0,-0.05555555555555555,0.4444444444444444,-0.16666666666666666,491.6111111111111,0.7222222222222223,1.166666666666666,0.05555555555555558,0.2222222222222222,-0.0343663928571748
Ascendion,AI-forward recomposition,0.0,-0.013888888888888895,0.4444444444444444,-0.1527777777777778,630.5833333333333,1.9305555555555554,2.8888888888888893,0.4166666666666665,0.3333333333333333,0.08182968837139704
Anduril Industries,entry-heavy compact,0.00823045267489712,0.06584362139917696,-0.8518518518518519,-0.47736625514403297,1123.9310699588477,-0.5411522633744856,-1.1903292181069958,-1.0277777777777777,0.01646090534979424,0.5868104359261848
OSI Engineering,entry-heavy compact,0.0,0.0,0.5,-0.20833333333333337,-63.29166666666663,-2.083333333333333,-2.875,-0.5,0.125,-0.053508854797678196
TekWissen ®,entry-heavy compact,-0.125,0.5416666666666666,0.3333333333333333,0.75,-278.04166666666663,-2.833333333333333,-1.75,0.6666666666666665,0.3333333333333333,0.07161678823041329
Themesoft Inc.,entry-heavy compact,0.0,0.0,0.2222222222222222,-0.2222222222222222,33.55555555555554,4.0,3.111111111111111,-0.8888888888888888,0.2222222222222222,0.886682880001534
TikTok,entry-heavy compact,0.4285714285714286,-0.0062111801242236,0.21739130434782608,0.06107660455486544,863.7028985507247,-0.806418219461698,-0.7670807453416146,-0.15010351966873703,0.028985507246376812,-0.2657194097607069
HIRECLOUT,entry-heavy compact,0.0,0.2,0.2,0.33333333333333337,335.4666666666666,-3.7333333333333343,-3.8666666666666654,-0.06666666666666643,0.4,-0.03903595255631853
CBase Inc,entry-heavy compact,0.0,0.0,0.2,0.2,-1046.3333333333333,-3.333333333333334,-3.466666666666666,-0.19999999999999996,0.2,-0.05332231333656223
WHOOP,entry-heavy compact,0.0,0.2413793103448276,-0.1954022988505747,-0.13793103448275867,610.5287356321838,0.804597701149425,0.6436781609195403,-0.40229885057471293,0.13793103448275862,0.859229492968308
Ampstek,entry-heavy compact,0.0,0.0,0.1875,0.09375,117.21875,1.2395833333333335,1.25,-0.01041666666666674,0.125,-0.013731086685616845
HTC Global Services,entry-heavy compact,0.0,0.2,-0.1857142857142857,0.22857142857142865,328.29999999999995,0.7714285714285714,0.7000000000000002,-0.1428571428571428,0.0,0.02654542553060657
Charter Global,stack expansion,0.0,0.0,0.4,0.0,122.4666666666667,0.20000000000000018,0.8666666666666667,0.6666666666666667,0.0,0.05265476040017936
ICE,stack expansion,-0.011705685618729103,-0.05016722408026757,0.32608695652173914,0.09030100334448157,81.29096989966547,1.0133779264214047,1.8896321070234112,0.632107023411371,0.0050167224080267525,0.012410277317370322
Photon,stack expansion,0.0,0.17647058823529413,0.29411764705882354,0.20361990950226244,-6.723981900452486,3.108597285067874,3.8416289592760187,0.6153846153846154,0.11764705882352941,-0.07446734457093007
Visa,stack expansion,0.0,0.3166666666666667,0.26666666666666666,-0.1333333333333333,1029.55,3.833333333333333,4.283333333333333,0.0,0.08333333333333333,-0.2327392011671987
Agility Partners,stack expansion,-0.25,-0.04999999999999999,-0.25,0.8,100.10000000000002,2.0,2.5999999999999996,0.8500000000000001,0.0,0.1887218755408674
Wells Fargo,stack expansion,0.0,0.12142857142857144,0.24285714285714285,0.04642857142857143,820.4660714285715,1.8875000000000002,2.364285714285714,0.1875,0.15714285714285714,-0.17735716404527313
Mindlance,stack expansion,0.0,0.038461538461538464,0.23076923076923078,-0.046153846153846156,426.6846153846153,2.915384615384615,3.523076923076923,0.8999999999999999,0.11538461538461539,-0.09623207218790208
