metro_area,n_posts_2024,n_posts_2026,entry_final_share_2024,entry_final_share_2026,entry_yoe_share_2024,entry_yoe_share_2026,ai_any_share_2024,ai_any_share_2026,scope_any_share_2024,scope_any_share_2026,clean_len_mean_2024,clean_len_mean_2026,tech_count_mean_2024,tech_count_mean_2026,requirement_breadth_mean_2024,requirement_breadth_mean_2026,stack_depth_mean_2024,stack_depth_mean_2026,ai_domain_share_2024,ai_domain_share_2026,domain_entropy_2024,domain_entropy_2026,llm_text_share_2024,llm_text_share_2026,remote_share_2024,remote_share_2026,delta_n_posts,delta_entry_final_share,delta_entry_yoe_share,delta_ai_any_share,delta_scope_any_share,delta_clean_len_mean,delta_tech_count_mean,delta_requirement_breadth_mean,delta_stack_depth_mean,delta_ai_domain_share,delta_domain_entropy,delta_llm_text_share,delta_remote_share
Atlanta Metro,138.0,965.0,0.043478260869565216,0.012435233160621761,0.09420289855072464,0.08704663212435233,0.007246376811594203,0.18134715025906736,0.21739130434782608,0.44766839378238343,711.2753623188406,1239.298445595855,3.9855072463768115,5.261139896373057,5.297101449275362,7.260103626943005,2.130434782608696,2.621761658031088,0.021739130434782608,0.10362694300518134,0.818379879386008,0.8699875939816483,1.0,0.14507772020725387,0.0,0.0,827.0,-0.031043027708943453,-0.007156266426372307,0.17410077344747316,0.23027708943455735,528.0230832770143,1.2756326499962451,1.9630021776676427,0.4913268754223923,0.08188781257039873,0.051607714595640286,-0.8549222797927462,0.0
Austin Metro,95.0,1010.0,0.031578947368421054,0.026732673267326732,0.14736842105263157,0.09108910891089109,0.0,0.17227722772277226,0.24210526315789474,0.4594059405940594,600.0842105263158,1286.3148514851484,3.3473684210526318,4.466336633663366,4.757894736842105,6.517821782178218,2.1894736842105265,2.5851485148514852,0.021052631578947368,0.10495049504950495,0.7787811145865227,0.9136341075434109,1.0,0.15643564356435644,0.0,0.0,915.0,-0.0048462741010943215,-0.05627931214174048,0.17227722772277226,0.21730067743616469,686.2306409588326,1.1189682126107345,1.7599270453361129,0.39567483064095876,0.08389786347055758,0.13485299295688824,-0.8435643564356435,0.0
Boston Metro,132.0,1331.0,0.030303030303030304,0.03681442524417731,0.06818181818181818,0.10067618332081142,0.007575757575757576,0.15702479338842976,0.30303030303030304,0.41998497370398197,718.9318181818181,1271.5439519158526,3.1666666666666665,4.132231404958677,4.840909090909091,6.13824192336589,2.3106060606060606,2.5792637114951162,0.0,0.09316303531179564,0.8645420000271241,0.8953754923090642,1.0,0.16604057099924868,0.0,0.0,1199.0,0.006511394941147004,0.032494365138993245,0.1494490358126722,0.11695467067367893,552.6121337340345,0.9655647382920107,1.2973328324567994,0.2686576508890557,0.09316303531179564,0.0308334922819401,-0.8339594290007513,0.0
Charlotte Metro,75.0,785.0,0.06666666666666667,0.012738853503184714,0.13333333333333333,0.07643312101910828,0.0,0.18089171974522292,0.13333333333333333,0.3146496815286624,598.76,1030.7949044585987,4.1866666666666665,4.985987261146497,5.266666666666667,6.704458598726115,1.9333333333333333,2.3719745222929935,0.013333333333333334,0.09936305732484077,0.7933738252787527,0.9143393282194356,1.0,0.12611464968152866,0.0,0.0,710.0,-0.053927813163481955,-0.056900212314225054,0.18089171974522292,0.18131634819532907,432.0349044585987,0.7993205944798305,1.437791932059448,0.4386411889596602,0.08602972399150743,0.12096550294068298,-0.8738853503184714,0.0
Chicago Metro,150.0,926.0,0.013333333333333334,0.03455723542116631,0.09333333333333334,0.091792656587473,0.013333333333333334,0.132829373650108,0.20666666666666667,0.4168466522678186,650.6466666666666,1245.280777537797,3.6,4.640388768898488,5.093333333333334,6.545356371490281,2.1733333333333333,2.4956803455723544,0.006666666666666667,0.09827213822894168,0.7951192058090072,0.8675940756712193,0.9933333333333333,0.15982721382289417,0.0,0.0,776.0,0.021223902087832973,-0.0015406767458603365,0.11949604031677466,0.21017998560115192,594.6341108711302,1.0403887688984876,1.4520230381569474,0.32234701223902107,0.09160547156227501,0.07247486986221208,-0.8335061195104392,0.0
Dallas-Fort Worth Metro,243.0,1636.0,0.03292181069958848,0.014058679706601468,0.06172839506172839,0.06723716381418093,0.00411522633744856,0.17053789731051344,0.20164609053497942,0.3753056234718826,610.6172839506173,1150.7689486552567,3.8518518518518516,5.583129584352078,5.078189300411522,7.462102689486553,1.97119341563786,2.54278728606357,0.00411522633744856,0.10574572127139364,0.7918637661511853,0.9075638652096245,1.0,0.13141809290953546,0.0,0.0,1393.0,-0.01886313099298701,0.005508768752452542,0.16642267097306487,0.1736595329369032,540.1516647046394,1.7312777325002267,2.3839133890750306,0.5715938704257097,0.10163049493394509,0.11570009905843925,-0.8685819070904646,0.0
Denver Metro,80.0,639.0,0.025,0.0297339593114241,0.0625,0.12363067292644757,0.0125,0.08607198748043818,0.2625,0.4241001564945227,734.325,1410.298904538341,3.5875,3.8982785602503913,5.1,5.802816901408451,2.2,2.480438184663537,0.0125,0.03755868544600939,0.7861001433913466,0.8176382036625349,1.0,0.1643192488262911,0.0,0.0,559.0,0.004733959311424098,0.06113067292644757,0.07357198748043818,0.1616001564945227,675.973904538341,0.3107785602503914,0.7028169014084513,0.28043818466353665,0.02505868544600939,0.03153806027118833,-0.8356807511737089,0.0
Detroit Metro,67.0,521.0,0.0,0.01727447216890595,0.22388059701492538,0.09404990403071017,0.029850746268656716,0.0710172744721689,0.2835820895522388,0.3723608445297505,721.6716417910447,1290.489443378119,3.4925373134328357,3.587332053742802,5.3283582089552235,5.224568138195777,2.4477611940298507,2.2994241842610363,0.014925373134328358,0.0671785028790787,0.7054508374247179,0.8389523223096562,1.0,0.1362763915547025,0.0,0.0,454.0,0.01727447216890595,-0.1298306929842152,0.04116652820351219,0.0887787549775117,568.8178015870742,0.09479474030996649,-0.10379007075944635,-0.14833700976881437,0.05225312974475034,0.1335014848849383,-0.8637236084452975,0.0
Houston Metro,65.0,457.0,0.07692307692307693,0.02188183807439825,0.12307692307692308,0.05470459518599562,0.0,0.12691466083150985,0.15384615384615385,0.34573304157549234,662.0923076923077,1158.816192560175,2.6615384615384614,4.074398249452954,3.830769230769231,5.739606126914661,1.9230769230769231,2.1969365426695844,0.015384615384615385,0.12472647702407003,0.8044693892840564,0.8686356316429027,1.0,0.12910284463894967,0.0,0.0,392.0,-0.055041238848678675,-0.06837232789092745,0.12691466083150985,0.19188688772933848,496.72388486786735,1.4128597879144924,1.9088368961454303,0.27385961959266125,0.10934186163945464,0.06416624235884627,-0.8708971553610503,0.0
Los Angeles Metro,121.0,1354.0,0.01652892561983471,0.03249630723781388,0.05785123966942149,0.11964549483013294,0.024793388429752067,0.12703101920236337,0.2396694214876033,0.3951255539143279,723.5041322314049,1386.5088626292468,3.2975206611570247,3.5612998522895127,4.677685950413223,5.446824224519941,2.115702479338843,2.433530280649926,0.024793388429752067,0.07680945347119646,0.7951496642393462,0.8361118792603924,0.9917355371900827,0.15657311669128507,0.0,0.0,1233.0,0.01596738161797917,0.06179425516071145,0.1022376307726113,0.1554561324267246,663.0047303978419,0.26377919113248804,0.7691382741067176,0.3178278013110831,0.05201606504144439,0.040962215021046244,-0.8351624204987976,0.0
