metric_a,metric_b,pearson,spearman
delta_entry_final_share,delta_entry_yoe_share,0.17157044185884848,0.14344685242518057
delta_entry_final_share,delta_scope_any_share,-0.3397725324128077,-0.44272445820433437
delta_entry_final_share,delta_tech_count_mean,-0.4556431986625963,-0.3973168214654283
delta_entry_yoe_share,delta_scope_any_share,0.24862956803438568,0.16202270381836945
delta_entry_yoe_share,delta_tech_count_mean,-0.05716064369228566,-0.11248710010319916
delta_ai_any_share,delta_entry_final_share,-0.35052240181026056,-0.4324045407636739
delta_ai_any_share,delta_entry_yoe_share,0.19343659802600432,0.040247678018575844
delta_ai_any_share,delta_scope_any_share,0.34316937294542105,0.3065015479876161
delta_ai_any_share,delta_clean_len_mean,0.0035826969800867585,-0.09803921568627451
delta_ai_any_share,delta_tech_count_mean,0.3836200235832936,0.2714138286893705
delta_ai_any_share,delta_ai_domain_share,0.6210199297584402,0.5748194014447885
delta_scope_any_share,delta_tech_count_mean,0.29311255782886136,0.27554179566563464
delta_clean_len_mean,delta_entry_final_share,0.02886605744877926,0.11248710010319916
delta_clean_len_mean,delta_entry_yoe_share,0.5516001568283319,0.6037151702786379
delta_clean_len_mean,delta_scope_any_share,0.05024594118774374,0.04437564499484004
delta_clean_len_mean,delta_tech_count_mean,-0.2729740899856537,-0.3126934984520124
delta_ai_domain_share,delta_entry_final_share,-0.2234921908156994,-0.1042311661506708
delta_ai_domain_share,delta_entry_yoe_share,-0.17913116435764603,-0.2260061919504644
delta_ai_domain_share,delta_scope_any_share,0.2720568500961803,0.07533539731682146
delta_ai_domain_share,delta_clean_len_mean,-0.3334184972063838,-0.40350877192982454
delta_ai_domain_share,delta_tech_count_mean,0.667231166144458,0.5789473684210527
