metro_area,n_posts_2024,n_posts_2026,entry_final_share_2024,entry_final_share_2026,entry_yoe_share_2024,entry_yoe_share_2026,ai_any_share_2024,ai_any_share_2026,scope_any_share_2024,scope_any_share_2026,clean_len_mean_2024,clean_len_mean_2026,tech_count_mean_2024,tech_count_mean_2026,requirement_breadth_mean_2024,requirement_breadth_mean_2026,stack_depth_mean_2024,stack_depth_mean_2026,ai_domain_share_2024,ai_domain_share_2026,domain_entropy_2024,domain_entropy_2026,llm_text_share_2024,llm_text_share_2026,remote_share_2024,remote_share_2026,delta_n_posts,delta_entry_final_share,delta_entry_yoe_share,delta_ai_any_share,delta_scope_any_share,delta_clean_len_mean,delta_tech_count_mean,delta_requirement_breadth_mean,delta_stack_depth_mean,delta_ai_domain_share,delta_domain_entropy,delta_llm_text_share,delta_remote_share
Atlanta Metro,128.0,759.0,0.0546875,0.019762845849802372,0.1015625,0.09749670619235837,0.0078125,0.2002635046113307,0.2421875,0.4519104084321476,736.6015625,1321.722002635046,4.1328125,5.5059288537549405,5.46875,7.627140974967062,2.1640625,2.699604743083004,0.03125,0.10935441370223979,0.8292336677697777,0.8614652251254984,1.0,0.13570487483530963,0.0,0.0,631.0,-0.03492465415019763,-0.004065793807641632,0.1924510046113307,0.20972290843214758,585.120440135046,1.3731163537549405,2.1583909749670616,0.5355422430830039,0.07810441370223979,0.0322315573557207,-0.8642951251646904,0.0
Austin Metro,90.0,853.0,0.03333333333333333,0.031652989449003514,0.13333333333333333,0.10199296600234467,0.0,0.16647127784290738,0.24444444444444444,0.48300117233294254,604.5444444444445,1389.5181711606097,3.2333333333333334,4.38569753810082,4.677777777777778,6.522860492379836,2.2222222222222223,2.6400937866354046,0.022222222222222223,0.11137162954279015,0.7489235631323856,0.8991818753874089,1.0,0.1559202813599062,0.0,0.0,763.0,-0.0016803438843298185,-0.03134036733098866,0.16647127784290738,0.2385567278884981,784.9737267161652,1.152364204767487,1.845082714602058,0.4178715644131823,0.08914940732056792,0.15025831225502329,-0.8440797186400938,0.0
Boston Metro,113.0,1163.0,0.035398230088495575,0.03869303525365434,0.07964601769911504,0.10834049871023216,0.008849557522123894,0.15649183147033535,0.3008849557522124,0.4402407566638005,756.2300884955753,1341.8125537403268,3.2920353982300883,3.9724849527085127,4.991150442477876,5.994840928632846,2.309734513274336,2.5760963026655204,0.0,0.0937231298366294,0.8678724316128706,0.8655621530786632,1.0,0.16337059329320722,0.0,0.0,1050.0,0.0032948051651587665,0.028694481011117115,0.14764227394821144,0.1393558009115881,585.5824652447516,0.6804495544784244,1.0036904861549703,0.26636178939118427,0.0937231298366294,-0.0023102785342073995,-0.8366294067067928,0.0
Charlotte Metro,68.0,568.0,0.058823529411764705,0.01584507042253521,0.14705882352941177,0.11619718309859155,0.0,0.17781690140845072,0.1323529411764706,0.3362676056338028,626.9117647058823,1174.2482394366198,4.264705882352941,5.235915492957746,5.352941176470588,7.051056338028169,1.9411764705882353,2.4735915492957745,0.0,0.11267605633802817,0.8594707516654845,0.8944957049345089,1.0,0.11795774647887323,0.0,0.0,500.0,-0.042978458989229494,-0.030861640430820222,0.17781690140845072,0.20391466445733222,547.3364747307375,0.9712096106048049,1.6981151615575811,0.5324150787075392,0.11267605633802817,0.03502495326902444,-0.8820422535211268,0.0
Chicago Metro,140.0,744.0,0.014285714285714285,0.04032258064516129,0.09285714285714286,0.09946236559139784,0.014285714285714285,0.13844086021505375,0.22142857142857142,0.41263440860215056,655.6214285714286,1319.2486559139784,3.6214285714285714,4.666666666666667,5.15,6.631720430107527,2.2142857142857144,2.53494623655914,0.007142857142857143,0.09946236559139784,0.7914290595612291,0.8416863288891413,0.9928571428571429,0.1639784946236559,0.0,0.0,604.0,0.026036866359447006,0.006605222734254984,0.12415514592933946,0.19120583717357914,663.6272273425498,1.0452380952380955,1.4817204301075266,0.32066052227342556,0.0923195084485407,0.05025726932791219,-0.828878648233487,0.0
Dallas-Fort Worth Metro,208.0,1334.0,0.038461538461538464,0.013493253373313344,0.07211538461538461,0.07721139430284858,0.004807692307692308,0.1679160419790105,0.22115384615384615,0.3778110944527736,636.6875,1256.035232383808,3.9278846153846154,5.762368815592204,5.1923076923076925,7.692653673163418,1.9855769230769231,2.580209895052474,0.004807692307692308,0.09895052473763119,0.7910915899921936,0.8872956997985147,1.0,0.13793103448275862,0.0,0.0,1126.0,-0.02496828508822512,0.005096009687463973,0.16310834967131818,0.15665724829892747,619.3477323838081,1.8344842002075885,2.500345980855726,0.5946329719755508,0.09414283242993889,0.0962041098063211,-0.8620689655172413,0.0
Denver Metro,71.0,550.0,0.028169014084507043,0.03090909090909091,0.07042253521126761,0.13636363636363635,0.014084507042253521,0.09454545454545454,0.29577464788732394,0.4381818181818182,761.7887323943662,1448.6327272727274,3.619718309859155,3.9363636363636365,5.169014084507042,5.932727272727273,2.2253521126760565,2.556363636363636,0.014084507042253521,0.04181818181818182,0.7802074755877986,0.806079188137931,1.0,0.14727272727272728,0.0,0.0,479.0,0.0027400768245838675,0.06594110115236874,0.08046094750320103,0.14240717029449423,686.8439948783612,0.3166453265044815,0.7637131882202306,0.3310115236875797,0.027733674775928294,0.02587171255013243,-0.8527272727272728,0.0
Detroit Metro,63.0,456.0,0.0,0.017543859649122806,0.2222222222222222,0.1118421052631579,0.031746031746031744,0.07456140350877193,0.30158730158730157,0.4057017543859649,734.2539682539683,1395.7368421052631,3.507936507936508,3.5548245614035086,5.412698412698413,5.368421052631579,2.5238095238095237,2.4210526315789473,0.015873015873015872,0.06359649122807018,0.6985616344375035,0.8259830218430938,1.0,0.12938596491228072,0.0,0.0,393.0,0.017543859649122806,-0.11038011695906431,0.04281537176274018,0.10411445279866333,661.4828738512948,0.046888053467000645,-0.04427736006683425,-0.10275689223057638,0.04772347535505431,0.12742138740559028,-0.8706140350877193,0.0
Houston Metro,59.0,337.0,0.06779661016949153,0.02373887240356083,0.13559322033898305,0.06231454005934718,0.0,0.13649851632047477,0.15254237288135594,0.3323442136498516,675.0508474576271,1230.8011869436202,2.593220338983051,4.029673590504451,3.7796610169491527,5.712166172106825,1.9322033898305084,2.2195845697329375,0.01694915254237288,0.13649851632047477,0.8013096969521251,0.8494952289297586,1.0,0.13353115727002968,0.0,0.0,278.0,-0.04405773776593069,-0.07327868027963587,0.13649851632047477,0.17980184076849567,555.7503394859931,1.4364532515214004,1.932505155157672,0.28738117990242906,0.1195493637781019,0.04818553197763353,-0.8664688427299703,0.0
Los Angeles Metro,110.0,1300.0,0.00909090909090909,0.026923076923076925,0.045454545454545456,0.14461538461538462,0.02727272727272727,0.12615384615384614,0.23636363636363636,0.4107692307692308,744.3454545454546,1497.16,3.2545454545454544,3.6223076923076922,4.6454545454545455,5.537692307692308,2.1363636363636362,2.463076923076923,0.02727272727272727,0.07461538461538461,0.7858721837735392,0.8076246462936222,0.990909090909091,0.1523076923076923,0.0,0.0,1190.0,0.017832167832167834,0.09916083916083916,0.09888111888111888,0.17440559440559442,752.8145454545455,0.3677622377622378,0.8922377622377624,0.3267132867132867,0.04734265734265734,0.021752462520083005,-0.8386013986013987,0.0
