representation,group,n,mean_cosine_distance,p90_cosine_distance
tfidf,2024-01|junior,149,0.575579120783119,0.7325537885527541
tfidf,2024-01|mid,8,0.5126689316094222,0.6799134487191083
tfidf,2024-01|senior,9264,0.6046027615450729,0.7877037538339868
tfidf,2024-01|unknown,6153,0.6322397340621573,0.8338628523125888
tfidf,2024-04|junior,175,0.5990921607401964,0.7210267857826392
tfidf,2024-04|mid,15,0.5534910894725429,0.71148923701049
tfidf,2024-04|senior,2072,0.612355584792959,0.7905059293745637
tfidf,2024-04|unknown,2417,0.6477939613788577,0.8248711105587982
tfidf,2026-03|junior,223,0.5364723095754091,0.6943248319985155
tfidf,2026-03|mid,15,0.49232996309136345,0.6463635394207886
tfidf,2026-03|senior,1927,0.5469156068399912,0.7348277628719984
tfidf,2026-03|unknown,1814,0.5729721397915014,0.7360032393567171
tfidf,2026-04|junior,62,0.48816101180458865,0.6139987067202491
tfidf,2026-04|mid,13,0.4535670581358524,0.5481242352308127
tfidf,2026-04|senior,1026,0.5402507940286447,0.7166727165690344
tfidf,2026-04|unknown,886,0.5724358447183212,0.7439762764849517
