column,indeed_n,indeed_nonnull,indeed_rate
uid,140687,140687,1.0
job_id,140687,140687,1.0
source,140687,140687,1.0
source_platform,140687,140687,1.0
site,140687,140687,1.0
title,140687,140687,1.0
title_normalized,140687,140686,0.9999928920227171
company_name,140687,133643,0.9499314080192199
company_name_normalized,140687,133643,0.9499314080192199
location,140687,140687,1.0
date_posted,140687,140687,1.0
scrape_date,140687,140687,1.0
description,140687,140687,1.0
description_raw,140687,140687,1.0
description_length,140687,140687,1.0
seniority_native,140687,0,0.0
company_industry,140687,32763,0.23287865971980354
company_size,140687,98758,0.7019696205050928
company_size_raw,140687,103614,0.7364859581908776
company_size_category,140687,0,0.0
search_query,140687,140682,0.9999644601135855
query_tier,140687,140682,0.9999644601135855
search_metro_id,140687,132168,0.9394471415269356
search_metro_name,140687,132168,0.9394471415269356
search_metro_region,140687,132168,0.9394471415269356
search_location,140687,132168,0.9394471415269356
work_type,140687,111272,0.7909188482233611
is_remote,140687,140687,1.0
job_url,140687,140687,1.0
skills_raw,140687,0,0.0
asaniczka_skills,140687,0,0.0
company_id_kaggle,140687,0,0.0
posting_age_days,140687,140687,1.0
is_aggregator,140687,140687,1.0
real_employer,140687,1,7.107977282904604e-06
company_name_effective,140687,133643,0.9499314080192199
company_name_canonical,140687,133643,0.9499314080192199
company_name_canonical_method,140687,140687,1.0
is_multi_location,140687,140687,1.0
is_swe,140687,140687,1.0
is_swe_adjacent,140687,140687,1.0
swe_confidence,140687,140687,1.0
swe_classification_tier,140687,140687,1.0
is_control,140687,140687,1.0
seniority_final,140687,140687,1.0
seniority_final_source,140687,140687,1.0
seniority_3level,140687,140687,1.0
yoe_extracted,140687,74621,0.5304043728276244
yoe_min_extracted,140687,74621,0.5304043728276244
yoe_max_extracted,140687,74621,0.5304043728276244
yoe_match_count,140687,140687,1.0
yoe_resolution_rule,140687,140687,1.0
yoe_all_mentions_json,140687,88947,0.6322332553825158
yoe_seniority_contradiction,140687,140687,1.0
city_extracted,140687,140686,0.9999928920227171
state_normalized,140687,131681,0.9359855565901611
country_extracted,140687,132173,0.9394826814133502
is_remote_inferred,140687,140687,1.0
metro_area,140687,110151,0.782950805689225
metro_source,140687,140687,1.0
metro_confidence,140687,140687,1.0
period,140687,140687,1.0
scrape_week,140687,140687,1.0
date_flag,140687,140687,1.0
is_english,140687,140687,1.0
description_hash,140687,140687,1.0
ghost_job_risk,140687,140687,1.0
description_quality_flag,140687,140687,1.0
preprocessing_version,140687,140687,1.0
dedup_method,140687,140687,1.0
analysis_group,140687,43603,0.3099291334664894
selection_date_bin,140687,140687,1.0
analysis_in_scope,140687,140687,1.0
eligible_for_extraction,140687,140687,1.0
llm_text_skip_reason,140687,32,0.00022745527305294733
description_core_llm,140687,0,0.0
extraction_input_hash,140687,140687,1.0
selected_for_llm_frame,140687,140687,1.0
selected_for_control_cohort,140687,140687,1.0
llm_extraction_sample_tier,140687,140687,1.0
llm_extraction_reason,140687,140687,1.0
llm_extraction_coverage,140687,140687,1.0
llm_extraction_resolution,140687,140687,1.0
needs_llm_classification,140687,140687,1.0
classification_input_hash,140687,0,0.0
llm_classification_sample_tier,140687,140687,1.0
llm_classification_reason,140687,140687,1.0
swe_classification_llm,140687,0,0.0
ghost_assessment_llm,140687,0,0.0
yoe_min_years_llm,140687,0,0.0
llm_model_classification,140687,0,0.0
llm_prompt_version_classification,140687,0,0.0
llm_classification_coverage,140687,140687,1.0
llm_classification_resolution,140687,140687,1.0
