source,period,seniority_native,n
kaggle_arshkon,2024-04,<null>,1408
kaggle_arshkon,2024-04,associate,263
kaggle_arshkon,2024-04,director,20
kaggle_arshkon,2024-04,entry,738
kaggle_arshkon,2024-04,executive,11
kaggle_arshkon,2024-04,intern,20
kaggle_arshkon,2024-04,mid-senior,2231
kaggle_asaniczka,2024-01,associate,1820
kaggle_asaniczka,2024-01,mid-senior,16309
scraped,2026-03,<null>,3033
scraped,2026-03,associate,665
scraped,2026-03,director,150
scraped,2026-03,entry,2264
scraped,2026-03,executive,37
scraped,2026-03,intern,394
scraped,2026-03,mid-senior,13234
scraped,2026-04,<null>,3009
scraped,2026-04,associate,740
scraped,2026-04,director,134
scraped,2026-04,entry,2425
scraped,2026-04,executive,36
scraped,2026-04,intern,235
scraped,2026-04,mid-senior,14525
