source,period,seniority_native,seniority_final,n
kaggle_arshkon,2024-04,associate,associate,4
kaggle_arshkon,2024-04,associate,entry,13
kaggle_arshkon,2024-04,associate,mid-senior,7
kaggle_arshkon,2024-04,associate,unknown,181
kaggle_arshkon,2024-04,director,director,1
kaggle_arshkon,2024-04,director,unknown,5
kaggle_arshkon,2024-04,entry,associate,2
kaggle_arshkon,2024-04,entry,entry,29
kaggle_arshkon,2024-04,entry,mid-senior,53
kaggle_arshkon,2024-04,entry,unknown,618
kaggle_arshkon,2024-04,executive,mid-senior,1
kaggle_arshkon,2024-04,executive,unknown,2
kaggle_arshkon,2024-04,mid-senior,associate,3
kaggle_arshkon,2024-04,mid-senior,entry,12
kaggle_arshkon,2024-04,mid-senior,mid-senior,203
kaggle_arshkon,2024-04,mid-senior,unknown,808
kaggle_asaniczka,2024-01,associate,associate,15
kaggle_asaniczka,2024-01,associate,director,3
kaggle_asaniczka,2024-01,associate,entry,36
kaggle_asaniczka,2024-01,associate,mid-senior,90
kaggle_asaniczka,2024-01,associate,unknown,841
kaggle_asaniczka,2024-01,mid-senior,associate,9
kaggle_asaniczka,2024-01,mid-senior,director,11
kaggle_asaniczka,2024-01,mid-senior,entry,56
kaggle_asaniczka,2024-01,mid-senior,mid-senior,872
kaggle_asaniczka,2024-01,mid-senior,unknown,3257
scraped,2026-03,associate,associate,4
scraped,2026-03,associate,entry,4
scraped,2026-03,associate,mid-senior,7
scraped,2026-03,associate,unknown,125
scraped,2026-03,director,mid-senior,2
scraped,2026-03,director,unknown,3
scraped,2026-03,entry,associate,8
scraped,2026-03,entry,director,3
scraped,2026-03,entry,entry,72
scraped,2026-03,entry,mid-senior,13
scraped,2026-03,entry,unknown,539
scraped,2026-03,executive,unknown,5
scraped,2026-03,intern,entry,50
scraped,2026-03,mid-senior,associate,10
scraped,2026-03,mid-senior,director,11
scraped,2026-03,mid-senior,entry,13
scraped,2026-03,mid-senior,mid-senior,351
scraped,2026-03,mid-senior,unknown,1718
scraped,2026-04,associate,associate,3
scraped,2026-04,associate,entry,9
scraped,2026-04,associate,mid-senior,13
scraped,2026-04,associate,unknown,125
scraped,2026-04,director,entry,1
scraped,2026-04,director,mid-senior,3
scraped,2026-04,director,unknown,6
scraped,2026-04,entry,associate,7
scraped,2026-04,entry,entry,59
scraped,2026-04,entry,mid-senior,24
scraped,2026-04,entry,unknown,532
scraped,2026-04,executive,unknown,5
scraped,2026-04,intern,entry,7
scraped,2026-04,intern,unknown,1
scraped,2026-04,mid-senior,associate,12
scraped,2026-04,mid-senior,director,7
scraped,2026-04,mid-senior,entry,24
scraped,2026-04,mid-senior,mid-senior,369
scraped,2026-04,mid-senior,unknown,1820
