title,source,entry_share,n,total
software engineer,kaggle_arshkon,0.065,263,263
software engineer,scraped,0.049,2213,2213
data engineer,kaggle_arshkon,0.015,67,67
data engineer,scraped,0.026,608,608
devops engineer,kaggle_arshkon,0.000,34,34
devops engineer,scraped,0.046,217,217
machine learning engineer,kaggle_arshkon,0.040,25,25
machine learning engineer,scraped,0.005,198,198
full stack engineer,kaggle_arshkon,0.000,13,13
full stack engineer,scraped,0.009,112,112
ai engineer,kaggle_arshkon,0.000,4,4
ai engineer,scraped,0.040,175,175
site reliability engineer,kaggle_arshkon,0.000,23,23
site reliability engineer,scraped,0.000,144,144
embedded software engineer,kaggle_arshkon,0.077,13,13
embedded software engineer,scraped,0.000,126,126
test engineer,kaggle_arshkon,0.077,13,13
test engineer,scraped,0.141,78,78
software developer,kaggle_arshkon,0.167,18,18
software developer,scraped,0.296,71,71
cloud engineer,kaggle_arshkon,0.000,10,10
cloud engineer,scraped,0.022,93,93
systems engineer,kaggle_arshkon,0.000,23,23
systems engineer,scraped,0.040,99,99
full stack developer,kaggle_arshkon,0.333,9,9
full stack developer,scraped,0.079,76,76
software development engineer,kaggle_arshkon,0.077,13,13
software development engineer,scraped,0.034,88,88
java developer,kaggle_arshkon,0.122,41,41
java developer,scraped,0.190,21,21
system engineer,kaggle_arshkon,0.000,9,9
system engineer,scraped,0.000,53,53
java software engineer,kaggle_arshkon,0.000,12,12
java software engineer,scraped,0.018,55,55
quality assurance engineer,kaggle_arshkon,0.000,4,4
quality assurance engineer,scraped,0.000,37,37
developer,kaggle_arshkon,0.125,16,16
developer,scraped,0.114,35,35
android developer,kaggle_arshkon,0.000,9,9
android developer,scraped,0.000,23,23
