metric,arshkon_value,asaniczka_value,within_2024_effect,scraped_value,cross_period_effect,calibration_ratio,abs_cross,survives_snr_ge2
description_core_llm_labeled_share,0.999147,0.939765,0.059382,0.306597,0.69255,11.662571,0.69255,True
description_length,3305.641867,3881.446191,0.27526,4912.017049,0.691338,2.51158,0.691338,True
tech_count_mean,2.514176,2.343759,0.068347,3.275678,0.287167,4.2016,0.287167,True
ai_keyword_prevalence_any,0.047538,0.035854,0.011684,0.267606,0.220068,18.835512,0.220068,True
org_scope_term_rate,0.324664,0.317447,0.007217,0.51919,0.194526,26.953554,0.194526,True
ai_tool_specific_prevalence,0.014709,0.009267,0.005442,0.186884,0.172175,31.637597,0.172175,True
tech_python_prevalence,0.296738,0.302664,0.005926,0.464592,0.167854,28.32593,0.167854,True
tech_cicd_prevalence,0.176508,0.124717,0.051791,0.322668,0.14616,2.822118,0.14616,True
credential_mention_rate,0.399488,0.547631,0.148142,0.498422,0.098934,0.667829,0.098934,False
education_mention_rate,0.39757,0.544045,0.146476,0.496392,0.098822,0.674666,0.098822,False
tech_llm_prevalence,0.013856,0.007778,0.006079,0.110883,0.097026,15.961646,0.097026,True
management_indicator_rate_broad,0.238329,0.239782,0.001453,0.321861,0.083532,57.495437,0.083532,True
ai_domain_prevalence,0.048817,0.035523,0.013294,0.127101,0.078284,5.888789,0.078284,True
tech_machine_learning_prevalence,0.031763,0.024215,0.007548,0.105599,0.073836,9.782736,0.073836,True
tech_aws_prevalence,0.256875,0.24254,0.014335,0.325359,0.068484,4.777309,0.068484,True
tech_kubernetes_prevalence,0.12556,0.114954,0.010606,0.193366,0.067807,6.39344,0.067807,True
yoe_extracted_mean,5.221917,5.797881,0.185481,5.047787,0.063069,0.340031,0.063069,False
yoe_extracted_median,5.0,5.0,0.185481,5.0,0.063069,0.340031,0.063069,False
tech_docker_prevalence,0.123215,0.111479,0.011736,0.170324,0.047109,4.014117,0.047109,True
tech_rag_prevalence,0.003198,0.000276,0.002922,0.049925,0.046728,15.992745,0.046728,True
tech_typescript_prevalence,0.066297,0.066303,5e-06,0.108706,0.042409,7789.545777,0.042409,True
tech_gcp_prevalence,0.063952,0.062772,0.00118,0.103055,0.039103,33.141042,0.039103,True
tech_microservices_prevalence,0.095715,0.085223,0.010493,0.133485,0.03777,3.599651,0.03777,True
tech_javascript_prevalence,0.175656,0.171162,0.004493,0.138377,0.037278,8.296441,0.037278,True
tech_copilot_prevalence,0.001279,0.000441,0.000838,0.037719,0.03644,43.497011,0.03644,True
tech_postgres_prevalence,0.054359,0.05334,0.001019,0.089602,0.035242,34.569426,0.035242,True
management_indicator_rate_strict,0.015349,0.011363,0.003986,0.048874,0.033525,8.411684,0.033525,True
tech_react_prevalence,0.132381,0.116995,0.015386,0.1646,0.032219,2.093978,0.032219,True
tech_agile_prevalence,0.274995,0.304705,0.02971,0.248184,0.026811,0.902406,0.026811,False
tech_pytorch_prevalence,0.018333,0.012246,0.006087,0.043835,0.025502,4.189235,0.025502,True
tech_kafka_prevalence,0.059689,0.053836,0.005852,0.084563,0.024874,4.2502,0.024874,True
tech_sql_lang_prevalence,0.251119,0.257653,0.006534,0.227832,0.023287,3.563824,0.023287,True
yoe_le2_share,0.149777,0.103631,0.046146,0.17193,0.022153,0.480071,0.022153,False
tech_databricks_prevalence,0.020465,0.013735,0.00673,0.042367,0.021902,3.254493,0.021902,True
tech_azure_prevalence,0.199957,0.176237,0.02372,0.219637,0.01968,0.829671,0.01968,False
tech_java_prevalence,0.266681,0.256109,0.010572,0.284631,0.01795,1.697912,0.01795,False
tech_snowflake_prevalence,0.02686,0.02587,0.00099,0.044079,0.017219,17.396802,0.017219,True
tech_scrum_prevalence,0.065018,0.069723,0.004704,0.048507,0.016511,3.509777,0.016511,True
tech_tensorflow_prevalence,0.017267,0.013349,0.003918,0.033732,0.016465,4.202032,0.016465,True
tech_spark_prevalence,0.052867,0.044183,0.008684,0.065483,0.012616,1.452762,0.012616,False
seniority_final_entry_share_of_known,0.077195,0.017368,0.059827,0.066964,0.01023,0.170997,0.01023,False
seniority_final_entry_share_of_all,0.037305,0.011253,0.026053,0.031188,0.006117,0.234808,0.006117,False
tech_nodejs_prevalence,0.078022,0.078107,8.5e-05,0.073188,0.004834,56.762481,0.004834,True
soft_skill_rate,0.264762,0.211595,0.053168,0.265698,0.000936,0.017599,0.000936,False
tech_deep_learning_prevalence,0.0,0.000165,0.000165,0.000489,0.000489,2.956386,0.000489,True
