term,p_a,p_b,count_a,count_b,n_a,n_b,companies_a,companies_b,category
experienceexperience,0.024046793760831887,0.0,111,0,4616,11028,99,0,noise
developerlocation,0.022530329289428077,0.0,104,0,4616,11028,84,0,noise
skillsability,0.01993067590987868,0.0,92,0,4616,11028,81,0,noise
engineerlocation,0.018847487001733103,0.0,87,0,4616,11028,78,0,noise
skillsstrong,0.016464471403812825,9.067827348567283e-05,76,1,4616,11028,67,1,noise
skillsexperience,0.016464471403812825,0.0,76,0,4616,11028,70,0,noise
systemsexperience,0.014298093587521665,0.0,66,0,4616,11028,53,0,noise
etc.experience,0.01386481802426343,9.067827348567283e-05,64,1,4616,11028,57,1,noise
developmentexperience,0.013431542461005199,9.067827348567283e-05,62,1,4616,11028,53,1,noise
skills.ability,0.01278162911611785,0.0,59,0,4616,11028,54,0,noise
plusexperience,0.01169844020797227,0.0,54,0,4616,11028,48,0,noise
skillsexcellent,0.011481802426343155,0.0,53,0,4616,11028,49,0,noise
experience.experience,0.011048526863084922,0.00018135654697134566,51,2,4616,11028,44,2,noise
technologiesexperience,0.010181975736568458,0.0,47,0,4616,11028,39,0,noise
