period,community_id,size,tech
2024,0,20,ansible
2024,0,20,aws
2024,0,20,azure
2024,0,20,bash
2024,0,20,c_plus_plus
2024,0,20,cicd
2024,0,20,docker
2024,0,20,dynamodb
2024,0,20,gcp
2024,0,20,git
2024,0,20,jenkins
2024,0,20,kubernetes
2024,0,20,lambda
2024,0,20,linux
2024,0,20,perl
2024,0,20,python
2024,0,20,ruby
2024,0,20,serverless
2024,0,20,shell
2024,0,20,terraform
2024,1,14,angular
2024,1,14,c_sharp
2024,1,14,dotnet
2024,1,14,graphql
2024,1,14,html_css
2024,1,14,javascript
2024,1,14,jquery
2024,1,14,nodejs
2024,1,14,php
2024,1,14,react
2024,1,14,rest_api
2024,1,14,sql_lang
2024,1,14,typescript
2024,1,14,vue
2024,2,8,airflow
2024,2,8,databricks
2024,2,8,hadoop
2024,2,8,kafka
2024,2,8,redshift
2024,2,8,scala
2024,2,8,snowflake
2024,2,8,spark
2024,3,7,cassandra
2024,3,7,django
2024,3,7,elasticsearch
2024,3,7,mongodb
2024,3,7,mysql
2024,3,7,postgres
2024,3,7,redis
2024,4,5,java
2024,4,5,junit
2024,4,5,microservices
2024,4,5,selenium
2024,4,5,spring
2024,5,3,machine_learning
2024,5,3,pytorch
2024,5,3,tensorflow
2024,6,3,agile
2024,6,3,kanban
2024,6,3,scrum
2024,7,2,kotlin
2024,7,2,swift
2024,8,1,go_lang
2024,9,1,rust
2024,10,1,matlab
2024,11,1,tdd
