a,b,phi
tensorflow,pytorch,0.751852006369397
pandas,numpy,0.7150449982154121
kubernetes,docker,0.5767922471275945
ruby,rails,0.5228573753169357
langchain,langgraph,0.5149568197918694
llm,rag,0.5059924079828522
c_sharp,dotnet,0.4919926001669633
langchain,rag,0.46304435821823575
cursor_tool,claude_tool,0.4630025504543704
javascript,html_css,0.4595569437348386
openai_api,claude_api,0.4564930445349707
llm,agents_framework,0.4564626125953026
tensorflow,scikit_learn,0.4500768767275941
java,spring,0.4390911075194442
typescript,react,0.4142660267144012
pytorch,machine_learning,0.41235483286345737
rag,embedding,0.4104538313781623
lambda,dynamodb,0.407620448650224
cypress,playwright,0.40655841068118753
dbt,airflow,0.3998043849961791
pytorch,scikit_learn,0.39924048647837795
rag,agents_framework,0.39807747346836514
django,flask,0.3977892648830556
flask,fastapi,0.39286567883699414
copilot,cursor_tool,0.391153270523828
azure,gcp,0.3909522971602638
terraform,ansible,0.3807781236947732
spark,hadoop,0.3771939275826981
llm,langchain,0.3761941095299462
aws,gcp,0.3654530482637247
snowflake,dbt,0.355805878030454
scikit_learn,pandas,0.351738870736919
agile,scrum,0.3489492267110476
kubernetes,terraform,0.34762187269072553
tensorflow,machine_learning,0.34140364886769775
jest,cypress,0.3403741405370078
langchain,openai_api,0.33839152632285885
copilot,claude_tool,0.33706725609786875
spring,microservices,0.33426155425169685
aws,azure,0.3335038324946463
langchain,agents_framework,0.3324508734233235
langgraph,rag,0.33003921743530185
postgres,mysql,0.3284696690938243
spark,databricks,0.3281129036188627
react,nodejs,0.327478454567131
llm,openai_api,0.32739927377602246
selenium,playwright,0.32222322875163445
aws,lambda,0.32101406887415596
javascript,react,0.31619321677836953
rag,openai_api,0.31553821941073423
scikit_learn,numpy,0.3145559828831403
langgraph,agents_framework,0.3139244741190208
rest_api,microservices,0.31243631277046907
docker,cicd,0.310328854031511
bash,ansible,0.3098230757645189
rag,fine_tuning,0.30750167906903225
aws,terraform,0.3071833623254324
angular,html_css,0.3039254870214501
llm,embedding,0.3036926177661819
bash,terraform,0.2995087724096408
mcp,agents_framework,0.29879649818183107
scala,spark,0.29810131785873495
cicd,jenkins,0.29809493273307835
react,nextjs,0.29599076347417236
serverless,lambda,0.29552961369892694
spark,airflow,0.2942661553201118
spring,rest_api,0.29421248183053283
typescript,nodejs,0.29279202299137036
rag,mcp,0.2904348778103322
angular,vue,0.28952199986072513
machine_learning,llm,0.2893821393939311
aws,docker,0.2893151570275207
aws,kubernetes,0.2865479092332769
llm,fine_tuning,0.2864101226968979
selenium,cypress,0.28623863356051854
terraform,cicd,0.28462585214991215
react,html_css,0.28331759047838484
snowflake,airflow,0.2801313480345418
langgraph,mcp,0.2787951213589478
django,fastapi,0.27874573734156266
react,vue,0.2754946388694884
