tech,extracted_rate,structured_rate,extracted_count,structured_count,diff_pp
agile,0.3047051685145347,0.1335429422472282,5524,2421,-17.11622262673065
python,0.30266423961608474,0.31336532627282254,5487,5681,1.0701086656737802
sql_lang,0.2576534833691875,0.20365160792101053,4671,3692,-5.400187544817695
java,0.25610899663522535,0.26057697611561587,4643,4724,0.4467979480390516
aws,0.24253957747255778,0.19857686579513487,4397,3600,-4.396271167742291
azure,0.1762369683931822,0.11351977494621876,3195,2058,-6.271719344696344
javascript,0.17116222626730654,0.17403055877323625,3103,3155,0.2868332505929716
linux,0.15373159026973357,0.1278614374758674,2787,2318,-2.5870152793866175
rest_api,0.1377351205251255,0.0543879971316675,2497,986,-8.3347123393458
git,0.12642727122290254,0.1361354735506647,2292,2468,0.970820232776215
cicd,0.12471730376744443,0.06475812234541342,2261,1174,-5.9959181422031005
react,0.11699487009763362,0.10761762921286337,2121,1951,-0.9377240884770253
kubernetes,0.11495394119918363,0.12653759170389983,2084,2294,1.15836505047162
docker,0.11147884604776877,0.11931160019857687,2021,2163,0.7832754150808099
c_plus_plus,0.11070660268078769,0.11114788460477688,2007,2015,0.04412819239891924
c_sharp,0.10629378344089581,0.10121904131502013,1927,1835,-0.5074742125875678
angular,0.0909592365822715,0.07077058855976612,1649,1283,-2.0188648022505378
microservices,0.08522257157041205,0.06685421148436207,1545,1212,-1.8368360086049973
dotnet,0.08500193060841746,0.048982293562799935,1541,888,-3.6019637045617525
jenkins,0.07887914391306747,0.08114071377351205,1430,1471,0.22615698604445816
nodejs,0.07810690054608638,0.07496276683766341,1416,1359,-0.31441337084229665
spring,0.07016382591428098,0.05400187544817695,1272,979,-1.6161950466104031
scrum,0.06972254399029179,0.05841469468806884,1264,1059,-1.130784930222295
typescript,0.06630260907937559,0.07319763914170666,1202,1327,0.6895030062331067
gcp,0.06277235368746208,0.07082574880026477,1138,1284,0.8053395112802688
kafka,0.05383639472668101,0.052071267030724254,976,944,-0.17651276959567558
postgres,0.05333995256219317,0.049699376689282364,967,901,-0.3640575872910806
terraform,0.05300899111920128,0.053560593524187766,961,971,0.055160240498648705
spark,0.04418335263941751,0.04445915384191075,801,806,0.027580120249324352
mysql,0.04324562855094048,0.04181146229797562,784,758,-0.1434166252964865
scala,0.038943129792045894,0.0405427767665067,706,735,0.1599646974460807
mongodb,0.029124606983286446,0.03541287440013238,528,642,0.6288267416845936
snowflake,0.02587015279386618,0.022339897401952673,469,405,-0.3530255391913508
ruby,0.02548403111037564,0.01825803960505268,462,331,-0.7225991505322962
machine_learning,0.024215345578906724,0.06911578134480666,439,1253,4.490043576589993
go_lang,0.021512493794472943,0.0695019030282972,390,1260,4.7989409233824265
redis,0.018864802250537813,0.015775828782613494,342,286,-0.3088973467924319
php,0.01858900104804457,0.017265155276077002,337,313,-0.13238457719675667
vue,0.018423520326548624,0.01693419383308511,334,307,-0.14893264934635123
graphql,0.016879033592586464,0.01704451431408241,306,309,0.016548072149594542
kotlin,0.015389707099122952,0.016768713111589166,279,304,0.1379006012466214
airflow,0.015169066137128357,0.014065861327155387,275,255,-0.11032048099729706
elasticsearch,0.014121021567654034,0.014121021567654034,256,256,0.0
databricks,0.013734899884163494,0.01009432401125269,249,183,-0.36405758729108045
tensorflow,0.013348778200672954,0.013348778200672954,242,242,0.0
rust,0.012521374593193225,0.012190413150201335,227,221,-0.033096144299189084
pytorch,0.012245573390699984,0.012411054112195929,222,225,0.016548072149594542
swift,0.01163881074521485,0.01048044569474323,211,190,-0.11583650504716198
django,0.011032048099729715,0.01048044569474323,200,190,-0.05516024049864853
llm,0.007777593910309449,0.004854101163881075,141,88,-0.2923492746428374
flask,0.0077224336698108005,0.007777593910309449,140,141,0.0055160240498648185
nlp,0.006950190302829721,0.01274201555518782,126,231,0.5791825252358099
pandas,0.0064537481383418836,0.005736665011859452,117,104,-0.07170831264824316
scikit_learn,0.00501958188537702,0.0002758012024932429,91,5,-0.47437806828837775
numpy,0.004909261404379723,0.0050747421258756685,89,92,0.016548072149594542
bigquery,0.004798940923382426,0.0036405758729108058,87,66,-0.11583650504716202
deep_learning,0.00016548072149594572,0.010259804732748635,3,186,1.0094324011252689
computer_vision,5.516024049864857e-05,0.013072976998179713,1,237,1.3017816757681064
