tech,2024,2026,delta_pp,mult,trajectory
cicd,0.13536371603856268,0.32266823218610113,18.730451614753846,2.383712870989585,rising
python,0.3014460999123576,0.46459235341601235,16.314625350365475,1.5412120228163106,rising
agents_framework,0.006134969325153374,0.1269538416379247,12.08188723127713,20.693476186981727,rising
llm,0.009027169149868536,0.11088280619358626,10.185563704371772,12.283231249211838,rising
aws,0.24548641542506572,0.32535896871407255,7.987255328900683,1.3253644530623234,rising
machine_learning,0.025766871165644172,0.10559917810229691,7.9832306936652735,4.0982538168272376,rising
kubernetes,0.11713409290096406,0.19336611139649226,7.62320184955282,1.650809824941247,rising
terraform,0.055872042068361084,0.11416061250947873,5.828857044111765,2.0432511195814156,rising
docker,0.11389132340052585,0.17032362222059147,5.643229882006562,1.4954925198437465,rising
rag,0.0008764241893076249,0.0499253932144517,4.904896902514407,56.96487365768939,rising
rest_api,0.14517966695880807,0.1929991927790416,4.781952582023353,1.329381702148424,rising
microservices,0.0873794916739702,0.13348499302854627,4.610550135457607,1.5276467105874754,rising
react,0.12015775635407537,0.16459969178836134,4.444193543428597,1.3698632263349402,rising
typescript,0.06630148992112182,0.10870575573004575,4.240426580892392,1.6395673137869424,rising
gcp,0.06301489921121822,0.10305520902130574,4.004030981008752,1.6354102015759369,rising
azure,0.1811130587204207,0.21963748440595876,3.852442568553807,1.2127092654594673,rising
copilot,0.0006134969325153375,0.03771923387392676,3.710573694141142,61.48235121450062,rising
postgres,0.05354951796669588,0.0896015263814486,3.6052008414752716,1.6732461800529108,rising
claude_tool,0.00013146362839614373,0.03365866784080624,3.3527204212410093,256.03026670906615,rising
pytorch,0.013496932515337423,0.04383454416477092,3.0337611649433502,3.2477412267534818,rising
langchain,0.0010517090271691498,0.030992392553998188,2.9940683526829037,29.46859992009328,rising
openai_api,0.0015337423312883436,0.031237004965631955,2.970326263434361,20.366527237592035,rising
kafka,0.05503943908851884,0.084562510701793,2.9523071613274166,1.5363984826551882,rising
databricks,0.015118317265556529,0.04236686969496832,2.7248552429411794,2.8023535259106582,rising
embedding,0.0015337423312883436,0.028203811061373252,2.6670068730084906,18.38888481201536,rising
java,0.25828220858895706,0.28463100217705045,2.634879358809339,1.1020155191177963,stable
rust,0.012182296231375987,0.0341234314229104,2.194113519153441,2.801067284427393,rising
