company,y2024,y2026,pivoted
AMERICAN SYSTEMS,Agile/Scrum generalist,Defense & cleared regulated work,True
AT&T,Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
AVEVA,.NET / ASP.NET full-stack,Agile/Scrum generalist,True
Ace Technologies,Defense & cleared regulated work,DevOps / SRE / platform,True
Actalent,Defense & cleared regulated work,Embedded / firmware,True
Aditi Consulting,Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
Adobe,JS frontend (React/TypeScript),LLM / GenAI / ML engineering,True
Agility Partners,Agile/Scrum generalist,Data engineering (Spark/ETL),True
Akamai Technologies,Embedded / firmware,LLM / GenAI / ML engineering,True
Akkodis,Java enterprise (Spring/microservices),Defense & cleared regulated work,True
AllSTEM Connections,JS frontend (React/TypeScript),Embedded / firmware,True
Amazon,Data engineering (Spark/ETL),LLM / GenAI / ML engineering,True
Amazon Web Services (AWS),AWS cloud SDE (Amazon template),AWS cloud SDE (Amazon template),False
American Express,DevOps / SRE / platform,LLM / GenAI / ML engineering,True
"American Unit, Inc",Defense & cleared regulated work,Data engineering (Spark/ETL),True
Ampstek,Embedded / firmware,DevOps / SRE / platform,True
Amtex Systems Inc.,DevOps / SRE / platform,JS frontend (React/TypeScript),True
Anduril Industries,LLM / GenAI / ML engineering,LLM / GenAI / ML engineering,False
ApTask,DevOps / SRE / platform,LLM / GenAI / ML engineering,True
Apetan Consulting LLC,.NET / ASP.NET full-stack,Data engineering (Spark/ETL),True
Apex Systems,DevOps / SRE / platform,DevOps / SRE / platform,False
Apexon,DevOps / SRE / platform,Data engineering (Spark/ETL),True
Ascendion,DevOps / SRE / platform,DevOps / SRE / platform,False
"BAE Systems, Inc.",Defense & cleared regulated work,DevOps / SRE / platform,True
BCforward,Defense & cleared regulated work,Data engineering (Spark/ETL),True
BLUE ORIGIN,Defense & cleared regulated work,Defense & cleared regulated work,False
BayOne Solutions,Java enterprise (Spring/microservices),QA / test automation,True
BioSpace,Defense & cleared regulated work,Data engineering (Spark/ETL),True
Blackhawk Network,Java enterprise (Spring/microservices),Agile/Scrum generalist,True
Boeing,Defense & cleared regulated work,Defense & cleared regulated work,False
Booz Allen Hamilton,Data engineering (Spark/ETL),DevOps / SRE / platform,True
Brightpath Associates LLC,Defense & cleared regulated work,,True
Brooksource,DevOps / SRE / platform,DevOps / SRE / platform,False
ByteDance,Amazon program boilerplate,LLM / GenAI / ML engineering,True
CACI International Inc,DevOps / SRE / platform,Defense & cleared regulated work,True
CGI,Data engineering (Spark/ETL),Java enterprise (Spring/microservices),True
Capgemini,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
Capital One,AWS cloud generic template,AWS cloud generic template,False
CarMax,Agile/Scrum generalist,Agile/Scrum generalist,False
Caterpillar Inc.,AWS cloud SDE (Amazon template),Defense & cleared regulated work,True
Cbase Inc,Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
Centene Corporation,DevOps / SRE / platform,DevOps / SRE / platform,False
Centraprise,Java enterprise (Spring/microservices),iOS / Swift mobile,True
Charter Global,DevOps / SRE / platform,DevOps / SRE / platform,False
Cisco,LLM / GenAI / ML engineering,Embedded / firmware,True
ClearanceJobs,DevOps / SRE / platform,,True
Cloudflare,JS frontend (React/TypeScript),DevOps / SRE / platform,True
Cloudious LLC,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
Cogent Communications,JS frontend (React/TypeScript),,True
Cognizant,DevOps / SRE / platform,Java enterprise (Spring/microservices),True
Collabera,Java enterprise (Spring/microservices),JS frontend (React/TypeScript),True
Collins Aerospace,Defense & cleared regulated work,Defense & cleared regulated work,False
Compunnel Inc.,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
Confidential,.NET / ASP.NET full-stack,DevOps / SRE / platform,True
ConsultNet Technology Services and Solutions,DevOps / SRE / platform,LLM / GenAI / ML engineering,True
CrowdStrike,AWS cloud generic template,DevOps / SRE / platform,True
Cygnus Professionals Inc.,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
DataAnnotation,LLM / GenAI / ML engineering,LLM / GenAI / ML engineering,False
Deloitte,Agile/Scrum generalist,LLM / GenAI / ML engineering,True
Delta Air Lines,Data engineering (Spark/ETL),Agile/Scrum generalist,True
Dexian,Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,True
Docusign,Java enterprise (Spring/microservices),JS frontend (React/TypeScript),True
EPITEC,Defense & cleared regulated work,Java enterprise (Spring/microservices),True
EVONA,Embedded / firmware,Embedded / firmware,False
Ehub Global Inc,LLM / GenAI / ML engineering,LLM / GenAI / ML engineering,False
Eliassen Group,DevOps / SRE / platform,Java enterprise (Spring/microservices),True
Empower Professionals,DevOps / SRE / platform,Java enterprise (Spring/microservices),True
Entegee,Embedded / firmware,Embedded / firmware,False
Equifax,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
Esri,DevOps / SRE / platform,DevOps / SRE / platform,False
Experis,Defense & cleared regulated work,DevOps / SRE / platform,True
Extend Information Systems Inc.,AWS cloud SDE (Amazon template),Embedded / firmware,True
FIS,LLM / GenAI / ML engineering,QA / test automation,True
FanDuel,Data engineering (Spark/ETL),Agile/Scrum generalist,True
Fanatics,DevOps / SRE / platform,Data engineering (Spark/ETL),True
FastTek Global,Defense & cleared regulated work,Java enterprise (Spring/microservices),True
Fidelity Investments,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
Ford Motor Company,Java enterprise (Spring/microservices),Embedded / firmware,True
Franklin Fitch,DevOps / SRE / platform,.NET / ASP.NET full-stack,True
GE HealthCare,.NET / ASP.NET full-stack,DevOps / SRE / platform,True
Galactic Minds INC,DevOps / SRE / platform,LLM / GenAI / ML engineering,True
"Gardner Resources Consulting, LLC",Java enterprise (Spring/microservices),Data engineering (Spark/ETL),True
General Atomics,Defense & cleared regulated work,Defense & cleared regulated work,False
General Dynamics Information Technology,Defense & cleared regulated work,DevOps / SRE / platform,True
General Dynamics Mission Systems,Defense & cleared regulated work,Defense & cleared regulated work,False
General Motors,DevOps / SRE / platform,LLM / GenAI / ML engineering,True
Goldman Sachs,US gov SCI-cleared SWE,Data engineering (Spark/ETL),True
Goliath Partners,Embedded / firmware,LLM / GenAI / ML engineering,True
Google,Amazon program boilerplate,Amazon program boilerplate,False
Guidehouse,DevOps / SRE / platform,Data engineering (Spark/ETL),True
HIRECLOUT,LLM / GenAI / ML engineering,LLM / GenAI / ML engineering,False
HTC Global Services,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
Harnham,Data engineering (Spark/ETL),LLM / GenAI / ML engineering,True
Harvey Nash,JS frontend (React/TypeScript),,True
Honeywell,Defense & cleared regulated work,DevOps / SRE / platform,True
Horizontal Talent,Java enterprise (Spring/microservices),DevOps / SRE / platform,True
ICE,Java enterprise (Spring/microservices),Java enterprise (Spring/microservices),False
"IDR, Inc.",Agile/Scrum generalist,Data engineering (Spark/ETL),True
INSPYR Solutions,.NET / ASP.NET full-stack,Data engineering (Spark/ETL),True
Info Way Solutions,Embedded / firmware,DevOps / SRE / platform,True
Infojini Inc,.NET / ASP.NET full-stack,Data engineering (Spark/ETL),True
Infosys,.NET / ASP.NET full-stack,Java enterprise (Spring/microservices),True
