metro_area,.NET / ASP.NET full-stack,AWS cloud SDE (Amazon template),AWS cloud generic template,Agile/Scrum generalist,Amazon program boilerplate,Android / Kotlin mobile,Azure data platform,Data engineering (Spark/ETL),Defense & cleared regulated work,DevOps / SRE / platform,Embedded / firmware,GPU / CUDA / systems perf,Generic JS/Python boilerplate,JS frontend (React/TypeScript),Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,Python web backend (Django/Flask),QA / test automation,US gov SCI-cleared SWE,iOS / Swift mobile
Atlanta Metro,1.2411983525973163,1.1977564102564102,0.488880167451596,1.8061406186406186,0.536308840413318,5.133241758241758,0.7604802604802604,1.108244365361803,0.7322528272309932,1.3129046006404497,0.45283796228975803,0.0,0.0,1.051854071329992,1.4234206614641398,0.7701581740429697,0.406019122120817,1.0599614250056726,0.0,0.9039671020803096
Austin Metro,0.6833892106065224,1.8685000000000003,0.4486194477791116,1.482936507936508,0.4921422300263389,0.0,0.0,0.8214046472681599,0.6479514513228872,1.106030336662967,1.5790726120315801,2.1371732026143793,0.0,0.965230794867522,1.369914748508099,0.7950750561443599,1.1177467597208375,1.3617386777719938,0.3408116735066119,1.4516648168701443
Boston Metro,0.8605641911341393,0.6643555555555556,0.6779138321995465,0.8568077601410934,0.6197346600331675,0.0,0.5272663139329806,1.0048082245947014,1.1423144104803495,0.8804352600579016,1.4128544423440452,0.46135802469135806,0.0,0.9174881964117092,1.2035426731078904,1.034579147131056,3.659585687382297,0.8818879056047199,0.0,0.940125786163522
Charlotte Metro,1.2995096845985326,1.1286241610738257,0.511847692096973,1.2938372216895706,0.0,2.2393336529242567,2.7867263236390754,1.4280732761709138,0.9309369596436212,1.1041745810645394,0.09482244579490236,0.0,0.0,0.8170713158545164,2.1082190448399962,0.6215538283803161,2.975656921851894,1.109758270475738,0.0,1.4196530327972647
Chicago Metro,2.4124012571137348,0.9801967213114754,2.5005018400802945,1.0696591204787926,0.0,0.875175644028103,5.056570387717928,1.1336794819438771,0.9363232872789748,1.078832869367976,0.46323096470296565,1.0210382513661205,0.6283312316099201,0.7636093437978916,1.4916037063435497,0.7385943144510447,1.2460127813281467,1.301146090236472,0.18996060490532468,0.9247138880296938
Dallas-Fort Worth Metro,1.8566967137483141,1.215804794520548,1.0447302208554654,1.3712084148727983,0.19101410754446943,0.9141389432485322,1.421993911719939,1.0019743577243698,0.8802080217742417,1.0578714814951566,0.4112761219152186,0.3554984779299848,0.0,1.2326632775815902,1.8918701608100061,0.6514694143445668,1.735314604132807,1.6988422839132016,0.0,0.7244119927629878
Denver Metro,1.1389820176775374,1.0991176470588235,0.0,1.3707816459917301,0.7030603286090555,0.5607743097238895,0.0,0.5587786716109931,1.7484404242046163,1.3261078016112104,1.0685453765627233,0.0,3.2208575737987504,0.9340943176137311,0.7281938862501522,0.6099782176768899,0.5322603617718273,1.667435115639176,1.4606214578854797,0.0
Detroit Metro,1.3053501775630203,0.2099438202247191,0.0,0.49986623863028357,0.0,0.0,1.9994649545211343,0.5977048262625454,1.6960526961385605,1.056321108048901,2.2224676621142283,0.0,1.07663497551138,0.7136900404239742,1.3996254681647942,0.6187225780232847,1.423347933726909,1.1147459480958537,0.0,0.39612041551833793
Houston Metro,2.5310711503945273,0.9769934640522876,0.0,0.5815437286025521,0.0,0.0,3.1015665525469447,1.912264787290954,1.4932214516082998,1.3605928744663482,0.5540605656251157,0.6784676833696442,2.505111446287917,1.2454590901516414,0.42477976697925546,0.49078707169404934,0.0,0.4322979929434901,0.7573592744591376,0.0
Los Angeles Metro,0.6074570760946866,0.7327450980392157,0.5981592637054821,0.5815437286025521,0.6561896400351185,0.2616946778711485,0.9304699657640834,0.9126718302979555,1.8718597482661186,0.8558568081320578,2.493272545313021,0.0,0.0,0.9756096206187858,0.4884967320261438,0.69691764180555,0.24838816882685275,1.2968939788304703,0.11360389116887064,1.244284128745838
Minneapolis-Saint Paul,1.508781374066348,0.2426623376623377,0.0,1.7333024118738403,0.0,0.0,0.7703566274994846,1.3817072607108194,1.642474337889185,1.0029171188200836,1.192669334446272,0.0,2.488844488844489,0.7561715904492108,0.9143798230754753,0.682640199719905,1.6451683909311028,0.8589817262383634,0.0,1.3735604018622887
