metro,n_2024,n_2026,entry_final_2024,entry_final_2026,yoe_le2_2024,yoe_le2_2026,ai_any_2024,ai_any_2026,ai_tools_any_2024,ai_tools_any_2026,scope_2024,scope_2026,desc_len_2024,desc_len_2026,tech_count_2024,tech_count_2026,remote_share_2026,agg_share_2024,agg_share_2026,d_entry_final,d_yoe_le2,d_ai_any,d_ai_tools_any,d_scope,d_desc_len,d_tech_count
San Francisco Bay Area,359,5012,0.09473684210526316,0.06877249100359856,0.13942307692307693,0.2454464019110182,0.12534818941504178,0.40861931364724663,0.005571030640668524,0.09676775738228252,0.2785515320334262,0.463487629688747,3287.0,4726.0,4.0,4.0,0.0,0.07799442896935933,0.05845969672785315,-0.025964351101664604,0.10602332498794129,0.28327112423220485,0.091196726741614,0.18493609765532082,1439.0,0.0
Washington DC Metro,250,3036,0.11818181818181818,0.11552680221811461,0.1676300578034682,0.13015717092337917,0.04,0.17292490118577075,0.0,0.05632411067193676,0.204,0.26976284584980237,3746.5,4919.5,5.0,7.0,0.0,0.116,0.12812911725955203,-0.002655015963703572,-0.03747288688008904,0.13292490118577074,0.05632411067193676,0.06576284584980238,1173.0,2.0
Seattle Metro,173,2201,0.08450704225352113,0.05656565656565657,0.20634920634920634,0.2548217416715371,0.07514450867052024,0.3780099954566106,0.0,0.12403452975920036,0.27167630057803466,0.38482507950931394,3853.0,5605.0,3.0,5.0,0.0,0.06936416184971098,0.12539754656974103,-0.027941385687864556,0.048472535322330756,0.3028654867860904,0.12403452975920036,0.11314877893127928,1752.0,2.0
Dallas-Fort Worth Metro,245,2058,0.06956521739130435,0.03571428571428571,0.09868421052631579,0.09767092411720511,0.012244897959183673,0.24975704567541301,0.0,0.11273080660835763,0.21224489795918366,0.337220602526725,2197.0,3843.5,5.0,7.0,0.0,0.1510204081632653,0.2852283770651118,-0.033850931677018636,-0.001013286409110678,0.23751214771622933,0.11273080660835763,0.12497570456754131,1646.5,2.0
Los Angeles Metro,121,1660,0.03333333333333333,0.06946107784431138,0.0945945945945946,0.19307359307359306,0.08264462809917356,0.1897590361445783,0.008264462809917356,0.06807228915662651,0.19008264462809918,0.35240963855421686,3163.0,5287.5,4.0,4.0,0.0,0.09090909090909091,0.15481927710843374,0.03612774451097805,0.09847899847899846,0.10711440804540476,0.059807826346709156,0.16232699392611769,2124.5,0.0
Boston Metro,132,1541,0.05194805194805195,0.07125,0.10843373493975904,0.14943609022556392,0.030303030303030304,0.24983776768332253,0.007575757575757576,0.08760545100584036,0.2727272727272727,0.3893575600259572,3261.5,4606.0,4.0,5.0,0.0,0.14393939393939395,0.1745619727449708,0.019301948051948042,0.041002355285804884,0.21953473738029222,0.08002969343008279,0.11663028729868447,1344.5,1.0
Austin Metro,95,1129,0.06666666666666667,0.06759443339960239,0.1891891891891892,0.14078947368421052,0.021052631578947368,0.26395039858281666,0.0,0.0983170947741364,0.28421052631578947,0.40744021257750224,3316.0,4390.0,4.0,6.0,0.0,0.05263157894736842,0.17980513728963685,0.0009277667329357225,-0.04839971550497868,0.24289776700386928,0.0983170947741364,0.12322968626171277,1074.0,2.0
Atlanta Metro,139,1087,0.10144927536231885,0.04462474645030426,0.13978494623655913,0.13609467455621302,0.04316546762589928,0.27138914443422263,0.007194244604316547,0.13247470101195952,0.22302158273381295,0.4029438822447102,3386.0,3960.0,5.0,7.0,0.0,0.07913669064748201,0.23459061637534498,-0.05682452891201459,-0.0036902716803461078,0.22822367680832334,0.12528045640764296,0.17992229951089728,574.0,2.0
Charlotte Metro,75,1061,0.13513513513513514,0.036011080332409975,0.2,0.14241001564945227,0.013333333333333334,0.23751178133836004,0.0,0.0885956644674835,0.16,0.32139491046182844,3053.0,3505.0,6.0,7.0,0.0,0.09333333333333334,0.4222431668237512,-0.09912405480272517,-0.05758998435054774,0.2241784480050267,0.0885956644674835,0.16139491046182844,452.0,1.0
Chicago Metro,152,1032,0.03125,0.07939914163090128,0.14893617021276595,0.1308139534883721,0.02631578947368421,0.23062015503875968,0.006578947368421052,0.08817829457364341,0.21052631578947367,0.38372093023255816,2651.5,4361.5,4.5,6.0,0.0,0.07236842105263158,0.2063953488372093,0.04814914163090128,-0.018122216724393847,0.20430436556507547,0.08159934720522236,0.17319461444308448,1710.0,1.5
Philadelphia Metro,80,831,0.03571428571428571,0.07951070336391437,0.04081632653061224,0.19851576994434136,0.0375,0.1865222623345367,0.0,0.07220216606498195,0.1375,0.29482551143200963,1864.0,4437.0,4.0,6.0,0.0,0.2875,0.3369434416365824,0.04379641764962866,0.15769944341372913,0.1490222623345367,0.07220216606498195,0.15732551143200962,2573.0,2.0
Denver Metro,80,741,0.0425531914893617,0.06086956521739131,0.1,0.17842323651452283,0.0,0.14709851551956815,0.0,0.06072874493927125,0.25,0.3630229419703104,4025.0,5138.0,4.0,5.0,0.0,0.1125,0.19298245614035087,0.018316373728029606,0.07842323651452282,0.14709851551956815,0.06072874493927125,0.11302294197031038,1113.0,1.0
Phoenix Metro,75,706,0.1935483870967742,0.06296296296296296,0.1956521739130435,0.19334719334719336,0.04,0.2096317280453258,0.0,0.0764872521246459,0.13333333333333333,0.34277620396600567,2449.0,4086.0,4.0,6.0,0.0,0.17333333333333334,0.3286118980169972,-0.13058542413381125,-0.0023049805658501288,0.16963172804532578,0.0764872521246459,0.20944287063267233,1637.0,2.0
Detroit Metro,67,622,0.0,0.06451612903225806,0.2830188679245283,0.1382488479262673,0.08955223880597014,0.15916398713826366,0.0,0.06109324758842444,0.2835820895522388,0.38102893890675243,3377.0,4628.5,4.0,4.0,0.0,0.05970149253731343,0.19614147909967847,0.06451612903225806,-0.144770019998261,0.06961174833229351,0.06109324758842444,0.09744684935451364,1251.5,0.0
Raleigh-Durham-Chapel Hill,51,558,0.0,0.10267857142857142,0.1388888888888889,0.1518987341772152,0.0392156862745098,0.24193548387096775,0.0,0.10931899641577061,0.17647058823529413,0.3046594982078853,3837.0,3716.5,5.0,5.0,0.0,0.13725490196078433,0.2222222222222222,0.10267857142857142,0.0130098452883263,0.20271979759645795,0.10931899641577061,0.12818890997259116,-120.5,0.0
Minneapolis-Saint Paul,54,558,0.1,0.1013215859030837,0.19444444444444445,0.15126050420168066,0.09259259259259259,0.22939068100358423,0.018518518518518517,0.12724014336917563,0.18518518518518517,0.3978494623655914,3147.5,4364.5,4.0,5.0,0.0,0.05555555555555555,0.3100358422939068,0.0013215859030836913,-0.043183940242763785,0.13679808841099164,0.10872162485065712,0.2126642771804062,1217.0,1.0
Houston Metro,65,526,0.17857142857142858,0.06111111111111111,0.19047619047619047,0.11148648648648649,0.03076923076923077,0.19771863117870722,0.0,0.07604562737642585,0.18461538461538463,0.3193916349809886,2575.0,3689.0,3.0,5.0,0.0,0.09230769230769231,0.2737642585551331,-0.11746031746031746,-0.07898970398970398,0.16694940040947645,0.07604562737642585,0.13477625036560398,1114.0,2.0
San Diego Metro,53,492,0.07692307692307693,0.058823529411764705,0.25,0.3829787234042553,0.018867924528301886,0.22357723577235772,0.0,0.04065040650406504,0.09433962264150944,0.3983739837398374,4446.0,5514.0,3.0,4.0,0.0,0.05660377358490566,0.06504065040650407,-0.018099547511312222,0.13297872340425532,0.20470931124405584,0.04065040650406504,0.30403436109832793,1068.0,1.0
