term,adj_2024,adj_2026,adj_delta,swe_delta
ai,0.005843173875736975,0.052811249748331734,0.04696807587259476,0.05499665174045709
security,0.05132816099720645,0.09268112516866164,0.041352964171455196,0.0068918040599937475
data,0.06646178320041526,0.09702942846948741,0.030567645269072144,0.020961171076812085
analytics,0.009059714382807352,0.02862798831604571,0.01956827393323836,0.005997084880273931
environments,0.008019489968152658,0.02471291686230662,0.016693426894153963,0.012513144355319465
secure,0.0054472479740713285,0.01939387185761542,0.01394662388354409,0.009157514525412854
ml,0.004038755979376722,0.01762659673488817,0.013587840755511447,0.014194396737519294
pipelines,0.0026582217583972093,0.01538569935591954,0.012727477597522331,0.017861437225128753
learning,0.012206327461583434,0.024382897896475915,0.01217657043489248,0.009058036211448846
platforms,0.006473824727631235,0.017959497315568868,0.011485672587937631,0.007079143626666822
workflows,0.003752480830158573,0.0147175151062084,0.010965034276049827,0.015292349417135104
strong,0.020029269299600565,0.030813690599769992,0.010784421300169426,0.006741557436819878
hands,0.008390068297239267,0.018613611697190453,0.010223543399951187,0.006928281723743979
teams,0.015710008648640705,0.025698998152376057,0.009988989503735352,0.006703148144558246
scalable,0.001962714775778164,0.011914778050818683,0.009952063275040519,0.012755054719713391
scale,0.002609183590677065,0.012037210749753325,0.00942802715907626,0.012362509186906085
role,0.016330923016217438,0.025750196318081647,0.00941927330186421,0.017282325665055047
build,0.007503729047346469,0.016311621517893282,0.008807892470546813,0.011839142066932894
production,0.010743382616422836,0.018569923051124322,0.007826540434701486,0.006954099579368489
identity,0.002046688591253852,0.009680443862899629,0.007633755271645777,0.009532026936478331
llm,0.00021161222922964004,0.0075571493546350114,0.007345537125405371,0.006784864423484061
cd,0.0023791970567507764,0.009347995838498085,0.006968798781747308,0.010302513057251446
modern,0.0029483486941587534,0.00991171796609086,0.0069633692719321075,0.00774053980504381
ll,0.00743192088635101,0.014189309570217528,0.0067573886838665186,0.00787573316494307
infrastructure,0.019627818811023115,0.026187050340641463,0.006559231529618348,0.011613370415846008
ci,0.003653433329681522,0.009950810252712728,0.0062973769230312065,0.010139049474320169
driven,0.005442038311824467,0.011635608228467698,0.006193569916643231,0.008175354609899276
impact,0.004401858462465856,0.010311888020957031,0.005910029558491175,0.009653087767375973
agentic,0.0,0.005637784496591354,0.005637784496591354,0.008146387848095774
agent,9.814291170160872e-05,0.005712087541882737,0.005613944630181128,0.008960585914419894
high,0.010347619743456523,0.01577891611953219,0.0054312963760756675,0.00621240020537208
real,0.003013894949561072,0.007917165048932839,0.004903270099371767,0.00913514995299812
including,0.02161803768199229,0.026372213562196083,0.004754175880203795,0.0065674650424800834
building,0.009448102365385761,0.014088661337170114,0.004640558971784352,0.010918170925267744
agents,0.00014371693372130587,0.0047548370327546,0.004611120099033294,0.007196759675368604
world,0.001896175943602555,0.006305886266043833,0.0044097103224412775,0.014678333547408079
