company_name_canonical,period2,n,score_mean,tell_density_mean
Goliath Partners,2026,10,-0.3780835123152335,0.0
DataAnnotation,2026,24,-0.32155887514467324,0.07844461789306231
"Onyx Point, LLC.",2026,10,-0.2491501856800637,0.08625646923519263
Jack & Jill,2026,19,-0.12263958710692108,0.5206570320292441
Zoom,2026,11,-0.10102463413716958,0.08334163954521728
Cadence,2026,17,-0.10092155934227348,0.09369879220474449
General Dynamics Mission Systems,2026,16,-0.04662232754352073,0.08318525242564051
Erias Ventures,2026,14,-0.03020160009513611,0.03242331885091758
Oracle,2026,18,-0.010115824103777468,0.2883162391477552
Randstad Digital Americas,2026,26,-0.007374437852642041,0.4540719592115092
Lensa,2026,27,0.0018845343837885272,0.21111577631160472
ByteDance,2026,48,0.008020258530630358,0.331296605673927
Experis,2026,15,0.015243536990158952,0.41522703114547677
PNC,2026,31,0.019887172608557598,0.09752595209408214
CyberCoders,2026,51,0.027841369789164044,0.3938877541985968
Booz Allen Hamilton,2026,94,0.03184083572974663,0.2733358218072609
Verkada,2026,12,0.035492180128804215,0.18210875298711157
Mercor,2026,29,0.03593877338285571,0.18786269804796737
Jobot,2026,31,0.0505968566757282,0.4990588173332226
TikTok USDS Joint Venture,2026,28,0.052824315324348316,0.3567149831813596
