comparison_group,seniority_final,rows,denominator,share
arshkon_associate,unknown,181,263.0,0.688212927756654
arshkon_associate,mid-senior,57,263.0,0.21673003802281368
arshkon_associate,entry,21,263.0,0.07984790874524715
arshkon_associate,associate,4,263.0,0.015209125475285171
arshkon_entry,unknown,618,738.0,0.8373983739837398
arshkon_entry,mid-senior,65,738.0,0.08807588075880758
arshkon_entry,entry,53,738.0,0.07181571815718157
arshkon_entry,associate,2,738.0,0.0027100271002710027
arshkon_mid_senior,mid-senior,1393,2231.0,0.6243836844464365
arshkon_mid_senior,unknown,809,2231.0,0.36261766024204395
arshkon_mid_senior,entry,21,2231.0,0.00941281936351412
arshkon_mid_senior,director,5,2231.0,0.0022411474675033617
arshkon_mid_senior,associate,3,2231.0,0.001344688480502017
asaniczka_associate,unknown,1122,1820.0,0.6164835164835165
asaniczka_associate,mid-senior,610,1820.0,0.33516483516483514
asaniczka_associate,entry,70,1820.0,0.038461538461538464
asaniczka_associate,associate,15,1820.0,0.008241758241758242
asaniczka_associate,director,3,1820.0,0.0016483516483516484
