period,seniority_final_source,n,share
2024-01,llm,5190,0.2862816481879861
2024-01,title_keyword,10654,0.5876772022726019
2024-01,unknown,2285,0.12604114953941198
2024-04,llm,2917,0.6218290343210403
2024-04,title_keyword,1771,0.3775314431890855
2024-04,unknown,3,0.0006395224898742272
2026-03,llm,3474,0.17565859331546746
2026-03,title_keyword,8716,0.4407139606613743
2026-03,unknown,7587,0.38362744602315824
2026-04,llm,3444,0.1631918119787718
2026-04,title_keyword,9081,0.4302975739196361
2026-04,title_manager,1,4.7384382107657316e-05
2026-04,unknown,8578,0.40646322971948445
