source,company_name_canonical,n
kaggle_arshkon,Apex Systems,52
kaggle_arshkon,Capital One,52
kaggle_arshkon,Motion Recruitment,40
kaggle_arshkon,Tata Consultancy Services,39
kaggle_arshkon,Amazon,31
kaggle_arshkon,Open Systems Technologies,31
kaggle_arshkon,Fidelity Investments,29
kaggle_arshkon,Compunnel Inc.,26
kaggle_arshkon,Experis,26
kaggle_arshkon,ICE,26
kaggle_arshkon,Akkodis,25
kaggle_arshkon,CodeMonk,25
kaggle_arshkon,Insight Global,25
kaggle_arshkon,Actalent,23
kaggle_arshkon,TEKsystems,23
kaggle_arshkon,Deloitte,22
kaggle_arshkon,Robert Half,20
kaggle_arshkon,Microsoft,19
kaggle_arshkon,Oracle,19
kaggle_arshkon,Dice,18
kaggle_arshkon,Discover Financial Services,16
kaggle_arshkon,Piper Companies,16
kaggle_arshkon,Wells Fargo,16
kaggle_arshkon,Google,15
kaggle_arshkon,Synechron,15
kaggle_arshkon,Talent Groups,15
kaggle_arshkon,maven,15
kaggle_arshkon,"BAE Systems, Inc.",14
kaggle_arshkon,Centraprise,14
kaggle_arshkon,ClearanceJobs,14
kaggle_arshkon,Collabera,14
kaggle_arshkon,Ford Motor Company,14
kaggle_arshkon,General Motors,14
kaggle_arshkon,Northrop Grumman,14
kaggle_arshkon,TikTok,14
kaggle_arshkon,Diverse Lynx,13
kaggle_arshkon,Leidos,13
kaggle_arshkon,Palo Alto Networks,13
kaggle_arshkon,Photon,13
kaggle_arshkon,Amazon Web Services (AWS),12
kaggle_arshkon,Avesta Computer Services,12
kaggle_arshkon,CNA Search,12
kaggle_arshkon,Eliassen Group,12
kaggle_arshkon,JPMorgan Chase & Co.,12
kaggle_arshkon,Jobot,12
kaggle_arshkon,myGwork - LGBTQ+ Business Community,12
kaggle_arshkon,EPITEC,11
kaggle_arshkon,Honeywell,11
kaggle_arshkon,Selby Jennings,11
kaggle_arshkon,CACI International Inc,10
kaggle_asaniczka,ClearanceJobs,898
kaggle_asaniczka,Capital One,658
kaggle_asaniczka,Northrop Grumman,295
kaggle_asaniczka,Jobs for Humanity,185
kaggle_asaniczka,Walmart,170
kaggle_asaniczka,ClickJobs.io,165
kaggle_asaniczka,Raytheon,143
kaggle_asaniczka,Amazon,142
kaggle_asaniczka,Syrinx Consulting,133
kaggle_asaniczka,"Syms Strategic Group, LLC (SSG)",118
kaggle_asaniczka,Latitude Inc,108
kaggle_asaniczka,BLUE ORIGIN,99
kaggle_asaniczka,Kforce Inc,99
kaggle_asaniczka,Amazon Web Services (AWS),97
kaggle_asaniczka,CyberCoders,95
kaggle_asaniczka,Intellectt Inc,86
kaggle_asaniczka,Lockheed Martin,86
kaggle_asaniczka,Palo Alto Networks,86
kaggle_asaniczka,Motion Recruitment,84
kaggle_asaniczka,Discover Financial Services,80
kaggle_asaniczka,Diverse Lynx,79
kaggle_asaniczka,Tesla,75
kaggle_asaniczka,Steneral Consulting,71
kaggle_asaniczka,Energy Jobline,69
kaggle_asaniczka,L3Harris Technologies,69
kaggle_asaniczka,Collins Aerospace,68
kaggle_asaniczka,"Conch Technologies, Inc",68
kaggle_asaniczka,Accroid Inc,65
kaggle_asaniczka,"Mission Technologies, a division of HII",64
kaggle_asaniczka,KPMG US,63
kaggle_asaniczka,NR Consulting,62
kaggle_asaniczka,iTech Solutions,59
kaggle_asaniczka,Jobot,58
kaggle_asaniczka,Dice,57
kaggle_asaniczka,Leidos,56
kaggle_asaniczka,TekIntegral,56
kaggle_asaniczka,NVIDIA,55
kaggle_asaniczka,Abbott,54
kaggle_asaniczka,FIS,54
kaggle_asaniczka,Belay Technologies,52
kaggle_asaniczka,Extend Information Systems Inc.,52
kaggle_asaniczka,Bowman Williams,51
kaggle_asaniczka,Reperio Human Capital,49
kaggle_asaniczka,Stellent IT,49
kaggle_asaniczka,Anduril Industries,48
kaggle_asaniczka,Zortech Solutions,47
kaggle_asaniczka,The Walt Disney Company,46
kaggle_asaniczka,Keylent Inc,44
kaggle_asaniczka,Adame Services LLC,43
kaggle_asaniczka,CACI International Inc,42
scraped,Jobs via Dice,1711
scraped,Google,757
scraped,JPMorgan Chase & Co.,657
scraped,Microsoft,386
scraped,Amazon Web Services (AWS),339
scraped,Amazon,335
scraped,Booz Allen Hamilton,303
scraped,Wells Fargo,288
scraped,Anduril Industries,255
scraped,Leidos,245
scraped,Actalent,238
scraped,Walmart,233
scraped,Haystack,232
scraped,Motion Recruitment,229
scraped,Capital One,223
scraped,hackajob,216
scraped,NVIDIA,188
scraped,Uber,187
scraped,General Motors,182
scraped,Peraton,181
scraped,Apex Systems,173
scraped,Lockheed Martin,170
scraped,Qualcomm,164
scraped,Kforce Inc,153
scraped,SpaceX,152
scraped,TikTok,150
scraped,PayPal,137
scraped,Akkodis Group Nordics,134
scraped,Tata Consultancy Services,131
scraped,"BAE Systems, Inc.",128
scraped,Adobe,127
scraped,TalentAlly,126
scraped,Capgemini,121
scraped,Insight Global,121
scraped,OpenAI,119
scraped,ByteDance,118
scraped,Raytheon,115
scraped,TEKsystems,110
scraped,PNC,108
scraped,CyberCoders,107
scraped,myGwork - LGBTQ+ Business Community,107
scraped,Northrop Grumman,103
scraped,Randstad Digital Americas,100
scraped,Piper Companies,99
scraped,Alignerr,96
scraped,TikTok USDS Joint Venture,94
scraped,Jobot,92
scraped,Intuit,90
scraped,NTT DATA North America,88
scraped,BLUE ORIGIN,86
