title_normalized,source,seniority_native_filled,n,denominator_title_source,share
ai engineer,arshkon,entry,1,6,0.16666666666666666
ai engineer,arshkon,mid-senior,4,6,0.6666666666666666
ai engineer,arshkon,null,1,6,0.16666666666666666
ai engineer,scraped_linkedin,associate,11,392,0.02806122448979592
ai engineer,scraped_linkedin,entry,55,392,0.14030612244897958
ai engineer,scraped_linkedin,intern,1,392,0.002551020408163265
ai engineer,scraped_linkedin,mid-senior,299,392,0.7627551020408163
ai engineer,scraped_linkedin,null,26,392,0.0663265306122449
android developer,arshkon,entry,1,21,0.047619047619047616
android developer,arshkon,mid-senior,9,21,0.42857142857142855
android developer,arshkon,null,11,21,0.5238095238095238
android developer,scraped_linkedin,associate,11,137,0.08029197080291971
android developer,scraped_linkedin,director,1,137,0.0072992700729927005
android developer,scraped_linkedin,entry,19,137,0.1386861313868613
android developer,scraped_linkedin,executive,1,137,0.0072992700729927005
android developer,scraped_linkedin,mid-senior,102,137,0.7445255474452555
android developer,scraped_linkedin,null,3,137,0.021897810218978103
cloud engineer,arshkon,associate,3,35,0.08571428571428572
cloud engineer,arshkon,entry,6,35,0.17142857142857143
cloud engineer,arshkon,mid-senior,19,35,0.5428571428571428
cloud engineer,arshkon,null,7,35,0.2
cloud engineer,scraped_linkedin,associate,11,270,0.040740740740740744
cloud engineer,scraped_linkedin,director,1,270,0.003703703703703704
cloud engineer,scraped_linkedin,entry,22,270,0.08148148148148149
cloud engineer,scraped_linkedin,mid-senior,211,270,0.7814814814814814
cloud engineer,scraped_linkedin,null,25,270,0.09259259259259259
data engineer,arshkon,associate,8,155,0.05161290322580645
data engineer,arshkon,entry,24,155,0.15483870967741936
data engineer,arshkon,executive,1,155,0.0064516129032258064
data engineer,arshkon,mid-senior,82,155,0.5290322580645161
data engineer,arshkon,null,40,155,0.25806451612903225
data engineer,scraped_linkedin,associate,65,1323,0.0491307634164777
data engineer,scraped_linkedin,director,12,1323,0.009070294784580499
data engineer,scraped_linkedin,entry,152,1323,0.11489040060468632
data engineer,scraped_linkedin,intern,1,1323,0.0007558578987150416
data engineer,scraped_linkedin,mid-senior,963,1323,0.7278911564625851
data engineer,scraped_linkedin,null,130,1323,0.0982615268329554
developer,arshkon,associate,2,43,0.046511627906976744
developer,arshkon,entry,23,43,0.5348837209302325
developer,arshkon,mid-senior,8,43,0.18604651162790697
developer,arshkon,null,10,43,0.23255813953488372
developer,scraped_linkedin,associate,1,116,0.008620689655172414
developer,scraped_linkedin,director,1,116,0.008620689655172414
developer,scraped_linkedin,entry,8,116,0.06896551724137931
developer,scraped_linkedin,mid-senior,85,116,0.7327586206896551
developer,scraped_linkedin,null,21,116,0.1810344827586207
devops engineer,arshkon,associate,1,88,0.011363636363636364
devops engineer,arshkon,entry,9,88,0.10227272727272728
devops engineer,arshkon,mid-senior,53,88,0.6022727272727273
devops engineer,arshkon,null,25,88,0.2840909090909091
devops engineer,scraped_linkedin,associate,24,656,0.036585365853658534
devops engineer,scraped_linkedin,director,5,656,0.007621951219512195
devops engineer,scraped_linkedin,entry,79,656,0.12042682926829268
devops engineer,scraped_linkedin,executive,1,656,0.001524390243902439
devops engineer,scraped_linkedin,mid-senior,488,656,0.7439024390243902
devops engineer,scraped_linkedin,null,59,656,0.0899390243902439
embedded software engineer,arshkon,associate,3,41,0.07317073170731707
embedded software engineer,arshkon,entry,7,41,0.17073170731707318
embedded software engineer,arshkon,mid-senior,21,41,0.5121951219512195
embedded software engineer,arshkon,null,10,41,0.24390243902439024
embedded software engineer,scraped_linkedin,associate,20,318,0.06289308176100629
embedded software engineer,scraped_linkedin,entry,45,318,0.14150943396226415
embedded software engineer,scraped_linkedin,intern,1,318,0.0031446540880503146
embedded software engineer,scraped_linkedin,mid-senior,234,318,0.7358490566037735
embedded software engineer,scraped_linkedin,null,18,318,0.05660377358490566
full stack developer,arshkon,associate,1,24,0.041666666666666664
full stack developer,arshkon,entry,6,24,0.25
full stack developer,arshkon,mid-senior,10,24,0.4166666666666667
full stack developer,arshkon,null,7,24,0.2916666666666667
full stack developer,scraped_linkedin,associate,10,259,0.03861003861003861
full stack developer,scraped_linkedin,director,1,259,0.003861003861003861
full stack developer,scraped_linkedin,entry,32,259,0.12355212355212356
full stack developer,scraped_linkedin,mid-senior,185,259,0.7142857142857143
full stack developer,scraped_linkedin,null,31,259,0.11969111969111969
full stack engineer,arshkon,associate,6,63,0.09523809523809523
full stack engineer,arshkon,entry,2,63,0.031746031746031744
full stack engineer,arshkon,mid-senior,31,63,0.49206349206349204
full stack engineer,arshkon,null,24,63,0.38095238095238093
full stack engineer,scraped_linkedin,associate,17,407,0.04176904176904177
full stack engineer,scraped_linkedin,entry,43,407,0.10565110565110565
full stack engineer,scraped_linkedin,executive,1,407,0.002457002457002457
full stack engineer,scraped_linkedin,mid-senior,321,407,0.7886977886977887
full stack engineer,scraped_linkedin,null,25,407,0.06142506142506143
java developer,arshkon,associate,4,77,0.05194805194805195
java developer,arshkon,entry,18,77,0.23376623376623376
java developer,arshkon,mid-senior,24,77,0.3116883116883117
java developer,arshkon,null,31,77,0.4025974025974026
java developer,scraped_linkedin,associate,5,177,0.02824858757062147
java developer,scraped_linkedin,entry,37,177,0.20903954802259886
java developer,scraped_linkedin,executive,1,177,0.005649717514124294
java developer,scraped_linkedin,mid-senior,129,177,0.7288135593220338
java developer,scraped_linkedin,null,5,177,0.02824858757062147
java software engineer,arshkon,entry,3,27,0.1111111111111111
java software engineer,arshkon,mid-senior,13,27,0.48148148148148145
java software engineer,arshkon,null,11,27,0.4074074074074074
java software engineer,scraped_linkedin,associate,9,146,0.06164383561643835
java software engineer,scraped_linkedin,director,2,146,0.0136986301369863
java software engineer,scraped_linkedin,entry,13,146,0.08904109589041095
java software engineer,scraped_linkedin,mid-senior,109,146,0.7465753424657534
java software engineer,scraped_linkedin,null,13,146,0.08904109589041095
machine learning engineer,arshkon,entry,2,48,0.041666666666666664
machine learning engineer,arshkon,mid-senior,31,48,0.6458333333333334
machine learning engineer,arshkon,null,15,48,0.3125
machine learning engineer,scraped_linkedin,associate,20,441,0.045351473922902494
machine learning engineer,scraped_linkedin,director,4,441,0.009070294784580499
machine learning engineer,scraped_linkedin,entry,39,441,0.08843537414965986
machine learning engineer,scraped_linkedin,executive,1,441,0.0022675736961451248
machine learning engineer,scraped_linkedin,mid-senior,315,441,0.7142857142857143
machine learning engineer,scraped_linkedin,null,62,441,0.14058956916099774
quality assurance engineer,arshkon,associate,2,23,0.08695652173913043
quality assurance engineer,arshkon,entry,6,23,0.2608695652173913
quality assurance engineer,arshkon,mid-senior,9,23,0.391304347826087
quality assurance engineer,arshkon,null,6,23,0.2608695652173913
quality assurance engineer,scraped_linkedin,associate,11,149,0.0738255033557047
quality assurance engineer,scraped_linkedin,entry,20,149,0.1342281879194631
quality assurance engineer,scraped_linkedin,mid-senior,104,149,0.697986577181208
quality assurance engineer,scraped_linkedin,null,14,149,0.09395973154362416
site reliability engineer,arshkon,associate,3,51,0.058823529411764705
site reliability engineer,arshkon,entry,5,51,0.09803921568627451
site reliability engineer,arshkon,mid-senior,27,51,0.5294117647058824
site reliability engineer,arshkon,null,16,51,0.3137254901960784
site reliability engineer,scraped_linkedin,associate,14,325,0.043076923076923075
site reliability engineer,scraped_linkedin,director,1,325,0.003076923076923077
site reliability engineer,scraped_linkedin,entry,18,325,0.055384615384615386
site reliability engineer,scraped_linkedin,mid-senior,240,325,0.7384615384615385
site reliability engineer,scraped_linkedin,null,52,325,0.16
software developer,arshkon,associate,2,39,0.05128205128205128
software developer,arshkon,director,1,39,0.02564102564102564
software developer,arshkon,entry,12,39,0.3076923076923077
software developer,arshkon,mid-senior,17,39,0.4358974358974359
software developer,arshkon,null,7,39,0.1794871794871795
software developer,scraped_linkedin,associate,13,272,0.04779411764705882
software developer,scraped_linkedin,entry,68,272,0.25
software developer,scraped_linkedin,mid-senior,156,272,0.5735294117647058
software developer,scraped_linkedin,null,35,272,0.12867647058823528
software development engineer,arshkon,associate,1,35,0.02857142857142857
software development engineer,arshkon,entry,8,35,0.22857142857142856
software development engineer,arshkon,mid-senior,20,35,0.5714285714285714
software development engineer,arshkon,null,6,35,0.17142857142857143
software development engineer,scraped_linkedin,associate,7,241,0.029045643153526972
software development engineer,scraped_linkedin,director,1,241,0.004149377593360996
software development engineer,scraped_linkedin,entry,33,241,0.13692946058091288
software development engineer,scraped_linkedin,mid-senior,177,241,0.7344398340248963
software development engineer,scraped_linkedin,null,23,241,0.0954356846473029
software engineer,arshkon,associate,18,419,0.04295942720763723
software engineer,arshkon,director,2,419,0.00477326968973747
software engineer,arshkon,entry,52,419,0.12410501193317422
software engineer,arshkon,mid-senior,244,419,0.5823389021479713
software engineer,arshkon,null,103,419,0.2458233890214797
software engineer,scraped_linkedin,associate,155,3974,0.03900352289884248
software engineer,scraped_linkedin,director,31,3974,0.007800704579768495
software engineer,scraped_linkedin,entry,521,3974,0.1311021640664318
software engineer,scraped_linkedin,executive,4,3974,0.0010065425264217413
software engineer,scraped_linkedin,intern,10,3974,0.0025163563160543532
software engineer,scraped_linkedin,mid-senior,2600,3974,0.6542526421741318
software engineer,scraped_linkedin,null,653,3974,0.16431806743834926
system engineer,arshkon,associate,11,48,0.22916666666666666
system engineer,arshkon,director,1,48,0.020833333333333332
system engineer,arshkon,entry,3,48,0.0625
system engineer,arshkon,mid-senior,27,48,0.5625
system engineer,arshkon,null,6,48,0.125
system engineer,scraped_linkedin,associate,12,162,0.07407407407407407
system engineer,scraped_linkedin,director,2,162,0.012345679012345678
system engineer,scraped_linkedin,entry,9,162,0.05555555555555555
system engineer,scraped_linkedin,mid-senior,131,162,0.808641975308642
system engineer,scraped_linkedin,null,8,162,0.04938271604938271
systems engineer,arshkon,associate,2,54,0.037037037037037035
systems engineer,arshkon,entry,19,54,0.35185185185185186
systems engineer,arshkon,mid-senior,27,54,0.5
systems engineer,arshkon,null,6,54,0.1111111111111111
systems engineer,scraped_linkedin,associate,9,230,0.0391304347826087
systems engineer,scraped_linkedin,entry,29,230,0.12608695652173912
systems engineer,scraped_linkedin,mid-senior,158,230,0.6869565217391305
systems engineer,scraped_linkedin,null,34,230,0.14782608695652175
test engineer,arshkon,associate,6,34,0.17647058823529413
test engineer,arshkon,entry,10,34,0.29411764705882354
test engineer,arshkon,mid-senior,11,34,0.3235294117647059
test engineer,arshkon,null,7,34,0.20588235294117646
test engineer,scraped_linkedin,associate,25,323,0.07739938080495357
test engineer,scraped_linkedin,director,1,323,0.0030959752321981426
test engineer,scraped_linkedin,entry,82,323,0.25386996904024767
test engineer,scraped_linkedin,intern,1,323,0.0030959752321981426
test engineer,scraped_linkedin,mid-senior,185,323,0.5727554179566563
test engineer,scraped_linkedin,null,29,323,0.08978328173374613
