rank,source_key,company_name_canonical,postings,known_seniority_n,yoe_known_n,j1_entry_n,j2_entry_associate_n,j3_yoe_le2_n,j4_yoe_le3_n,j1_share_all,j2_share_all,j1_share_known_seniority,j2_share_known_seniority,j3_share_yoe_known,j4_share_yoe_known,max_junior_share,max_junior_variant,any_aggregator,aggregator_posting_share,manual_category,top20_manual_reviewed
1,kaggle_asaniczka,Five Cubes,24,24,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,J3,false,0.0,bulk-posting consulting,true
2,scraped_linkedin,AaraTechnologies Inc,19,5,19,5,5,19,19,0.2631578947368421,0.2631578947368421,1.0,1.0,1.0,1.0,1.0,J3,true,1.0,bulk-posting consulting,true
3,scraped_linkedin,SGS Consulting,18,1,6,0,0,5,6,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,J4,true,0.5,bulk-posting consulting,true
4,scraped_linkedin,SynergisticIT,17,17,0,17,17,0,0,1.0,1.0,1.0,1.0,,,1.0,J1,false,0.0,bulk-posting consulting,true
5,kaggle_asaniczka,VolunteerMatch,15,2,1,1,1,1,1,0.06666666666666667,0.06666666666666667,0.5,0.5,1.0,1.0,1.0,J3,false,0.0,direct employer,true
6,scraped_linkedin,Guidehouse,14,2,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,J3,false,0.0,bulk-posting consulting,true
7,scraped_linkedin,24-MAG,13,0,3,0,0,2,3,0.0,0.0,,,0.6666666666666666,1.0,1.0,J4,false,0.0,direct employer,true
8,scraped_linkedin,Mastercard,13,12,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,J4,false,0.0,direct employer,true
9,scraped_linkedin,AARATECH,12,0,12,0,0,11,12,0.0,0.0,,,0.9166666666666666,1.0,1.0,J4,false,0.0,bulk-posting consulting,true
10,scraped_linkedin,ImpetusIT,12,0,4,0,0,3,4,0.0,0.0,,,0.75,1.0,1.0,J4,false,0.0,bulk-posting consulting,true
11,scraped_linkedin,Baseten,11,0,2,0,0,0,2,0.0,0.0,,,0.0,1.0,1.0,J4,false,0.0,direct employer,true
12,scraped_linkedin,Neuralink,11,5,1,5,5,1,1,0.45454545454545453,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,J3,false,0.0,direct employer,true
13,scraped_linkedin,Radley James,10,1,5,0,0,1,5,0.0,0.0,0.0,0.0,0.2,1.0,1.0,J4,false,0.0,staffing firm,true
14,scraped_linkedin,Skyrocket Ventures,10,4,3,0,0,0,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,J4,false,0.0,staffing firm,true
15,scraped_linkedin,Tech Consulting,10,6,6,6,6,6,6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,J3,false,0.0,bulk-posting consulting,true
16,scraped_linkedin,Emonics LLC,9,9,0,9,9,0,0,1.0,1.0,1.0,1.0,,,1.0,J1,false,0.0,bulk-posting consulting,true
17,scraped_linkedin,"Wyetech, LLC",9,0,1,0,0,1,1,0.0,0.0,,,1.0,1.0,1.0,J3,false,0.0,direct employer,true
18,scraped_linkedin,edkey,9,1,3,1,1,3,3,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,J3,false,0.0,direct employer,true
19,scraped_linkedin,Brain Corp,8,3,5,1,1,2,5,0.125,0.125,0.3333333333333333,0.3333333333333333,0.4,1.0,1.0,J4,false,0.0,direct employer,true
20,scraped_linkedin,INNOVIT USA INC,8,0,5,0,0,2,5,0.0,0.0,,,0.4,1.0,1.0,J4,true,1.0,bulk-posting consulting,true
21,scraped_indeed,KLA,8,2,5,0,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,J4,false,0.0,direct employer,false
22,kaggle_asaniczka,Lawrence Livermore National Laboratory,8,1,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,J3,false,0.0,direct employer,false
23,scraped_linkedin,Mirage,8,2,6,2,2,6,6,0.25,0.25,1.0,1.0,1.0,1.0,1.0,J3,false,0.0,direct employer,false
24,scraped_linkedin,Mondrian Alpha,8,4,4,0,0,3,4,0.0,0.0,0.0,0.0,0.75,1.0,1.0,J4,false,0.0,direct employer,false
25,scraped_linkedin,Skild AI,8,2,3,0,0,0,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,J4,false,0.0,direct employer,false
26,scraped_linkedin,TechDoQuest,8,0,1,0,0,0,1,0.0,0.0,,,0.0,1.0,1.0,J4,false,0.0,direct employer,false
27,scraped_indeed,ASRC Federal,7,2,2,0,0,1,2,0.0,0.0,0.0,0.0,0.5,1.0,1.0,J4,false,0.0,direct employer,false
