state_fips,state,area_code,state_name
01,AL,0100000,Alabama
02,AK,0200000,Alaska
04,AZ,0400000,Arizona
05,AR,0500000,Arkansas
06,CA,0600000,California
08,CO,0800000,Colorado
09,CT,0900000,Connecticut
10,DE,1000000,Delaware
11,DC,1100000,District of Columbia
12,FL,1200000,Florida
13,GA,1300000,Georgia
15,HI,1500000,Hawaii
16,ID,1600000,Idaho
17,IL,1700000,Illinois
18,IN,1800000,Indiana
19,IA,1900000,Iowa
20,KS,2000000,Kansas
21,KY,2100000,Kentucky
22,LA,2200000,Louisiana
23,ME,2300000,Maine
24,MD,2400000,Maryland
25,MA,2500000,Massachusetts
26,MI,2600000,Michigan
27,MN,2700000,Minnesota
28,MS,2800000,Mississippi
29,MO,2900000,Missouri
30,MT,3000000,Montana
31,NE,3100000,Nebraska
32,NV,3200000,Nevada
33,NH,3300000,New Hampshire
34,NJ,3400000,New Jersey
35,NM,3500000,New Mexico
36,NY,3600000,New York
37,NC,3700000,North Carolina
38,ND,3800000,North Dakota
39,OH,3900000,Ohio
40,OK,4000000,Oklahoma
41,OR,4100000,Oregon
42,PA,4200000,Pennsylvania
44,RI,4400000,Rhode Island
45,SC,4500000,South Carolina
46,SD,4600000,South Dakota
47,TN,4700000,Tennessee
48,TX,4800000,Texas
49,UT,4900000,Utah
50,VT,5000000,Vermont
51,VA,5100000,Virginia
53,WA,5300000,Washington
54,WV,5400000,West Virginia
55,WI,5500000,Wisconsin
56,WY,5600000,Wyoming
