source_group,company_industry,n,share_of_known_industry_rows
arshkon_2024,IT Services and IT Consulting,1202,0.258328
arshkon_2024,Software Development,611,0.131313
arshkon_2024,Financial Services,391,0.084032
arshkon_2024,Staffing and Recruiting,271,0.058242
arshkon_2024,Information Services,150,0.032237
arshkon_2024,Information Technology & Services,126,0.027079
arshkon_2024,Defense and Space Manufacturing,122,0.02622
arshkon_2024,"Technology, Information and Internet",106,0.022781
arshkon_2024,Banking,92,0.019772
arshkon_2024,"Technology, Information and Media",84,0.018053
arshkon_2024,Hospitals and Health Care,80,0.017193
arshkon_2024,Retail,69,0.014829
arshkon_2024,Business Consulting and Services,63,0.01354
arshkon_2024,Insurance,63,0.01354
arshkon_2024,Motor Vehicle Manufacturing,63,0.01354
arshkon_2024,Computer and Network Security,54,0.011605
arshkon_2024,"Appliances, Electrical, and Electronics Manufacturing",53,0.011391
arshkon_2024,Entertainment Providers,50,0.010746
arshkon_2024,Telecommunications,47,0.010101
arshkon_2024,Manufacturing,46,0.009886
arshkon_2024,Medical Equipment Manufacturing,41,0.008812
arshkon_2024,Semiconductor Manufacturing,39,0.008382
arshkon_2024,Accounting,34,0.007307
arshkon_2024,Pharmaceutical Manufacturing,34,0.007307
arshkon_2024,Advertising Services,29,0.006233
scraped_2026,Software Development,10618,0.259793
scraped_2026,IT Services and IT Consulting,5108,0.124979
scraped_2026,Financial Services,2929,0.071665
scraped_2026,"Technology, Information and Internet",2000,0.048934
scraped_2026,Defense and Space Manufacturing,1593,0.038976
scraped_2026,Staffing and Recruiting,1079,0.0264
scraped_2026,"Information Services and Technology, Information and Internet",754,0.018448
scraped_2026,Business Consulting and Services,725,0.017739
scraped_2026,Hospitals and Health Care,589,0.014411
scraped_2026,Semiconductor Manufacturing,560,0.013702
scraped_2026,Aviation and Aerospace Component Manufacturing,493,0.012062
scraped_2026,Retail,473,0.011573
scraped_2026,Entertainment Providers,378,0.009249
scraped_2026,Insurance,360,0.008808
scraped_2026,"Technology, Information and Media",330,0.008074
scraped_2026,Information Technology & Services,304,0.007438
scraped_2026,Internet Publishing,276,0.006753
scraped_2026,"Financial Services, Investment Management, and Banking",266,0.006508
scraped_2026,Civil Engineering,256,0.006264
scraped_2026,Research Services,247,0.006043
scraped_2026,Telecommunications,242,0.005921
scraped_2026,Medical Equipment Manufacturing,238,0.005823
scraped_2026,Computer and Network Security,236,0.005774
scraped_2026,"Appliances, Electrical, and Electronics Manufacturing",233,0.005701
scraped_2026,Motor Vehicle Manufacturing,226,0.00553
