variable,period_year,period,source_group,category,rows,share,rank_in_group
seniority_final,2024,2024-04,arshkon_2024,unknown,2424,0.5167341718183757,1
seniority_final,2024,2024-04,arshkon_2024,mid-senior,2064,0.43999147303346836,2
seniority_final,2024,2024-04,arshkon_2024,entry,175,0.03730547857599659,3
seniority_final,2024,2024-04,arshkon_2024,associate,15,0.003197612449371136,4
seniority_final,2024,2024-04,arshkon_2024,director,13,0.002771264122788318,5
seniority_final,2024,2024-01,asaniczka_2024,mid-senior,11426,0.6302609079375586,1
seniority_final,2024,2024-01,asaniczka_2024,unknown,6383,0.35208781510287385,2
seniority_final,2024,2024-01,asaniczka_2024,entry,204,0.01125268906172431,3
seniority_final,2024,2024-01,asaniczka_2024,director,92,0.0050747421258756685,4
seniority_final,2024,2024-01,asaniczka_2024,associate,24,0.0013238457719675658,5
seniority_final,2024,2024-01,pooled_2024,mid-senior,11426,0.6302609079375586,1
seniority_final,2024,2024-01,pooled_2024,unknown,6383,0.35208781510287385,2
seniority_final,2024,2024-01,pooled_2024,entry,204,0.01125268906172431,3
seniority_final,2024,2024-01,pooled_2024,director,92,0.0050747421258756685,4
seniority_final,2024,2024-01,pooled_2024,associate,24,0.0013238457719675658,5
seniority_final,2024,2024-04,pooled_2024,unknown,2424,0.5167341718183757,1
seniority_final,2024,2024-04,pooled_2024,mid-senior,2064,0.43999147303346836,2
seniority_final,2024,2024-04,pooled_2024,entry,175,0.03730547857599659,3
seniority_final,2024,2024-04,pooled_2024,associate,15,0.003197612449371136,4
seniority_final,2024,2024-04,pooled_2024,director,13,0.002771264122788318,5
seniority_final,2026,2026-03,scraped_2026,unknown,10425,0.5271274713050513,1
seniority_final,2026,2026-03,scraped_2026,mid-senior,8454,0.4274662486727006,2
seniority_final,2026,2026-03,scraped_2026,entry,721,0.036456489861960865,3
seniority_final,2026,2026-03,scraped_2026,director,150,0.007584567932446782,4
seniority_final,2026,2026-03,scraped_2026,associate,27,0.0013652222278404207,5
seniority_final,2026,2026-04,scraped_2026,unknown,11416,0.540940106141016,1
seniority_final,2026,2026-04,scraped_2026,mid-senior,8964,0.4247536012130402,2
seniority_final,2026,2026-04,scraped_2026,entry,554,0.02625094768764215,3
seniority_final,2026,2026-04,scraped_2026,director,145,0.006870735405610311,4
seniority_final,2026,2026-04,scraped_2026,associate,25,0.0011846095526914329,5
seniority_3level,2024,2024-04,arshkon_2024,unknown,2424,0.5167341718183757,1
seniority_3level,2024,2024-04,arshkon_2024,senior,2077,0.44276273715625664,2
seniority_3level,2024,2024-04,arshkon_2024,junior,175,0.03730547857599659,3
seniority_3level,2024,2024-04,arshkon_2024,mid,15,0.003197612449371136,4
seniority_3level,2024,2024-01,asaniczka_2024,senior,11518,0.6353356500634343,1
seniority_3level,2024,2024-01,asaniczka_2024,unknown,6383,0.35208781510287385,2
seniority_3level,2024,2024-01,asaniczka_2024,junior,204,0.01125268906172431,3
seniority_3level,2024,2024-01,asaniczka_2024,mid,24,0.0013238457719675658,4
