metric,arshkon_2024,asaniczka_2024,pooled_2024,scraped_2026,within_2024_effect,arshkon_to_scraped_effect,pooled_to_scraped_effect,abs_pooled_to_scraped_effect,calibration_ratio_abs,arshkon_2024_denominator,asaniczka_2024_denominator,pooled_2024_denominator,scraped_2026_denominator
description_length_median,2974.0,3733.0,3593.5,4862.0,759.0,1888.0,1268.5,1268.5,2.487483530961792,4691.0,18129.0,22820.0,40881.0
description_length_mean,3305.6418674056704,3881.4461911853937,3763.080806310254,4912.017049485091,575.8043237797233,1606.3751820794205,1148.9362431748368,1148.9362431748368,2.7897935387750703,4691.0,18129.0,22820.0,40881.0
tech_count_mean,5.306544446813046,5.170941585305312,5.198816827344435,7.261221594383699,-0.13560286150773404,1.9546771475706528,2.062404767039264,2.062404767039264,14.414719024636282,4691.0,18129.0,22820.0,40881.0
llm_text_labeled_share,0.9991473033468343,0.9397650173754758,0.9519719544259422,0.30659719674176267,-0.05938228597135853,-0.6925501066050717,-0.6453747576841795,0.6453747576841795,11.66257066861833,4691.0,18129.0,22820.0,40881.0
yoe_mean_known,5.221916867055994,5.797880629577684,5.691394093362972,5.047786519705594,0.57596376252169,-0.1741303473503999,-0.6436075736573779,0.6436075736573779,0.3023286510040506,4691.0,18129.0,22820.0,40881.0
seniority_source=unknown,,0.12604114953941198,0.10026292725679228,0.39541596340598323,,,0.295153036149191,0.295153036149191,,,18129.0,22820.0,40881.0
ai_keyword_prevalence,0.048177360903858456,0.0347509515141486,0.037510955302366346,0.23695604314962943,-0.013426409389709855,0.18877868224577096,0.1994450878472631,0.1994450878472631,14.060250716803926,4691.0,18129.0,22820.0,40881.0
seniority_source=llm,0.6218290343210403,0.2862816481879861,0.35525854513584576,0.16922286636823952,-0.3355473861330542,-0.4526061679528008,-0.18603567876760624,0.18603567876760624,1.348859167608981,4691.0,18129.0,22820.0,40881.0
tech=ci_cd,0.19675975271797058,0.1429753433724971,0.15403155127081508,0.33592622489665125,-0.05378440934547349,0.13916647217868067,0.18189467362583617,0.18189467362583617,2.5874872267309366,4691.0,18129.0,22820.0,40881.0
tech=python,0.314218716691537,0.3258315406255171,0.32344434706397895,0.4937256916415939,0.01161282393398011,0.1795069749500569,0.17028134457761496,0.17028134457761496,15.45765060854873,4691.0,18129.0,22820.0,40881.0
seniority_final=mid-senior,0.43999147303346836,0.6302609079375586,0.591148115687993,0.42606589858369415,0.19026943490409026,-0.013925574449774214,-0.16508221710429882,0.16508221710429882,0.07318870977250615,4691.0,18129.0,22820.0,40881.0
seniority_unknown_share,0.5167341718183757,0.35208781510287385,0.3859333917616126,0.5342579682493089,-0.16464635671550182,0.01752379643093327,0.1483245764876963,0.1483245764876963,0.10643294379852722,4691.0,18129.0,22820.0,40881.0
seniority_final=unknown,0.5167341718183757,0.35208781510287385,0.3859333917616126,0.5342579682493089,-0.16464635671550182,0.01752379643093327,0.1483245764876963,0.1483245764876963,0.10643294379852722,4691.0,18129.0,22820.0,40881.0
tech=api_design,0.14986143679386058,0.1253792266534282,0.1304119193689746,0.27396590102981827,-0.024482210140432364,0.1241044642359577,0.14355398166084368,0.14355398166084368,5.069169144618982,4691.0,18129.0,22820.0,40881.0
tech=observability,0.02600724792155191,0.016768713111589166,0.01866783523225241,0.138793082360999,-0.009238534809962742,0.11278583443944709,0.12012524712874659,0.12012524712874659,12.208194996226023,4691.0,18129.0,22820.0,40881.0
tech=llm,0.015561713920272863,0.008439516796293232,0.009903593339176162,0.129571194442406,-0.007122197123979631,0.11400948052213314,0.11966760110322984,0.11966760110322984,16.007627777989484,4691.0,18129.0,22820.0,40881.0
seniority_source=title_keyword,0.3775314431890855,0.5876772022726019,0.5444785276073619,0.43533670898461385,0.2101457590835164,0.05780526579552836,-0.10914181862274808,0.10914181862274808,0.2750722453197607,4691.0,18129.0,22820.0,40881.0
tech=kubernetes,0.13493924536346194,0.12879916156434443,0.13006134969325153,0.22002886426457277,-0.006140083799117513,0.08508961890111083,0.08996751457132124,0.08996751457132124,13.858054985070462,4691.0,18129.0,22820.0,40881.0
tech=aws,0.2692389682370497,0.25472999062275914,0.2577125328659071,0.34512365157408087,-0.014508977614290541,0.07588468333703119,0.08741111870817375,0.08741111870817375,5.230188187918146,4691.0,18129.0,22820.0,40881.0
tech=generative_ai,0.013216798124067362,0.007391472226818909,0.008588957055214725,0.07538954526552677,-0.005825325897248454,0.06217274714145941,0.06680058821031204,0.06680058821031204,10.672835861565481,4691.0,18129.0,22820.0,40881.0
tech=nextjs,0.024088680451929228,0.024491146781399967,0.02440841367221735,0.08923460776399794,0.0004024663294707395,0.06514592731206871,0.06482619409178059,0.06482619409178059,161.86677627849863,4691.0,18129.0,22820.0,40881.0
