definition,side,period,source,n_of_all,n_of_known,share_of_all,share_of_known,mde_arshkon_vs_scraped,mde_pooled_vs_scraped,within_2024_effect,cross_period_effect,direction
J1,junior,2024,arshkon,175.0,175.0,0.03730547857599659,0.07719453021614468,0.0174213127858958,0.0052874662413229315,-0.05982691570907844,0.03991797157741281,up
J1,junior,2024,pooled_2024,379.0,379.0,0.01660823838737949,0.027046314136872904,0.0174213127858958,0.0052874662413229315,-0.05982691570907844,0.03991797157741281,up
J1,junior,2026,scraped_2026,1275.0,1275.0,0.031188082483305204,0.06696428571428571,0.0174213127858958,0.0052874662413229315,-0.05982691570907844,0.03991797157741281,up
J1,junior,2024,asaniczka,204.0,204.0,0.01125268906172431,0.017367614507066236,0.0174213127858958,0.0052874662413229315,-0.05982691570907844,0.03991797157741281,up
J2,junior,2024,arshkon,190.0,190.0,0.04050309102536773,0.08381120423467137,0.018043276586960255,0.005532357578835814,-0.06440034096206793,0.039865934063627595,up
J2,junior,2026,scraped_2026,1327.0,1327.0,0.03246006702380079,0.0696953781512605,0.018043276586960255,0.005532357578835814,-0.06440034096206793,0.039865934063627595,up
J2,junior,2024,asaniczka,228.0,228.0,0.012576534833691875,0.01941086327260344,0.018043276586960255,0.005532357578835814,-0.06440034096206793,0.039865934063627595,up
J2,junior,2024,pooled_2024,418.0,418.0,0.01831726555652936,0.02982944408763291,0.018043276586960255,0.005532357578835814,-0.06440034096206793,0.039865934063627595,up
J3,junior,2024,arshkon,436.0,436.0,0.09294393519505435,0.14977670903469598,0.01999533226886635,0.008981337821905883,-0.046145728825875656,0.05976736047957315,up
J3,junior,2026,scraped_2026,4742.0,4742.0,0.11599520559673197,0.17192995177839818,0.01999533226886635,0.008981337821905883,-0.046145728825875656,0.05976736047957315,up
J3,junior,2024,asaniczka,1330.0,1330.0,0.0733631198632026,0.10363098020882032,0.01999533226886635,0.008981337821905883,-0.046145728825875656,0.05976736047957315,up
J3,junior,2024,pooled_2024,1766.0,1766.0,0.07738825591586328,0.11216259129882503,0.01999533226886635,0.008981337821905883,-0.046145728825875656,0.05976736047957315,up
J4,junior,2024,arshkon,907.0,907.0,0.19334896610530802,0.3115767777396084,0.025554250688009428,0.012310681214465158,-0.06784917917330016,0.08117060993325365,up
J4,junior,2026,scraped_2026,9307.0,9307.0,0.2276607715075463,0.33744244226097675,0.025554250688009428,0.012310681214465158,-0.06784917917330016,0.08117060993325365,up
J4,junior,2024,asaniczka,3128.0,3128.0,0.17254123227977275,0.24372759856630824,0.025554250688009428,0.012310681214465158,-0.06784917917330016,0.08117060993325365,up
J4,junior,2024,pooled_2024,4035.0,4035.0,0.17681858019281332,0.2562718323277231,0.025554250688009428,0.012310681214465158,-0.06784917917330016,0.08117060993325365,up
S1,senior,2024,arshkon,2077.0,2077.0,0.44276273715625664,0.9161887957653286,0.016431289068916777,0.0050752265197423485,0.06440034096206793,-0.039865934063627595,down
S1,senior,2026,scraped_2026,17713.0,17713.0,0.43328196472689023,0.9303046218487395,0.016431289068916777,0.0050752265197423485,0.06440034096206793,-0.039865934063627595,down
S1,senior,2024,asaniczka,11518.0,11518.0,0.6353356500634343,0.9805891367273966,0.016431289068916777,0.0050752265197423485,0.06440034096206793,-0.039865934063627595,down
S1,senior,2024,pooled_2024,13595.0,13595.0,0.595749342681858,0.9701705559123671,0.016431289068916777,0.0050752265197423485,0.06440034096206793,-0.039865934063627595,down
S2,senior,2024,arshkon,13.0,13.0,0.002771264122788318,0.005734450816056462,0.005654217474462875,0.0029280830404166576,0.0020980027851694866,0.008000655303868497,up
S2,senior,2026,scraped_2026,295.0,295.0,0.007216066143196106,0.015493697478991597,0.005654217474462875,0.0029280830404166576,0.0020980027851694866,0.008000655303868497,up
S2,senior,2024,asaniczka,92.0,92.0,0.0050747421258756685,0.007832453601225949,0.005654217474462875,0.0029280830404166576,0.0020980027851694866,0.008000655303868497,up
S2,senior,2024,pooled_2024,105.0,105.0,0.004601226993865031,0.0074930421751231,0.005654217474462875,0.0029280830404166576,0.0020980027851694866,0.008000655303868497,up
S3,senior,2024,arshkon,82.0,82.0,0.017480281389895543,0.017480281389895543,0.006108003203569433,0.0033331161569463627,0.002598046151612538,-0.01587507324705354,down
S3,senior,2024,asaniczka,364.0,364.0,0.02007832754150808,0.02007832754150808,0.006108003203569433,0.0033331161569463627,0.002598046151612538,-0.01587507324705354,down
S3,senior,2026,scraped_2026,150.0,150.0,0.0036691861745064944,0.0036691861745064944,0.006108003203569433,0.0033331161569463627,0.002598046151612538,-0.01587507324705354,down
S3,senior,2024,pooled_2024,446.0,446.0,0.019544259421560035,0.019544259421560035,0.006108003203569433,0.0033331161569463627,0.002598046151612538,-0.01587507324705354,down
S4,senior,2024,arshkon,1751.0,1751.0,0.3732679599232573,0.6015115080728272,0.026565561887399225,0.013260420300235443,0.06297345374733798,-0.07498060074653634,down
S4,senior,2026,scraped_2026,15938.0,15938.0,0.3898632616618967,0.5778615713715964,0.026565561887399225,0.013260420300235443,0.06297345374733798,-0.07498060074653634,down
S4,senior,2024,pooled_2024,10279.0,10279.0,0.4504382120946538,0.6528421721181328,0.026565561887399225,0.013260420300235443,0.06297345374733798,-0.07498060074653634,down
S4,senior,2024,asaniczka,8528.0,8528.0,0.47040653097247503,0.6644849618201651,0.026565561887399225,0.013260420300235443,0.06297345374733798,-0.07498060074653634,down
