component,rank,term,weight
0,1,status,0.40955887358132126
0,2,employment,0.35171040857725355
0,3,disability,0.34755376923259695
0,4,employees,0.333418054033072
0,5,position,0.3180769431594668
0,6,protected,0.315328999615064
0,7,gender,0.30717935601402946
0,8,national,0.30459978634142393
0,9,applicants,0.2921229928833213
0,10,benefits,0.28195764477197616
0,11,information,0.2800007626769098
0,12,requirements,0.27517419233488866
0,13,race,0.2708276403076238
0,14,U.S,0.2704556935201078
0,15,origin,0.2681510976823542
0,16,color,0.2676233792300676
0,17,qualified,0.2675570594454077
0,18,religion,0.26704848304415735
0,19,national origin,0.2648683154921485
0,20,sexual,0.2638841451146869
1,1,software,0.32744994838479297
1,2,applications,0.3149325685378275
1,3,using,0.3137358121480399
1,4,data,0.29688094366407225
1,5,SQL,0.2951563167575413
1,6,design,0.29146160274151356
1,7,Azure,0.2890635886744338
1,8,solutions,0.2835701332643704
1,9,technologies,0.2745981889829093
1,10,tools,0.2729128871337062
1,11,testing,0.26662015263756167
1,12,Strong,0.26543248780122686
1,13,technical,0.2588225394783537
1,14,practices,0.2584269764757496
1,15,Java,0.2530302865364151
1,16,DevOps,0.25261587718896167
1,17,knowledge,0.2507778972622474
1,18,Show,0.24959453671987303
1,19,management,0.24894436873480724
1,20,Developer,0.2479853449054075
2,1,AI,0.4886615351673033
2,2,You,0.4174628926433558
2,3,ll,0.3706346511480676
2,4,building,0.3535107407455331
2,5,You ll,0.30175084937108443
2,6,build,0.3000093958403827
2,7,What,0.29287387840577017
2,8,platform,0.28869134184757
2,9,data,0.2885065139000013
2,10,engineering,0.25692596831305065
2,11,product,0.2553655518130703
2,12,systems,0.24950846193507445
2,13,infrastructure,0.24834632662435213
2,14,role,0.24113556890722998
2,15,scale,0.23973592480945205
2,16,engineers,0.22273453481630753
2,17,workflows,0.21873441870837057
2,18,teams,0.2128401641684865
2,19,backend,0.21077277863979668
2,20,production,0.20879691093994981
3,1,Capital One,0.5310957181990004
3,2,Capital,0.4559741876771425
3,3,One,0.42040912735113334
3,4,Philippines,0.2237973333273024
3,5,capitalone.com,0.19815335536959627
3,6,Canada,0.1772424901848403
3,7,Careers,0.17368972448224348
3,8,posted,0.16982361501491908
3,9,position posted,0.16680128633104183
3,10,website,0.1591602915537657
3,11,email,0.15674942640716774
3,12,At Capital,0.15099749547280233
3,13,contact Capital,0.14759755649458317
3,14,One Recruiting,0.14759755649458317
3,15,support questions,0.1473911530555853
3,16,years experience,0.14647913575095703
3,17,For technical,0.1457927650026398
3,18,At years,0.14481076042913824
3,19,One Careers,0.14012480120686677
3,20,status,0.13786839681428423
4,1,TikTok,0.32880798085084534
4,2,inspire creativity,0.25909083625079976
4,3,creativity,0.21231052280536758
4,4,inspire,0.21188641963376373
4,5,Los Angeles,0.21171223448092347
4,6,Angeles,0.21136729422877293
4,7,Los,0.21109766185137138
4,8,mission inspire,0.20453115999697669
4,9,Fair Chance,0.19989501204329183
4,10,Chance,0.19861563472086433
4,11,Fair,0.19704438903899069
4,12,Angeles County,0.19297747094433937
4,13,County,0.19040018547121157
4,14,bring joy,0.177585291309397
4,15,creativity bring,0.17724884469902616
4,16,ByteDance,0.17655677033782646
4,17,TikTok mission,0.1700977700516672
4,18,joy,0.1650304721509367
4,19,reach,0.143285985942029
4,20,At TikTok,0.14184499605561993
5,1,Chase,0.29764728402200946
5,2,banking,0.23231085047440853
5,3,financial,0.22958270788170704
5,4,Capabilities And,0.2175442592486275
5,5,Qualifications Capabilities,0.2175442592486275
5,6,basis protected,0.21222717930868143
5,7,And Skills,0.20511435426181895
5,8,mental health,0.20187992659926363
5,9,Capabilities,0.19727812922350715
5,10,small businesses,0.19041856111494146
5,11,JPMorgan,0.1834162146332138
5,12,JPMorgan Chase,0.18177216343752847
5,13,small,0.1755682743584031
5,14,health,0.1672324357539705
5,15,businesses,0.15718567052730367
5,16,employer place,0.15714253157020458
5,17,protected attribute,0.15714253157020458
5,18,attribute including,0.15714253157020458
5,19,beliefs mental,0.1571238507565652
5,20,practices beliefs,0.1571238507565652
6,1,Google,0.2783709896390258
6,2,equity benefits,0.22291690041447249
6,3,bonus equity,0.2115790846309003
6,4,regardless,0.16652449595578794
6,5,salary,0.16467790033499727
6,6,determined,0.1629247028840441
6,7,base salary,0.15845913841318454
6,8,location,0.15581028841965286
6,9,EEO,0.1527454132839106
6,10,details listed,0.15265276311199574
6,11,reflect base,0.15264622222228888
6,12,compensation details,0.15216824962380285
6,13,role postings,0.15196606000534565
6,14,postings reflect,0.1518973626534463
6,15,note compensation,0.15149008556816634
6,16,additional factors,0.1509127577168946
6,17,salary include,0.1506471762252325
6,18,individual pay,0.1504850847674481
6,19,range individual,0.15026159806059136
6,20,determined work,0.15007377238120273
7,1,Dice,0.8689884681612272
7,2,Dice today,0.5144037260258403
7,3,Dice leading,0.5144037260258403
7,4,stage careers,0.5144037260258403
7,5,following Apply,0.5144037260258403
7,6,destination tech,0.5144037260258403
7,7,experts stage,0.5144037260258403
7,8,Apply Dice,0.5144037260258403
7,9,tech experts,0.5142311091973171
7,10,careers Our,0.5139942363178179
7,11,leading career,0.5139903021650098
7,12,career destination,0.5129864524788377
7,13,seeking following,0.5119717227303999
7,14,destination,0.4877195963900962
7,15,Our client,0.48763378368739413
7,16,stage,0.43787598081429574
7,17,careers,0.4332519166867819
7,18,experts,0.4086816715982872
7,19,Apply,0.3897743496803663
7,20,client,0.3846422509702998
