component,rank,term,weight
0,1,ll,0.8913960693402322
0,2,backend,0.6026328370841219
0,3,features,0.5821702195889432
0,4,help,0.4899969419980824
0,5,role,0.4447587278183401
0,6,looking,0.4236915927087065
0,7,ownership,0.4227801233334699
0,8,teams,0.42194436028757804
0,9,react,0.370838644182273
0,10,problems,0.35505979689733247
0,11,deliver,0.351111904024882
0,12,improve,0.34756398978779846
0,13,closely,0.34446589606671585
0,14,distributed,0.3437531961167111
0,15,customers,0.31426908691353933
0,16,end-to-end,0.31393967357604513
0,17,contribute,0.305243019260823
0,18,typescript,0.30426494667566645
0,19,user,0.3025574091554936
0,20,comfortable,0.2976675209075484
1,1,requirements,0.4149167773877418
1,2,ability,0.3837744021778889
1,3,provide,0.36570401631914623
1,4,issues,0.34534930703004996
1,5,customer,0.3299426993421979
1,6,related,0.3133486311044795
1,7,ensure,0.3047988457928324
1,8,procedures,0.2916348296664816
1,9,including,0.29157035406650506
1,10,documentation,0.2911603910924822
1,11,application,0.2839678986794604
1,12,communication,0.2822478041961356
1,13,degree,0.2631935747315306
1,14,written,0.26135064203792935
1,15,standards,0.25740870858868864
1,16,industry,0.25340942975812053
1,17,and/or,0.2529133595034959
1,18,perform,0.24152491129871875
1,19,teams,0.23936645107711588
1,20,activities,0.23629236982353133
2,1,java,0.6367314780894187
2,2,angular,0.4915490010066782
2,3,javascript,0.4826601591358516
2,4,net,0.4393446430321951
2,5,api,0.40021957044699874
2,6,react,0.3940620578177033
2,7,apis,0.3836949785331791
2,8,sql,0.3554203535122008
2,9,rest,0.35244835552164244
2,10,microservices,0.3508236303615493
2,11,boot,0.3499520601344706
2,12,application,0.34351901526662676
2,13,restful,0.3345897120615455
2,14,front-end,0.3308615169936273
2,15,frameworks,0.32044764859130914
2,16,framework,0.31437065443975665
2,17,database,0.28823586002936386
2,18,databases,0.2761432513014194
2,19,developing,0.26685490779313903
2,20,html,0.26652265840342254
3,1,aws,0.5466210460610449
3,2,ci/cd,0.5063448860511063
3,3,azure,0.48289740540960446
3,4,pipelines,0.4805355851762727
3,5,terraform,0.4621758092580942
3,6,kubernetes,0.4282587510759647
3,7,environments,0.37198805293642917
3,8,ci/cd pipelines,0.36038811093257367
3,9,deployment,0.3162885709325669
3,10,scripting,0.30902048475770344
3,11,docker,0.29097297301215
3,12,practices,0.2775786965934716
3,13,maintain,0.2720083955412952
3,14,python,0.26959638553224907
3,15,implement,0.26559261524566685
3,16,ansible,0.2547797812169788
3,17,manage,0.2529881163748915
3,18,hands-on,0.24807052517772726
3,19,iac,0.24115453995217515
3,20,gcp,0.23443972530648222
4,1,clearance,1.0003792468475263
4,2,required,0.4978651426482768
4,3,active,0.4667555072542844
4,4,obtain,0.4427890637872422
4,5,requirements,0.4092833113057219
4,6,program,0.39061056315088044
4,7,citizenship,0.38872859177359587
4,8,dod,0.38593295653230514
4,9,ts/sci,0.3751873041627179
4,10,degree,0.3738890717155501
4,11,position,0.3174422948614923
4,12,citizenship required,0.2997086731914121
4,13,clearance required,0.2817857256760712
4,14,ability obtain,0.27649087595097405
4,15,bachelor,0.26479024257328
4,16,polygraph,0.2641772827011236
4,17,bachelor degree,0.25854235959380245
4,18,requires,0.23732189007693139
4,19,programs,0.23631896169295366
4,20,discipline,0.23317837072619846
5,1,ai,1.1553312727219647
5,2,models,0.6560727726195398
5,3,pipelines,0.36885276853120025
5,4,workflows,0.36561716560354396
5,5,ai/ml,0.36472882578719756
5,6,llms,0.3438129400252739
5,7,llm,0.34340159613946025
5,8,frameworks,0.3310859819596918
5,9,rag,0.31614482428908847
5,10,python,0.3093898692112647
5,11,generative,0.28811734697173974
5,12,agent,0.2750738337173539
5,13,evaluation,0.2727278790137034
5,14,generative ai,0.26271313145810854
5,15,prompt,0.2516643347063066
5,16,pytorch,0.21903720378480457
5,17,large,0.20794550127500389
5,18,large models,0.20534128594668685
5,19,hands-on,0.2019661156020081
5,20,familiarity,0.19971526697395064
6,1,embedded,1.1188101135496578
6,2,firmware,0.48643409624190176
6,3,linux,0.45282311580575624
6,4,c/c,0.3194876467318482
6,5,drivers,0.2839549947966426
6,6,real-time,0.2828231187131186
6,7,rtos,0.28132497002169776
6,8,protocols,0.2769497413742375
6,9,embedded linux,0.2621489150091711
6,10,debugging,0.2612709620942587
6,11,spi,0.19644147156820152
6,12,developing,0.19411792417737125
6,13,i2c,0.19031573647512268
6,14,familiarity,0.1730295650815336
6,15,embedded firmware,0.17245360879103092
6,16,qualifications,0.16608295741233292
6,17,low-level,0.15991313737267887
6,18,degree,0.1594526410718108
6,19,driver,0.1582907425304388
6,20,algorithms,0.15552208085593316
7,1,aws,0.3190964966317619
7,2,qualifications,0.3154979395677032
7,3,java,0.29081206008879146
7,4,python,0.28372732653101945
7,5,scala,0.2594701723592461
7,6,qualifications bachelor,0.25915267975105855
7,7,sql,0.23829366972650906
7,8,year,0.23638418918386167
7,9,languages,0.23490030836822837
7,10,degree,0.23267423444955118
7,11,millions americans,0.22888525103468418
7,12,languages like,0.22798396953541697
7,13,americans,0.22724976553799467
7,14,typescript sql,0.22641222779072312
7,15,sql python,0.22283656366748478
7,16,internship,0.22270477425828092
7,17,azure,0.21779768625733123
7,18,javascript java,0.21363876325982945
7,19,aws qualifications,0.2111294754338954
7,20,utilize languages,0.20961313851938762
