title_key,title_display,arshkon,asaniczka,pooled_2024,scraped_2026,also_absent_from_asaniczka
drupal developer,Drupal Developer,9,5,14,0,False
devops architect,DevOps Architect,6,7,13,0,False
senior. .net developer,Sr. .Net Developer,6,9,15,0,False
java application developer,Java Application Developer,5,0,5,0,True
software development engineer aws marketplace,"Software Development Engineer, AWS Marketplace",5,0,5,0,True
senior database developer,Senior Database Developer,5,11,16,0,False
senior. java developer,Sr. Java Developer,5,24,29,0,False
data engineer aws python/ airflow/ rds,Data Engineer- AWS (Python/ Airflow/ RDS),4,0,4,0,True
python data analytics senior software engineer,Python- Data Analytics -Senior Software Engineer,4,0,4,0,True
software dev. engineer i,Software Dev. Engineer I,4,0,4,0,True
adobe developer,Adobe Developer,4,1,5,0,False
senior java architect,Senior Java Architect,4,2,6,0,False
application engineer full stack,Application Engineer (Full Stack),4,7,11,0,False
php developer,PHP Developer,4,11,15,0,False
computer vision/ machine learning engineer,Computer Vision/ Machine Learning Engineer,3,0,3,0,True
geographic information systems engineer,Geographic Information Systems Engineer,3,0,3,0,True
hp nonstop software engineer,HP Nonstop Software Engineer,3,0,3,0,True
infrastructure lead,Infrastructure Lead,3,0,3,0,True
inside sales application engineer ii,Inside Sales Application Engineer II,3,0,3,0,True
middleware engineer with devops,Middleware Engineer with DevOps,3,0,3,0,True
python perl developer,Python Perl Developer,3,0,3,0,True
senior engineer it infrastructure,Sr Engineer – IT Infrastructure,3,0,3,0,True
senior full stack lead engineer javascript typescript angular java aws,"Senior Full Stack Lead Engineer (JavaScript, TypeScript, Angular, Java, AWS)",3,0,3,0,True
senior software engineer c#/.net services,"Senior Software Engineer (C#/.NET), Services",3,0,3,0,True
senior software engineer mainframe/ sql/ etl,Senior Software Engineer-(Mainframe/ SQL/ ETL),3,0,3,0,True
software solutions architect,Software Solutions Architect,3,2,5,0,False
.net senior software engineer credit card operations,.NET Senior Software Engineer - Credit Card Operations,2,0,2,0,True
aws cloud infrastructure and devops technical sme,AWS Cloud Infrastructure and DevOps Technical SME,2,0,2,0,True
azure synapse data engineer,Azure Synapse Data Engineer,2,0,2,0,True
backend platform engineer,Backend Platform Engineer,2,0,2,0,True
c++ developer with python,C++ Developer with Python,2,0,2,0,True
credit bureau management technology lead software engineer,Credit Bureau Management Technology Lead Software Engineer,2,0,2,0,True
customer application engineer,Customer Application Engineer,2,0,2,0,True
cybersecurity data engineer,Cybersecurity Data Engineer,2,0,2,0,True
data engineer with ocr expertise in life sciences,Data Engineer with OCR Expertise in Life Sciences,2,0,2,0,True
data engineering analyst,Data Engineering Analyst,2,0,2,0,True
devops engineer multicloud,DevOps Engineer (Multicloud),2,0,2,0,True
devops/ cloud engineer,DevOps/ Cloud Engineer,2,0,2,0,True
electrical application engineer,Electrical Application Engineer,2,0,2,0,True
gcp data engineer only w2,GCP Data Engineer (Only W2),2,0,2,0,True
hybrid java backend developer,Hybrid Java Backend Developer,2,0,2,0,True
infrastructure engineer network operations,Infrastructure Engineer (Network Operations),2,0,2,0,True
it software developer lead,IT Software Developer Lead,2,0,2,0,True
java developer contract,Java Developer Contract,2,0,2,0,True
java developer with kafka,Java Developer With Kafka,2,0,2,0,True
lead automation software engineer,Lead Automation Software Engineer,2,0,2,0,True
lead engineer qa,"Lead Engineer, QA",2,0,2,0,True
lead software engineer java / microservices / cloud,Lead Software Engineer - Java / Microservices / Cloud,2,0,2,0,True
m365 cloud engineer/ architect cypress ca must be us or gc,"M365 Cloud Engineer/ Architect- Cypress, CA - Must be US or GC",2,0,2,0,True
machine learning engineer e commerce,"Machine Learning Engineer, E-Commerce",2,0,2,0,True
macos platform engineer,MacOS Platform Engineer,2,0,2,0,True
magento fullstack developer php + react,Magento Fullstack Developer PHP + React (worldwide remote),2,0,2,0,True
mid level .net developer clt,Mid Level .NET developer (CLT),2,0,2,0,True
mission software engineer fury / cca generalist,Mission Software Engineer - Fury / CCA (Generalist),2,0,2,0,True
oracle application developer,Oracle Application Developer,2,0,2,0,True
oracle it programmer/software engineer iii,Oracle IT Programmer/Software Engineer III,2,0,2,0,True
redhat admin/system engineer,Redhat Admin/System Engineer,2,0,2,0,True
salesforce developer clearance eligible solution specialist,Salesforce Developer (Clearance Eligible) Solution Specialist,2,0,2,0,True
salesforce developer marketing cloud,Salesforce Developer ( Marketing Cloud),2,0,2,0,True
senior application developer sharepoint,Senior Application Developer - Sharepoint,2,0,2,0,True
senior backend engineer treat team,"Senior Backend Engineer, Treat Team",2,0,2,0,True
senior cloud engineer gcp,Senior Cloud Engineer - GCP,2,0,2,0,True
senior salesforce developer clearance eligible,Senior Salesforce Developer (Clearance Eligible),2,0,2,0,True
senior software engineer back end golang,"Senior Software Engineer, Back End (GoLang)",2,0,2,0,True
senior software engineer cash commerce,"Senior Software Engineer, Cash Commerce",2,0,2,0,True
senior software engineer data streaming,"Senior Software Engineer, Data Streaming",2,0,2,0,True
senior software engineer test #3748,"Senior Software Engineer, Test #3748",2,0,2,0,True
senior. devops architect,Sr. DevOps Architect,2,0,2,0,True
senior. full stack engineer sitecore kohler ventures,Sr. Full Stack Engineer Sitecore - Kohler Ventures,2,0,2,0,True
senior/staff software engineer simulation scenario full stack,Senior/Staff Software Engineer - Simulation Scenario Full Stack,2,0,2,0,True
servicenow developer full time w2 100 remote,ServiceNow Developer (Full Time W2) 100% Remote,2,0,2,0,True
software engineer data streaming,"Software Engineer, Data Streaming",2,0,2,0,True
software engineer ii cloud,Software Engineer II - Cloud,2,0,2,0,True
staff software engineer backend software delivery,"Staff Software Engineer, Backend (Software Delivery)",2,0,2,0,True
support data engineer,Support Data Engineer,2,0,2,0,True
systems engineer nasa hhpc johnson space center,Systems Engineer (NASA HHPC - Johnson Space Center),2,0,2,0,True
systems engineer/ professional services engineer,Systems Engineer/ Professional Services Engineer,2,0,2,0,True
.net developer on w2,.NET Developer on W2,2,1,3,0,False
data engineer general,Data Engineer General,2,1,3,0,False
data engineering lead,Data Engineering Lead,2,1,3,0,False
linux devops engineer,Linux DevOps Engineer,2,1,3,0,False
magento developer,Magento Developer,2,1,3,0,False
senior cloud engineer aws,Senior Cloud Engineer - AWS,2,1,3,0,False
senior software engineer php,Senior Software Engineer - PHP,2,1,3,0,False
software and systems engineer senior,"Software and Systems Engineer, Senior",2,1,3,0,False
wordpress developer,Wordpress Developer,2,1,3,0,False
wordpress web developer,Wordpress Web Developer,2,1,3,0,False
dot net developer,Dot Net Developer,2,2,4,0,False
project developer,Project Developer,2,2,4,0,False
python developer with aws,Python Developer with AWS,2,2,4,0,False
senior engineer systems engineering,Senior Engineer - Systems Engineering,2,2,4,0,False
senior software quality assurance analyst,Senior Software Quality Assurance Analyst,2,2,4,0,False
mbse systems engineer,MBSE Systems Engineer,2,3,5,0,False
senior associate application engineer full stack,Senior Associate Application Engineer (Full Stack),2,3,5,0,False
senior c++ engineer,Senior C++ Engineer,2,3,5,0,False
lead front end developer,Lead Front End Developer,2,5,7,0,False
lead software engineer android,"Lead Software Engineer, Android",2,5,7,0,False
senior data engineer python,Senior Data Engineer (Python),2,6,8,0,False
senior applications developer,Senior Applications Developer,2,7,9,0,False
software engineering lead,Software Engineering Lead,2,8,10,0,False
lead application developer,Lead Application Developer,2,13,15,0,False
