source_group,tier,pattern,n,denominator,share
arshkon,broad_extra,team_context,2038,4687,0.43481971410283765
arshkon,broad_extra,stakeholder,748,4687,0.1595903563046725
arshkon,broad_extra,leadership,33,4687,0.007040751013441433
arshkon,broad_extra,lead_project_or_team,9,4687,0.0019202048218476637
arshkon,broad_extra,technical_leadership,0,4687,0.0
arshkon,broad_extra,coordinate,0,4687,0.0
arshkon,strong,mentor,429,4687,0.09152976317473864
arshkon,strong,coach,94,4687,0.020055472583742264
arshkon,strong,manage_team,16,4687,0.0034136974610625135
arshkon,strong,hiring_interviewing,1,4687,0.0002133560913164071
arshkon,strong,performance_review,1,4687,0.0002133560913164071
arshkon,strong,direct_reports,0,4687,0.0
arshkon,strong,headcount,0,4687,0.0
arshkon,strong,people_leadership,0,4687,0.0
asaniczka,broad_extra,team_context,7495,17037,0.43992486940189
asaniczka,broad_extra,stakeholder,2686,17037,0.1576568644714445
asaniczka,broad_extra,leadership,53,17037,0.0031108763279920175
asaniczka,broad_extra,lead_project_or_team,3,17037,0.00017608733932030288
asaniczka,broad_extra,technical_leadership,0,17037,0.0
asaniczka,broad_extra,coordinate,0,17037,0.0
asaniczka,strong,mentor,1799,17037,0.10559370781240829
asaniczka,strong,coach,376,17037,0.022069613194811294
asaniczka,strong,manage_team,65,17037,0.003815225685273229
asaniczka,strong,hiring_interviewing,5,17037,0.00029347889886717146
asaniczka,strong,headcount,3,17037,0.00017608733932030288
asaniczka,strong,direct_reports,2,17037,0.00011739155954686858
asaniczka,strong,performance_review,0,17037,0.0
asaniczka,strong,people_leadership,0,17037,0.0
pooled_2024,broad_extra,team_context,9533,21724,0.43882342110108635
pooled_2024,broad_extra,stakeholder,3434,21724,0.15807401951758424
pooled_2024,broad_extra,leadership,86,21724,0.0039587552936844045
pooled_2024,broad_extra,lead_project_or_team,12,21724,0.0005523844595838704
pooled_2024,broad_extra,technical_leadership,0,21724,0.0
pooled_2024,broad_extra,coordinate,0,21724,0.0
pooled_2024,strong,mentor,2228,21724,0.10255938132940527
pooled_2024,strong,coach,470,21724,0.021635058000368256
pooled_2024,strong,manage_team,81,21724,0.003728595102191125
pooled_2024,strong,hiring_interviewing,6,21724,0.0002761922297919352
pooled_2024,strong,headcount,3,21724,0.0001380961148959676
pooled_2024,strong,direct_reports,2,21724,9.206407659731172e-05
pooled_2024,strong,performance_review,1,21724,4.603203829865586e-05
pooled_2024,strong,people_leadership,0,21724,0.0
scraped_2026,broad_extra,team_context,7509,12534,0.5990904739109622
scraped_2026,broad_extra,stakeholder,2886,12534,0.2302537099090474
scraped_2026,broad_extra,leadership,13,12534,0.0010371788734641774
scraped_2026,broad_extra,lead_project_or_team,0,12534,0.0
scraped_2026,broad_extra,technical_leadership,0,12534,0.0
scraped_2026,broad_extra,coordinate,0,12534,0.0
scraped_2026,strong,mentor,1594,12534,0.12717408648476144
scraped_2026,strong,coach,277,12534,0.02209988830381363
scraped_2026,strong,manage_team,39,12534,0.0031115366203925323
scraped_2026,strong,headcount,7,12534,0.0005584809318653263
scraped_2026,strong,direct_reports,4,12534,0.00031913196106590075
scraped_2026,strong,hiring_interviewing,1,12534,7.978299026647519e-05
scraped_2026,strong,performance_review,0,12534,0.0
scraped_2026,strong,people_leadership,0,12534,0.0
