term,scope,direction,category,rank_in_direction,also_in_other_scope
.net,full_text,arshkon_2024_heavy,tech_stack,1,True
application,full_text,arshkon_2024_heavy,tech_stack,2,True
sql,full_text,arshkon_2024_heavy,tech_stack,3,True
database,full_text,arshkon_2024_heavy,tech_stack,4,True
javascript,full_text,arshkon_2024_heavy,tech_stack,5,True
php,full_text,arshkon_2024_heavy,tech_stack,6,True
java,full_text,arshkon_2024_heavy,tech_stack,7,False
azure,full_text,arshkon_2024_heavy,tech_stack,8,True
mvc,full_text,arshkon_2024_heavy,tech_stack,9,True
html,full_text,arshkon_2024_heavy,tech_stack,10,True
written,full_text,arshkon_2024_heavy,soft_skill,11,True
trends,full_text,arshkon_2024_heavy,noise,12,True
jquery,full_text,arshkon_2024_heavy,tech_stack,13,True
developing,full_text,arshkon_2024_heavy,noise,14,True
w2,full_text,arshkon_2024_heavy,noise,15,False
interpersonal,full_text,arshkon_2024_heavy,soft_skill,16,True
j2ee,full_text,arshkon_2024_heavy,tech_stack,17,True
directory,full_text,arshkon_2024_heavy,tech_stack,18,True
drupal,full_text,arshkon_2024_heavy,tech_stack,19,False
communication,full_text,arshkon_2024_heavy,soft_skill,20,True
oral,full_text,arshkon_2024_heavy,soft_skill,21,True
angular,full_text,arshkon_2024_heavy,tech_stack,22,True
rdbms,full_text,arshkon_2024_heavy,tech_stack,23,False
framework,full_text,arshkon_2024_heavy,tech_stack,24,False
scrum,full_text,arshkon_2024_heavy,method,25,True
exp,full_text,arshkon_2024_heavy,noise,26,False
wordpress,full_text,arshkon_2024_heavy,noise,27,True
utilizing,full_text,arshkon_2024_heavy,noise,28,True
variety,full_text,arshkon_2024_heavy,noise,29,False
functional,full_text,arshkon_2024_heavy,noise,30,True
problem-solving,full_text,arshkon_2024_heavy,soft_skill,31,True
according,full_text,arshkon_2024_heavy,noise,32,True
laravel,full_text,arshkon_2024_heavy,tech_stack,33,True
duration,full_text,arshkon_2024_heavy,noise,34,False
c#,full_text,arshkon_2024_heavy,tech_stack,35,False
rest,full_text,arshkon_2024_heavy,noise,36,False
unix,full_text,arshkon_2024_heavy,tech_stack,37,True
node.js,full_text,arshkon_2024_heavy,tech_stack,38,True
abreast,full_text,arshkon_2024_heavy,noise,39,True
xml,full_text,arshkon_2024_heavy,noise,40,True
verbal,full_text,arshkon_2024_heavy,soft_skill,41,True
soap,full_text,arshkon_2024_heavy,noise,42,True
competent,full_text,arshkon_2024_heavy,noise,43,True
website,full_text,arshkon_2024_heavy,noise,44,True
visualforce,full_text,arshkon_2024_heavy,tech_stack,45,True
analytical,full_text,arshkon_2024_heavy,soft_skill,46,True
db,full_text,arshkon_2024_heavy,noise,47,True
mainframe,full_text,arshkon_2024_heavy,noise,48,True
scala,full_text,arshkon_2024_heavy,tech_stack,49,True
pcf,full_text,arshkon_2024_heavy,noise,50,False
asp.net,full_text,arshkon_2024_heavy,tech_stack,51,False
methodology,full_text,arshkon_2024_heavy,noise,52,True
assure,full_text,arshkon_2024_heavy,noise,53,True
attention,full_text,arshkon_2024_heavy,soft_skill,54,True
specifications,full_text,arshkon_2024_heavy,noise,55,False
node,full_text,arshkon_2024_heavy,tech_stack,56,True
jdbc,full_text,arshkon_2024_heavy,noise,57,False
tasks,full_text,arshkon_2024_heavy,noise,58,True
industry,full_text,arshkon_2024_heavy,noise,59,True
json,full_text,arshkon_2024_heavy,noise,60,True
end,full_text,arshkon_2024_heavy,noise,61,False
manager,full_text,arshkon_2024_heavy,mgmt,62,False
html5,full_text,arshkon_2024_heavy,tech_stack,63,True
languages,full_text,arshkon_2024_heavy,noise,64,False
following,full_text,arshkon_2024_heavy,noise,65,True
up-to-date,full_text,arshkon_2024_heavy,noise,66,True
java/j2ee,full_text,arshkon_2024_heavy,tech_stack,67,False
teamwork,full_text,arshkon_2024_heavy,soft_skill,68,False
git,full_text,arshkon_2024_heavy,noise,69,True
gender,full_text,arshkon_2024_heavy,noise,70,False
and/or,full_text,arshkon_2024_heavy,noise,71,False
js,full_text,arshkon_2024_heavy,noise,72,False
salesforce.com,full_text,arshkon_2024_heavy,noise,73,False
creating,full_text,arshkon_2024_heavy,noise,74,False
ny,full_text,arshkon_2024_heavy,noise,75,False
degree,full_text,arshkon_2024_heavy,credential,76,False
member,full_text,arshkon_2024_heavy,noise,77,True
c2c,full_text,arshkon_2024_heavy,noise,78,False
oop,full_text,arshkon_2024_heavy,noise,79,False
understand,full_text,arshkon_2024_heavy,noise,80,True
implementing,full_text,arshkon_2024_heavy,noise,81,False
cobol,full_text,arshkon_2024_heavy,noise,82,False
skillsstrong,full_text,arshkon_2024_heavy,noise,83,True
css3,full_text,arshkon_2024_heavy,noise,84,False
angularjs,full_text,arshkon_2024_heavy,tech_stack,85,True
participating,full_text,arshkon_2024_heavy,noise,86,False
hibernate,full_text,arshkon_2024_heavy,noise,87,False
drawings,full_text,arshkon_2024_heavy,noise,88,False
appealing,full_text,arshkon_2024_heavy,noise,89,False
iis,full_text,arshkon_2024_heavy,noise,90,True
desired,full_text,arshkon_2024_heavy,noise,91,False
etc.experience,full_text,arshkon_2024_heavy,credential,92,True
maximum,full_text,arshkon_2024_heavy,noise,93,True
migrating,full_text,arshkon_2024_heavy,noise,94,False
springboot,full_text,arshkon_2024_heavy,noise,95,False
plano,full_text,arshkon_2024_heavy,noise,96,False
ajax,full_text,arshkon_2024_heavy,noise,97,False
integration/continuous,full_text,arshkon_2024_heavy,noise,98,True
ssis,full_text,arshkon_2024_heavy,noise,99,True
websites,full_text,arshkon_2024_heavy,noise,100,True
workflows,full_text,scraped_2026_heavy,method,1,True
environments,full_text,scraped_2026_heavy,tech_stack,2,True
pipelines,full_text,scraped_2026_heavy,method,3,True
familiarity,full_text,scraped_2026_heavy,credential,4,True
hands-on,full_text,scraped_2026_heavy,credential,5,True
contribute,full_text,scraped_2026_heavy,org_scope,6,True
tooling,full_text,scraped_2026_heavy,tech_stack,7,True
observability,full_text,scraped_2026_heavy,method,8,True
models,full_text,scraped_2026_heavy,ai_domain,9,True
backend,full_text,scraped_2026_heavy,tech_stack,10,True
demonstrated,full_text,scraped_2026_heavy,credential,11,True
ownership,full_text,scraped_2026_heavy,org_scope,12,True
ai/ml,full_text,scraped_2026_heavy,ai_domain,13,True
operational,full_text,scraped_2026_heavy,org_scope,14,True
evaluation,full_text,scraped_2026_heavy,sys_design,15,True
frameworks,full_text,scraped_2026_heavy,tech_stack,16,True
clearance,full_text,scraped_2026_heavy,credential,17,True
real-time,full_text,scraped_2026_heavy,sys_design,18,True
optimization,full_text,scraped_2026_heavy,sys_design,19,True
apis,full_text,scraped_2026_heavy,tech_stack,20,True
distributed,full_text,scraped_2026_heavy,sys_design,21,True
proficiency,full_text,scraped_2026_heavy,credential,22,True
agent,full_text,scraped_2026_heavy,ai_tool,23,True
end-to-end,full_text,scraped_2026_heavy,org_scope,24,True
operate,full_text,scraped_2026_heavy,org_scope,25,True
large-scale,full_text,scraped_2026_heavy,sys_design,26,True
architectures,full_text,scraped_2026_heavy,sys_design,27,True
llm,full_text,scraped_2026_heavy,ai_tool,28,True
real-world,full_text,scraped_2026_heavy,noise,29,True
governance,full_text,scraped_2026_heavy,org_scope,30,True
llms,full_text,scraped_2026_heavy,ai_tool,31,True
cloud-native,full_text,scraped_2026_heavy,tech_stack,32,True
exposure,full_text,scraped_2026_heavy,credential,33,True
inference,full_text,scraped_2026_heavy,noise,34,True
rag,full_text,scraped_2026_heavy,ai_tool,35,True
high-performance,full_text,scraped_2026_heavy,sys_design,36,True
workloads,full_text,scraped_2026_heavy,tech_stack,37,True
improve,full_text,scraped_2026_heavy,noise,38,True
ai-driven,full_text,scraped_2026_heavy,org_scope,39,True
production-grade,full_text,scraped_2026_heavy,org_scope,40,True
high-impact,full_text,scraped_2026_heavy,noise,41,False
ci/cd,full_text,scraped_2026_heavy,method,42,True
qualifications,full_text,scraped_2026_heavy,credential,43,False
translate,full_text,scraped_2026_heavy,noise,44,False
execution,full_text,scraped_2026_heavy,noise,45,True
architectural,full_text,scraped_2026_heavy,sys_design,46,False
prompt,full_text,scraped_2026_heavy,ai_tool,47,True
comfortable,full_text,scraped_2026_heavy,noise,48,True
genai,full_text,scraped_2026_heavy,noise,49,True
deliver,full_text,scraped_2026_heavy,org_scope,50,False
mission-critical,full_text,scraped_2026_heavy,boilerplate,51,False
polygraph,full_text,scraped_2026_heavy,credential,52,True
influence,full_text,scraped_2026_heavy,noise,53,True
lifecycle,full_text,scraped_2026_heavy,noise,54,True
eligible,full_text,scraped_2026_heavy,noise,55,True
mindset,full_text,scraped_2026_heavy,noise,56,True
standards,full_text,scraped_2026_heavy,noise,57,True
features,full_text,scraped_2026_heavy,noise,58,False
latency,full_text,scraped_2026_heavy,sys_design,59,False
ts/sci,full_text,scraped_2026_heavy,credential,60,True
layers,full_text,scraped_2026_heavy,noise,61,True
serve,full_text,scraped_2026_heavy,noise,62,True
patterns,full_text,scraped_2026_heavy,noise,63,True
embedded,full_text,scraped_2026_heavy,noise,64,True
experimentation,full_text,scraped_2026_heavy,noise,65,False
regulated,full_text,scraped_2026_heavy,noise,66,True
capabilities,full_text,scraped_2026_heavy,noise,67,False
datasets,full_text,scraped_2026_heavy,noise,68,True
intersection,full_text,scraped_2026_heavy,noise,69,False
long-term,full_text,scraped_2026_heavy,noise,70,False
gpu,full_text,scraped_2026_heavy,noise,71,False
integrating,full_text,scraped_2026_heavy,noise,72,True
initiatives,full_text,scraped_2026_heavy,noise,73,False
ambiguous,full_text,scraped_2026_heavy,noise,74,False
behavior,full_text,scraped_2026_heavy,noise,75,True
aligned,full_text,scraped_2026_heavy,noise,76,True
generative,full_text,scraped_2026_heavy,ai_domain,77,False
event-driven,full_text,scraped_2026_heavy,org_scope,78,True
export,full_text,scraped_2026_heavy,noise,79,True
enabling,full_text,scraped_2026_heavy,noise,80,False
