comparison,text_scope,ngram_n,term,category,category_note,z_b_minus_a,log_odds_delta_b_minus_a,direction,count_a,count_b,rate_a_per_10k_terms,rate_b_per_10k_terms,doc_count_a,doc_count_b,doc_prev_a,doc_prev_b,distinct_companies_total,distinct_companies_a,distinct_companies_b,label_a,label_b,n_docs_a,n_docs_b,tokens_a,tokens_b,companies_a,companies_b,rank_in_direction
primary_arshkon_vs_scraped_bigram_llm_excl_agg_cap50,full_text,2,active directory,tech_stack,,-9.487454076061104,-1.1640163469953473,arshkon_2024_heavy,136,128,4.041064345035583,1.2590952417020214,84,93,0.01990521327014218,0.00975865687303253,145,73,75,arshkon_2024,scraped_2026,4220,9530,336545,1016603,2266,3601,1
primary_arshkon_vs_scraped_bigram_llm_excl_agg_cap50,full_text,2,written communication,soft_skill,,-8.587067320193952,-0.6603468320254873,arshkon_2024_heavy,275,430,8.171269815329302,4.2297730775927285,266,422,0.06303317535545024,0.04428121720881427,489,217,310,arshkon_2024,scraped_2026,4220,9530,336545,1016603,2266,3601,2
primary_arshkon_vs_scraped_bigram_llm_excl_agg_cap50,full_text,2,java j2ee,tech_stack,,-8.404917118597517,-1.9279957289101617,arshkon_2024_heavy,62,27,1.8422499220015156,0.2655904025465201,55,26,0.013033175355450236,0.002728226652675761,71,50,24,arshkon_2024,scraped_2026,4220,9530,336545,1016603,2266,3601,3
primary_arshkon_vs_scraped_bigram_llm_excl_agg_cap50,full_text,2,verbal written,soft_skill,,-8.188947013940833,-0.6280366666561914,arshkon_2024_heavy,273,441,8.111842398490545,4.337976574926495,268,429,0.06350710900473934,0.045015739769150055,488,216,306,arshkon_2024,scraped_2026,4220,9530,336545,1016603,2266,3601,4
primary_arshkon_vs_scraped_bigram_llm_excl_agg_cap50,full_text,2,html javascript,tech_stack,,-7.112450753193957,-0.8874796435428642,arshkon_2024_heavy,115,143,3.4170764682286174,1.406645465338977,102,127,0.024170616113744076,0.013326337880377754,198,87,115,arshkon_2024,scraped_2026,4220,9530,336545,1016603,2266,3601,5
primary_arshkon_vs_scraped_bigram_llm_excl_agg_cap50,full_text,2,problem-solving attention,soft_skill,,-7.1046473711598725,-0.9879757641176852,arshkon_2024_heavy,97,109,2.8822297166797903,1.0721982917618775,97,109,0.02298578199052133,0.011437565582371459,162,69,94,arshkon_2024,scraped_2026,4220,9530,336545,1016603,2266,3601,6
primary_arshkon_vs_scraped_bigram_llm_excl_agg_cap50,full_text,2,problem-solving analytical,soft_skill,,-7.011660111794201,-0.8282225183245515,arshkon_2024_heavy,125,165,3.71421355242241,1.6230524600065117,124,164,0.029383886255924172,0.01720881427072403,246,107,145,arshkon_2024,scraped_2026,4220,9530,336545,1016603,2266,3601,7
primary_arshkon_vs_scraped_bigram_llm_excl_agg_cap50,full_text,2,day-to-day tasks,noise,uncategorized_or_context_needed,-6.947457218620717,-2.036323624222229,arshkon_2024_heavy,41,16,1.2182620451945505,0.15738690521275267,41,15,0.00971563981042654,0.0015739769150052466,50,38,13,arshkon_2024,scraped_2026,4220,9530,336545,1016603,2266,3601,8
primary_arshkon_vs_scraped_bigram_llm_excl_agg_cap50,full_text,2,written oral,soft_skill,,-6.693124464886993,-1.1037077386547534,arshkon_2024_heavy,73,73,2.1691007146146877,0.718077755033184,72,72,0.017061611374407582,0.007555089192025184,116,64,54,arshkon_2024,scraped_2026,4220,9530,336545,1016603,2266,3601,9
primary_arshkon_vs_scraped_bigram_llm_excl_agg_cap50,full_text,2,.net framework,tech_stack,,-6.61260294414861,-1.0204593677287441,arshkon_2024_heavy,80,87,2.3770966735503425,0.8557912970943427,73,74,0.017298578199052134,0.00776495278069255,124,61,67,arshkon_2024,scraped_2026,4220,9530,336545,1016603,2266,3601,10
