comparison,text_scope,ngram_n,term,category,category_note,z_b_minus_a,log_odds_delta_b_minus_a,direction,count_a,count_b,rate_a_per_10k_terms,rate_b_per_10k_terms,doc_count_a,doc_count_b,doc_prev_a,doc_prev_b,distinct_companies_total,distinct_companies_a,distinct_companies_b,label_a,label_b,n_docs_a,n_docs_b,tokens_a,tokens_b,companies_a,companies_b
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,cameras,noise,uncategorized_or_context_needed,1.0933708865870067,0.334375483727392,scraped_2026_heavy,13,55,0.37933610345954527,0.5333374707391669,10,48,0.002369106846718787,0.005036197670758577,47,10,37,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,aligning,noise,uncategorized_or_context_needed,2.5416469995310162,0.5964816573283809,scraped_2026_heavy,21,116,0.6127737055884961,1.1248572110135158,21,115,0.004975124378109453,0.01206589025285909,106,20,88,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,topics,noise,uncategorized_or_context_needed,-0.5273456345987475,-0.09453525681428587,arshkon_2024_heavy,42,115,1.2255474111769922,1.1151601660909853,37,104,0.008765695332859511,0.010911761619976918,132,34,99,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,shopify,noise,uncategorized_or_context_needed,1.4409722355234844,0.4361742607640018,scraped_2026_heavy,13,61,0.37933610345954527,0.5915197402743487,4,22,0.0009476427386875149,0.002308257265764348,25,4,21,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,called,noise,uncategorized_or_context_needed,-2.2537739249758872,-0.8269794589688981,arshkon_2024_heavy,13,17,0.37933610345954527,0.16484976368301524,12,17,0.0028429282160625444,0.0017836533417269962,24,10,15,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,firewall,noise,uncategorized_or_context_needed,-3.3826770249142655,-0.5979892814368206,arshkon_2024_heavy,51,84,1.4881647135720621,0.8145517734925458,44,59,0.010424070125562663,0.006190326303640751,83,38,47,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,ambiguous,noise,uncategorized_or_context_needed,8.06698157317781,1.4239074029106638,scraped_2026_heavy,33,428,0.9629301087819226,4.150335226842972,31,388,0.00734423122482824,0.0407092645052985,317,30,291,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,uat,noise,uncategorized_or_context_needed,-3.53867967514844,-0.7244016000003466,arshkon_2024_heavy,40,58,1.1671880106447547,0.5624286055067579,27,48,0.006396588486140725,0.005036197670758577,57,18,40,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,rule,noise,uncategorized_or_context_needed,1.2990025309369237,0.4981545177836679,scraped_2026_heavy,8,40,0.23343760212895093,0.38788179690121233,8,36,0.0018952854773750297,0.003777148253068933,28,8,20,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,automatic,noise,uncategorized_or_context_needed,-0.9136398354261931,-0.2817358167958748,arshkon_2024_heavy,15,34,0.43769550399178303,0.3296995273660305,14,32,0.003316749585406302,0.0033574651138390515,42,12,30,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
