comparison,text_scope,ngram_n,term,category,category_note,z_b_minus_a,log_odds_delta_b_minus_a,direction,count_a,count_b,rate_a_per_10k_terms,rate_b_per_10k_terms,doc_count_a,doc_count_b,doc_prev_a,doc_prev_b,distinct_companies_total,distinct_companies_a,distinct_companies_b,label_a,label_b,n_docs_a,n_docs_b,tokens_a,tokens_b,companies_a,companies_b
section_filtered_arshkon_vs_scraped_llm_excl_agg_cap50,section_filtered_req_resp_pref,1,aligning,noise,uncategorized_or_context_needed,0.326986430520674,0.11507350832951424,scraped_2026_heavy,10,36,0.6691872720580855,0.756504361457784,10,36,0.004006410256410256,0.005343624758794715,37,10,28,arshkon_2024,scraped_2026,2496,6737,149435,475873,1511,2723
section_filtered_arshkon_vs_scraped_llm_excl_agg_cap50,section_filtered_req_resp_pref,1,in-house,noise,uncategorized_or_context_needed,-1.0127126140763825,-0.4054498220398628,arshkon_2024_heavy,9,19,0.6022685448522769,0.39926619076938596,9,17,0.003605769230769231,0.002523378358319727,25,9,16,arshkon_2024,scraped_2026,2496,6737,149435,475873,1511,2723
section_filtered_arshkon_vs_scraped_llm_excl_agg_cap50,section_filtered_req_resp_pref,1,topics,noise,uncategorized_or_context_needed,0.5262224772016642,0.15056681510231407,scraped_2026_heavy,15,56,1.0037809080871283,1.1767845622676638,12,51,0.004807692307692308,0.007570135074959181,61,12,49,arshkon_2024,scraped_2026,2496,6737,149435,475873,1511,2723
section_filtered_arshkon_vs_scraped_llm_excl_agg_cap50,section_filtered_req_resp_pref,1,interpretation,noise,uncategorized_or_context_needed,-1.6044084008820325,-0.6021090443750818,arshkon_2024_heavy,11,19,0.7361059992638941,0.39926619076938596,10,17,0.004006410256410256,0.002523378358319727,25,10,15,arshkon_2024,scraped_2026,2496,6737,149435,475873,1511,2723
section_filtered_arshkon_vs_scraped_llm_excl_agg_cap50,section_filtered_req_resp_pref,1,suppliers,noise,uncategorized_or_context_needed,-0.19444927551156244,-0.047142307530394945,arshkon_2024_heavy,22,67,1.4722119985277882,1.4079386727130978,21,55,0.008413461538461538,0.008163871159269705,69,20,51,arshkon_2024,scraped_2026,2496,6737,149435,475873,1511,2723
section_filtered_arshkon_vs_scraped_llm_excl_agg_cap50,section_filtered_req_resp_pref,1,firewall,noise,uncategorized_or_context_needed,-2.839464730530732,-0.6644844208770522,arshkon_2024_heavy,29,47,1.9406430889684478,0.9876584719032179,25,40,0.010016025641025642,0.005937360843105239,57,22,35,arshkon_2024,scraped_2026,2496,6737,149435,475873,1511,2723
section_filtered_arshkon_vs_scraped_llm_excl_agg_cap50,section_filtered_req_resp_pref,1,powerpoint,noise,uncategorized_or_context_needed,-3.4717355911298644,-0.740526955596069,arshkon_2024_heavy,36,54,2.4090741794091075,1.1347565421866759,36,54,0.014423076923076924,0.008015437138192074,74,34,41,arshkon_2024,scraped_2026,2496,6737,149435,475873,1511,2723
section_filtered_arshkon_vs_scraped_llm_excl_agg_cap50,section_filtered_req_resp_pref,1,ambiguous,noise,uncategorized_or_context_needed,4.328054361107,1.1237464874662955,scraped_2026_heavy,15,156,1.0037809080871283,3.2781855663170636,14,146,0.005608974358974359,0.021671367077334126,129,14,115,arshkon_2024,scraped_2026,2496,6737,149435,475873,1511,2723
section_filtered_arshkon_vs_scraped_llm_excl_agg_cap50,section_filtered_req_resp_pref,1,delight,noise,uncategorized_or_context_needed,-0.2561255686638927,-0.1037522511416018,arshkon_2024_heavy,8,23,0.5353498176464684,0.48332223093136195,8,23,0.003205128205128205,0.003413982484785513,22,7,17,arshkon_2024,scraped_2026,2496,6737,149435,475873,1511,2723
section_filtered_arshkon_vs_scraped_llm_excl_agg_cap50,section_filtered_req_resp_pref,1,vpns,noise,uncategorized_or_context_needed,1.4071050283345135,0.8369994099574978,scraped_2026_heavy,3,23,0.20075618161742564,0.48332223093136195,3,21,0.001201923076923077,0.003117114442630251,24,3,21,arshkon_2024,scraped_2026,2496,6737,149435,475873,1511,2723
